measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2012-01-04 00:00:00,0.4379,-0.1870999999999999,122.3,2.4508,13.747,5.0961,0.0459999999999999,-0.6593999999999999,-0.0303,2.1141,-0.6589,-0.4181,-0.4435,-4.1718,10
2012-01-04 00:01:00,0.4379,-0.1870999999999999,122.29,2.5399,13.743,5.055,0.0459999999999999,0.5934,0.0273,2.1037,-0.5945,-0.3670999999999999,-0.3678,-4.1717,10
2012-01-04 00:02:00,0.4385,-0.2091,122.31,2.6143,13.746,5.0173,0.0459999999999999,-0.0439999999999999,-0.002,2.1023,-0.4990999999999999,-0.3388999999999999,-0.2195999999999999,-4.0071,10
2012-01-04 00:03:00,0.4386999999999999,-0.1870999999999999,122.35,2.7028,13.747,4.983,0.0459999999999999,0.189,0.0086999999999999,2.1001,-0.4270999999999999,-0.2195999999999999,-0.0792,-3.9522,10
2012-01-04 00:04:00,0.4386999999999999,-0.2200999999999999,122.35,2.7691,13.747,4.947,0.0459999999999999,-0.1494999999999999,-0.0068999999999999,2.0948,-0.3795999999999999,-0.1615,0.0381999999999999,-3.9797,10
2012-01-04 00:05:00,0.4385,-0.154,122.39,2.8124,13.749,4.9076,0.0459999999999999,-0.1978,-0.0091,2.0769,-0.3170999999999999,-0.1328999999999999,0.0942999999999999,-3.9523,10
2012-01-04 00:06:00,0.4393,-0.2311,122.39,2.8226,13.75,4.8699,0.0459999999999999,-0.0396,-0.0018,2.077,-0.2846,-0.0735999999999999,0.0928999999999999,-3.9523,10
2012-01-04 00:07:00,0.4398,-0.1761,122.41,2.813,13.751,4.8305,0.0459999999999999,0.8264,0.0379999999999999,2.0774,-0.2129999999999999,-0.0661999999999999,0.1194,-3.9524,10
2012-01-04 00:08:00,0.4386999999999999,-0.1870999999999999,122.33,2.7832,13.752,4.7979,0.0459999999999999,0.1625999999999999,0.0074999999999999,2.0735,-0.2409,-0.0913,0.0575999999999999,-3.9524,10
2012-01-04 00:09:00,0.4385,-0.1870999999999999,122.3,2.748,13.752,4.7637,0.0459999999999999,-0.4747,-0.0218,2.0728,-0.2344999999999999,-0.02,0.1373,-3.9798,10
