measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,poa_irradiance__421,system_id
2018-12-08 05:31:00,,122.0,,,,,,,10
2018-12-08 05:40:00,,122.0,,,,,,,10
2018-12-08 05:57:00,,122.0,,,,,,,10
2018-12-08 07:38:00,,,,162.0,,,,,10
2018-12-08 07:44:00,180.0,,,,,,,,10
2018-12-08 08:03:00,,123.0,,,,,,,10
2018-12-08 08:32:00,,,,,,,13.0,,10
2018-12-08 08:35:00,,,,594.0,,,,,10
2018-12-08 08:40:00,521.0,,,,,,,,10
2018-12-08 08:42:00,,,245.0,,,,,,10
2018-12-08 08:44:00,,,,,,,16.0,,10
2018-12-08 08:47:00,,,,658.0,,,,,10
2018-12-08 08:54:00,,,,688.0,,,,604.0,10
2018-12-08 09:44:00,,124.0,,,,,,,10
2018-12-08 10:00:00,,,,,,,,830.0,10
2018-12-08 10:07:00,,,,,,31.0,,,10
2018-12-08 10:29:00,,,227.0,,,,,,10
2018-12-08 10:38:00,821.0,,,,,,,,10
2018-12-08 10:42:00,,,,1002.0,,,,,10
2018-12-08 10:43:00,,,,1005.0,,,,,10
2018-12-08 10:46:00,,,,,,,,936.0,10
2018-12-08 10:52:00,,,,1017.0,,,,,10
2018-12-08 10:58:00,,,,1028.0,,,,,10
2018-12-08 11:03:00,,,,1032.0,,,,,10
2018-12-08 11:11:00,,,,1037.0,,,,,10
2018-12-08 11:18:00,,,,1039.0,,,,,10
2018-12-08 11:38:00,,,,1067.0,,,,,10
2018-12-08 11:39:00,,,,1069.0,,,,,10
2018-12-08 11:41:00,,,,1067.0,,,,,10
2018-12-08 11:44:00,,,,1065.0,,,,,10
2018-12-08 11:45:00,,,,1076.0,,,,,10
2018-12-08 11:50:00,,,,,,,,1002.0,10
2018-12-08 11:54:00,882.0,,,,,,,,10
2018-12-08 11:59:00,880.0,,,1069.0,,,,,10
2018-12-08 12:04:00,,,,1065.0,,,,,10
2018-12-08 12:13:00,,,,1069.0,,,,,10
2018-12-08 12:34:00,,,,1044.0,,,,,10
2018-12-08 12:43:00,,,,1036.0,,,,,10
2018-12-08 13:04:00,,,,1006.0,,,,,10
2018-12-08 13:32:00,,,,947.0,,,,,10
2018-12-08 13:34:00,,,,938.0,,,,,10
2018-12-08 13:47:00,,,,,17.0,,,,10
2018-12-08 14:35:00,616.0,,,,,,,,10
2018-12-08 15:02:00,,,,,,,,310.0,10
2018-12-08 15:49:00,,123.0,,,,,,,10
2018-12-08 15:55:00,,,,129.0,,,,,10
2018-12-08 16:46:00,,122.0,,,,,,,10
2018-12-08 23:13:00,,,0.0,,,,,,10
