measured_on,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2018-12-15 00:38:00,,,,,,,0.0,10
2018-12-15 00:39:00,,,,,,,0.0,10
2018-12-15 00:40:00,,,,,,,0.0,10
2018-12-15 00:41:00,,,,,,,0.0,10
2018-12-15 00:54:00,122.0,,,,,,,10
2018-12-15 00:57:00,122.0,,,,,,,10
2018-12-15 02:10:00,,0.0,,,,,,10
2018-12-15 02:33:00,122.0,,,,,,,10
2018-12-15 02:53:00,,0.0,,,,,,10
2018-12-15 05:34:00,,,,,,,0.0,10
2018-12-15 06:35:00,122.0,,,,,,,10
2018-12-15 06:43:00,122.0,,,,,,,10
2018-12-15 06:54:00,122.0,,,,,,,10
2018-12-15 07:10:00,,,,,,,0.0,10
2018-12-15 07:11:00,,,,,,,0.0,10
2018-12-15 07:16:00,122.0,,,,,,,10
2018-12-15 08:48:00,,221.0,,,,,,10
2018-12-15 09:13:00,,,,,,,305.0,10
2018-12-15 09:20:00,,,,,18.0,,,10
2018-12-15 09:52:00,,,,,,,115.0,10
2018-12-15 10:08:00,122.0,,,,,,,10
2018-12-15 10:15:00,122.0,,,,,,,10
2018-12-15 10:44:00,,,143.0,,,,,10
2018-12-15 10:45:00,,,,,,,153.0,10
2018-12-15 12:25:00,,,,,15.0,,,10
2018-12-15 13:51:00,,,113.0,,,,,10
2018-12-15 15:21:00,122.0,,,,,,,10
2018-12-15 15:30:00,,209.0,,,,,,10
2018-12-15 15:32:00,,,,,,13.0,,10
2018-12-15 15:35:00,,,207.0,,,,,10
2018-12-15 15:39:00,,,,15.0,,,,10
2018-12-15 16:06:00,,,,,,,151.0,10
2018-12-15 16:23:00,122.0,,,,,,,10
2018-12-15 16:36:00,,,,,,,0.0,10
2018-12-15 16:37:00,,,,,,,0.0,10
2018-12-15 21:56:00,,0.0,,,,,,10
2018-12-15 22:51:00,122.0,,,,,,,10
2018-12-15 23:01:00,122.0,,,,,,,10
2018-12-15 23:02:00,122.0,,,,,,,10
2018-12-15 23:29:00,122.0,,,,,,,10
2018-12-15 23:31:00,122.0,,,,,,,10
2018-12-15 23:36:00,122.0,,,,,,,10
