measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2018-12-16 00:53:00,,,,,,0.0,,,,10
2018-12-16 01:09:00,,,,,0.0,,,,,10
2018-12-16 07:59:00,,,,,,345.0,,,,10
2018-12-16 08:29:00,448.0,,,,,,,,,10
2018-12-16 08:50:00,,,,,248.0,,,,,10
2018-12-16 09:09:00,,123.0,,,,,,,,10
2018-12-16 09:14:00,,,,,,736.0,,,,10
2018-12-16 09:37:00,,,,7.0,,,,,,10
2018-12-16 09:40:00,,123.0,,,,,,,,10
2018-12-16 10:06:00,,,,,,,39.0,,,10
2018-12-16 10:28:00,,,,,,967.0,,,,10
2018-12-16 10:38:00,,,,,,,,40.0,,10
2018-12-16 10:43:00,,,,,225.0,,,,,10
2018-12-16 10:52:00,,,,,,1003.0,,,,10
2018-12-16 11:05:00,,,,,,,,,973.0,10
2018-12-16 11:08:00,,,,,,1030.0,,,,10
2018-12-16 11:09:00,,,,,,1027.0,,,,10
2018-12-16 11:11:00,,,,,,1023.0,,,,10
2018-12-16 11:21:00,,,,,,1039.0,,,,10
2018-12-16 11:29:00,,,,,,1039.0,,,,10
2018-12-16 11:31:00,,,,,,1045.0,,,,10
2018-12-16 11:35:00,,,,,,,,,1004.0,10
2018-12-16 11:36:00,,,,,,1044.0,,,,10
2018-12-16 11:41:00,,,,,,,,,1007.0,10
2018-12-16 11:42:00,,,,,,1044.0,,,,10
2018-12-16 11:49:00,,,,,,,,,1010.0,10
2018-12-16 11:59:00,,,,,,,,,1013.0,10
2018-12-16 12:08:00,,,,,,1053.0,,,,10
2018-12-16 12:12:00,,,,,,,,,1010.0,10
2018-12-16 12:15:00,862.0,,,,,,,,1008.0,10
2018-12-16 12:17:00,,,,,,1049.0,,,,10
2018-12-16 12:20:00,,,,,,,,,1005.0,10
2018-12-16 12:25:00,,,14.0,,,,,,,10
2018-12-16 12:26:00,,,,,,1033.0,,,,10
2018-12-16 12:28:00,,,,,,1036.0,,,,10
2018-12-16 12:31:00,,,,,,1038.0,,,,10
2018-12-16 12:40:00,,,,,,1013.0,,,,10
2018-12-16 12:47:00,,,,,,1011.0,,,,10
2018-12-16 13:12:00,799.0,,,,,,,,,10
2018-12-16 13:46:00,,,,,221.0,,,,,10
2018-12-16 14:27:00,649.0,,,,,,,,,10
2018-12-16 14:30:00,,123.0,,,233.0,,,,,10
2018-12-16 14:36:00,,,,,,,,35.0,,10
2018-12-16 14:38:00,614.0,,,,,,,,,10
2018-12-16 14:48:00,,,,,,,,,657.0,10
2018-12-16 15:16:00,,,,,,,,,531.0,10
2018-12-16 16:30:00,,121.0,,,,,,,,10
2018-12-16 16:37:00,,,,,,,,,0.0,10
2018-12-16 18:58:00,,122.0,,,,,,,,10
2018-12-16 19:49:00,,,,,0.0,,,,,10
2018-12-16 21:13:00,,122.0,,,,,,,,10
2018-12-16 21:53:00,,,,,0.0,0.0,,,,10
2018-12-16 22:31:00,,,,,,0.0,,,,10
2018-12-16 22:40:00,,,,,,0.0,,,,10
2018-12-16 22:50:00,,,,,0.0,,,,,10
