measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2018-12-17 00:23:00,,122.0,,,,,,,10
2018-12-17 02:08:00,,,,0.0,,,,,10
2018-12-17 02:38:00,,,,0.0,,,,,10
2018-12-17 05:33:00,,121.0,,,,,,,10
2018-12-17 05:37:00,,121.0,,,,,,,10
2018-12-17 07:54:00,,,,,280.0,,,,10
2018-12-17 08:29:00,,,,,,,,503.0,10
2018-12-17 08:43:00,,,,239.0,,,,,10
2018-12-17 09:08:00,,,,,,,,657.0,10
2018-12-17 09:20:00,,,,244.0,,,,,10
2018-12-17 09:28:00,,,,,,,,590.0,10
2018-12-17 10:24:00,,,,,629.0,,,579.0,10
2018-12-17 10:26:00,,,,234.0,,,,,10
2018-12-17 10:37:00,611.0,,,,,,,,10
2018-12-17 10:51:00,,,,,,,34.0,,10
2018-12-17 11:02:00,783.0,,,,,,,,10
2018-12-17 11:34:00,624.0,,,,,,,,10
2018-12-17 11:41:00,596.0,,,,,,,,10
2018-12-17 11:44:00,,,,,721.0,,,,10
2018-12-17 12:18:00,,,,,474.0,,,,10
2018-12-17 12:24:00,708.0,,,,,,,,10
2018-12-17 12:29:00,,124.0,,,,,,,10
2018-12-17 12:32:00,,,,,,35.0,,,10
2018-12-17 12:55:00,,,13.0,,,,,,10
2018-12-17 13:02:00,,,,,1051.0,,,,10
2018-12-17 13:21:00,810.0,,,,,,,,10
2018-12-17 13:25:00,,124.0,,,,,,,10
2018-12-17 13:54:00,,123.0,,,,,,,10
2018-12-17 14:07:00,,,,231.0,,,,,10
2018-12-17 14:50:00,,,,,,,,127.0,10
2018-12-17 15:18:00,,,,217.0,,,,,10
2018-12-17 15:19:00,,123.0,,,,,,,10
2018-12-17 17:42:00,,,,0.0,,,,,10
2018-12-17 18:20:00,,122.0,,,,,,,10
2018-12-17 18:23:00,,122.0,,,,,,,10
2018-12-17 19:54:00,,,,0.0,,,,,10
2018-12-17 20:17:00,,122.0,,,,,,,10
2018-12-17 20:49:00,,122.0,,,,,,,10
2018-12-17 22:37:00,,122.0,,,,,,,10
