measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2018-12-18 01:07:00,,,,0.0,,,,,,10
2018-12-18 03:08:00,,122.0,,,,,,,,10
2018-12-18 03:22:00,,,,,,,,6.0,,10
2018-12-18 05:18:00,,,9.0,,,,,,,10
2018-12-18 06:23:00,,122.0,,,,,,,,10
2018-12-18 07:33:00,,,,,65.0,,,,,10
2018-12-18 07:41:00,,,,,,,,,119.0,10
2018-12-18 08:13:00,,,,,408.0,,,,,10
2018-12-18 09:27:00,,,,,768.0,,,,,10
2018-12-18 09:42:00,,124.0,,,,,,,,10
2018-12-18 09:55:00,,,,,,,,,785.0,10
2018-12-18 10:04:00,,,,,,,35.0,,,10
2018-12-18 10:28:00,,,,,,,,,866.0,10
2018-12-18 10:29:00,,,,,938.0,,,,,10
2018-12-18 10:38:00,796.0,,,,,,,,,10
2018-12-18 10:47:00,812.0,,,,,,,,,10
2018-12-18 11:07:00,,,,,1008.0,,,,,10
2018-12-18 11:10:00,,,,228.0,,,,,,10
2018-12-18 11:12:00,,,,,1005.0,,,,,10
2018-12-18 11:22:00,,,,,,,37.0,,,10
2018-12-18 11:33:00,,,,,1017.0,,,,,10
2018-12-18 11:38:00,,,,,1011.0,,,,,10
2018-12-18 11:44:00,,,,,1013.0,,,,,10
2018-12-18 12:09:00,,,,,1033.0,,,,,10
2018-12-18 12:17:00,,,,,1040.0,,,,,10
2018-12-18 12:22:00,853.0,,,,,,,,,10
2018-12-18 12:35:00,,,,,1028.0,,,,963.0,10
2018-12-18 12:36:00,,,,,1032.0,,,,,10
2018-12-18 12:46:00,,,,,1031.0,,,,,10
2018-12-18 12:47:00,,,,,1025.0,,,,,10
2018-12-18 14:10:00,,,,,843.0,,,,,10
2018-12-18 14:26:00,650.0,,,,,,,,,10
2018-12-18 15:06:00,,,,,,,,,572.0,10
2018-12-18 15:14:00,,,,,,18.0,,,,10
2018-12-18 15:15:00,,124.0,,,,,,,,10
2018-12-18 15:19:00,,,,,,,26.0,,,10
2018-12-18 16:05:00,,,,,,,,,270.0,10
2018-12-18 16:39:00,,,,,,,,,0.0,10
2018-12-18 17:16:00,,122.0,,,,,,,,10
2018-12-18 18:12:00,,122.0,,,,,,,,10
2018-12-18 18:38:00,,122.0,,,,,,,,10
2018-12-18 22:58:00,,,,0.0,,,,,,10
2018-12-18 23:18:00,,122.0,,,,,,,,10
