measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_2__430,poa_irradiance__421,system_id
2018-12-20 00:22:00,,122.0,,,,,,,10
2018-12-20 01:59:00,,122.0,,,,,,,10
2018-12-20 02:16:00,,122.0,,,,,,,10
2018-12-20 02:33:00,,122.0,,,,,,,10
2018-12-20 03:23:00,,122.0,,,,,,,10
2018-12-20 04:17:00,,122.0,,,,,,,10
2018-12-20 04:26:00,,122.0,,,,,,,10
2018-12-20 05:08:00,,122.0,,,,,,,10
2018-12-20 06:37:00,,122.0,,,,,,,10
2018-12-20 07:48:00,,122.0,,,,,,,10
2018-12-20 08:10:00,,,,,229.0,,,,10
2018-12-20 08:38:00,,,,,,,,499.0,10
2018-12-20 08:39:00,,123.0,,,,,,,10
2018-12-20 08:51:00,,,,,251.0,,,,10
2018-12-20 09:02:00,,,,,,686.0,,,10
2018-12-20 09:30:00,,,,,,814.0,21.0,,10
2018-12-20 09:50:00,,,,,239.0,,,,10
2018-12-20 10:13:00,784.0,,,,,,,,10
2018-12-20 10:47:00,,,,,,1009.0,,,10
2018-12-20 10:51:00,,,,,,1019.0,,,10
2018-12-20 10:53:00,,,,,,1018.0,,,10
2018-12-20 10:57:00,,,,,,1030.0,,,10
2018-12-20 11:12:00,,,,,,1057.0,,,10
2018-12-20 11:13:00,,,,,,1049.0,,,10
2018-12-20 11:23:00,,,,,,1057.0,,,10
2018-12-20 11:25:00,,,,,,1058.0,,,10
2018-12-20 11:42:00,,,,,,,,981.0,10
2018-12-20 11:47:00,,,,,,1065.0,,,10
2018-12-20 11:49:00,,,,,,1066.0,,,10
2018-12-20 12:02:00,,,,,,1059.0,,,10
2018-12-20 12:04:00,,,,,,1048.0,,,10
2018-12-20 12:18:00,,,,,,1047.0,,,10
2018-12-20 12:28:00,854.0,,,,,,,,10
2018-12-20 12:34:00,,,,,,1033.0,,,10
2018-12-20 12:37:00,,,,,,1025.0,,,10
2018-12-20 12:54:00,,,,,229.0,,,,10
2018-12-20 13:10:00,,,,,,,,930.0,10
2018-12-20 13:18:00,802.0,,,,,,,,10
2018-12-20 13:39:00,778.0,,,,,,,,10
2018-12-20 14:02:00,723.0,,,,,,,,10
2018-12-20 14:11:00,,,,,,,,787.0,10
2018-12-20 16:37:00,,,10.0,0.0,,,,,10
2018-12-20 16:38:00,,121.0,,,,,,,10
2018-12-20 16:42:00,,,,,,,,0.0,10
2018-12-20 18:16:00,,,,,0.0,,,,10
2018-12-20 19:59:00,,,,,0.0,,,,10
2018-12-20 20:44:00,,,,,0.0,,,,10
2018-12-20 21:09:00,,,,,0.0,,,,10
2018-12-20 22:47:00,,,,,,0.0,,,10
