measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2018-12-21 03:55:00,,,,,0.0,,,10
2018-12-21 05:09:00,,121.0,,,,,,10
2018-12-21 05:17:00,,,,,0.0,,,10
2018-12-21 05:18:00,,121.0,,,,,,10
2018-12-21 05:56:00,,,,,0.0,,,10
2018-12-21 06:11:00,,,,,0.0,,,10
2018-12-21 07:20:00,,,,,30.0,,,10
2018-12-21 07:43:00,,,7.0,,,,,10
2018-12-21 08:56:00,,,,,,,174.0,10
2018-12-21 09:11:00,,,,,245.0,,,10
2018-12-21 09:26:00,,122.0,,,,,,10
2018-12-21 09:35:00,,,,,,,249.0,10
2018-12-21 09:41:00,,,,,236.0,,,10
2018-12-21 10:02:00,,,,,,1057.0,,10
2018-12-21 10:12:00,,124.0,,,,,,10
2018-12-21 10:18:00,,124.0,,,,,,10
2018-12-21 10:20:00,816.0,,,,,,,10
2018-12-21 10:22:00,,,,,,,926.0,10
2018-12-21 10:42:00,,,,,,,1016.0,10
2018-12-21 10:45:00,,,,,,,987.0,10
2018-12-21 10:50:00,,124.0,,,,,,10
2018-12-21 10:55:00,,,,,,,1006.0,10
2018-12-21 10:57:00,,,,,,,1007.0,10
2018-12-21 11:02:00,,,,,,,1026.0,10
2018-12-21 11:03:00,,,,,,1095.0,,10
2018-12-21 11:04:00,,,,,,,1047.0,10
2018-12-21 11:05:00,,,,,,1123.0,,10
2018-12-21 11:11:00,,,,,,1077.0,,10
2018-12-21 11:15:00,,,,,,1028.0,,10
2018-12-21 11:19:00,,,,,,1169.0,,10
2018-12-21 11:30:00,,,,,,1071.0,,10
2018-12-21 11:32:00,,,,,,1086.0,,10
2018-12-21 11:37:00,,,,,,,1025.0,10
2018-12-21 11:39:00,,,,,,,1055.0,10
2018-12-21 12:20:00,,,,,227.0,,,10
2018-12-21 12:59:00,,,,17.0,,,,10
2018-12-21 13:15:00,,,13.0,,,,,10
2018-12-21 13:27:00,,,,,,,512.0,10
2018-12-21 13:52:00,,124.0,,,,,,10
2018-12-21 15:23:00,,,,,247.0,,,10
2018-12-21 15:45:00,,,,,,,435.0,10
2018-12-21 16:07:00,,122.0,,,,,,10
2018-12-21 16:44:00,,,,,,,0.0,10
2018-12-21 18:32:00,,122.0,,,,,,10
2018-12-21 20:53:00,,,,,0.0,,,10
2018-12-21 21:49:00,,122.0,,,,,,10
2018-12-21 23:00:00,,,,,0.0,,,10
