measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2018-12-25 00:23:00,,122.0,,,,,,10
2018-12-25 00:28:00,,122.0,,,,,,10
2018-12-25 00:35:00,,122.0,,,,,,10
2018-12-25 00:40:00,,122.0,,,,,,10
2018-12-25 01:53:00,,122.0,,,,,,10
2018-12-25 02:12:00,,122.0,,,,,,10
2018-12-25 02:19:00,,122.0,,,,,,10
2018-12-25 03:38:00,,122.0,,,,,,10
2018-12-25 03:55:00,,,,,,,0.0,10
2018-12-25 03:57:00,,,,,,,0.0,10
2018-12-25 06:08:00,,,,0.0,,,,10
2018-12-25 06:16:00,,,,0.0,,,,10
2018-12-25 07:45:00,,,167.0,,,,,10
2018-12-25 07:59:00,,,,,,,30.0,10
2018-12-25 08:07:00,,121.0,,,,,,10
2018-12-25 08:18:00,,,158.0,,,,,10
2018-12-25 08:51:00,,,,,,,470.0,10
2018-12-25 08:55:00,,,,304.0,,,,10
2018-12-25 09:02:00,,,,,,,540.0,10
2018-12-25 09:10:00,,,256.0,,,,,10
2018-12-25 09:11:00,,,255.0,832.0,,,,10
2018-12-25 09:36:00,,,,,17.0,,,10
2018-12-25 09:37:00,,123.0,,539.0,,,,10
2018-12-25 10:00:00,808.0,,,,,,,10
2018-12-25 10:27:00,,,253.0,,,,,10
2018-12-25 10:33:00,,,,1041.0,,,,10
2018-12-25 10:36:00,,,,,,26.0,,10
2018-12-25 10:53:00,,,,,,,945.0,10
2018-12-25 10:54:00,,,,1043.0,,,,10
2018-12-25 11:12:00,,,,,,37.0,,10
2018-12-25 11:24:00,,,,1052.0,,,,10
2018-12-25 11:27:00,,,,1056.0,,,,10
2018-12-25 11:46:00,,,,1064.0,,,,10
2018-12-25 11:49:00,,,,1067.0,,,,10
2018-12-25 12:04:00,,,,1064.0,,,,10
2018-12-25 12:09:00,,,,1061.0,,,,10
2018-12-25 12:10:00,882.0,,,1067.0,,,,10
2018-12-25 12:43:00,,,,1050.0,,,,10
2018-12-25 12:49:00,,,,1042.0,,,,10
2018-12-25 12:53:00,,,,1034.0,,,,10
2018-12-25 12:57:00,,,,,,,952.0,10
2018-12-25 13:01:00,,,,,,,945.0,10
2018-12-25 13:22:00,,,242.0,,,,,10
2018-12-25 13:54:00,,124.0,,,,,,10
2018-12-25 14:01:00,,124.0,,,,,,10
2018-12-25 14:02:00,,124.0,,,,,,10
2018-12-25 14:41:00,,,,,,,571.0,10
2018-12-25 15:15:00,425.0,,,,,,,10
2018-12-25 15:43:00,,,243.0,,,,,10
2018-12-25 16:18:00,,,181.0,,,,,10
2018-12-25 16:44:00,,,,,,,0.0,10
2018-12-25 16:45:00,,,,,,,0.0,10
2018-12-25 16:51:00,,,14.0,,,,,10
2018-12-25 22:14:00,,122.0,,,,,,10
