measured_on,ac_power__423,ac_voltage__426,das_battery_voltage__434,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2018-12-29 01:28:00,,,,,0.0,,,,,10
2018-12-29 02:03:00,,122.0,,,,,,,,10
2018-12-29 03:49:00,,,,,0.0,,,,,10
2018-12-29 04:49:00,,,14.0,,,,,,,10
2018-12-29 04:57:00,,,14.0,,,,,,,10
2018-12-29 04:59:00,,,14.0,,,,,,,10
2018-12-29 05:00:00,,,14.0,,,,,,,10
2018-12-29 05:02:00,,,14.0,,,,,,,10
2018-12-29 05:05:00,,,14.0,,,,,,,10
2018-12-29 05:06:00,,,14.0,,,,,,,10
2018-12-29 05:09:00,,,14.0,,,,,,,10
2018-12-29 05:15:00,,,14.0,,,,,,,10
2018-12-29 05:17:00,,,14.0,,,,,,,10
2018-12-29 05:19:00,,,14.0,,,,,,,10
2018-12-29 05:20:00,,,14.0,,,,,,,10
2018-12-29 05:23:00,,,14.0,,,,,,,10
2018-12-29 05:28:00,,,14.0,,,,,,,10
2018-12-29 05:31:00,,,14.0,,,,,,,10
2018-12-29 05:34:00,,,14.0,,,,,,,10
2018-12-29 05:35:00,,,14.0,,,,,,,10
2018-12-29 05:36:00,,,14.0,,,,,,,10
2018-12-29 05:38:00,,,14.0,,,,,,,10
2018-12-29 05:40:00,,,14.0,,,,,,,10
2018-12-29 05:41:00,,,14.0,,,,,,,10
2018-12-29 05:42:00,,,14.0,,,,,,,10
2018-12-29 08:00:00,,,,,,275.0,,,,10
2018-12-29 08:01:00,,,14.0,,,,,,,10
2018-12-29 08:49:00,,123.0,,,,,,,,10
2018-12-29 08:56:00,,,,,249.0,,,,,10
2018-12-29 09:56:00,,,,,,,,,806.0,10
2018-12-29 10:27:00,,124.0,,,,1004.0,,,,10
2018-12-29 10:39:00,,,,,,1032.0,,,,10
2018-12-29 10:48:00,,,,,,1047.0,,,,10
2018-12-29 11:12:00,,124.0,,,,,,,,10
2018-12-29 11:21:00,,,,,,1087.0,,,,10
2018-12-29 11:34:00,,,,,,1083.0,,,,10
2018-12-29 11:36:00,,,,,,,,,1007.0,10
2018-12-29 11:37:00,,,,,,1088.0,,,,10
2018-12-29 11:41:00,,,,,,1084.0,,,1007.0,10
2018-12-29 11:43:00,,,,,,,31.0,,,10
2018-12-29 11:48:00,,,,,,1080.0,,,,10
2018-12-29 11:56:00,,,,,231.0,,,,,10
2018-12-29 11:58:00,,,,,,1104.0,,,,10
2018-12-29 12:00:00,,,,,,1111.0,,,,10
2018-12-29 12:02:00,,124.0,,,237.0,,,,1022.0,10
2018-12-29 12:04:00,,,,,,1115.0,,,,10
2018-12-29 12:14:00,,,,,239.0,,,,,10
2018-12-29 12:20:00,,,,,,,,,1023.0,10
2018-12-29 12:22:00,,,,,,1117.0,,,,10
2018-12-29 12:23:00,,,,,,,,,1021.0,10
2018-12-29 12:26:00,,,,,,1110.0,,,,10
2018-12-29 12:27:00,,,,,,,,,1019.0,10
2018-12-29 12:30:00,,,,,,1104.0,,,,10
2018-12-29 12:36:00,,,,,,,,,1012.0,10
2018-12-29 12:40:00,,,,,,,,,1008.0,10
2018-12-29 12:42:00,,,,,,1079.0,,,,10
2018-12-29 12:47:00,,,,,,1073.0,,,,10
2018-12-29 12:48:00,,,,,,1075.0,,,,10
2018-12-29 12:57:00,,,,,,1068.0,,,,10
2018-12-29 13:14:00,,,,,,1021.0,,,,10
2018-12-29 13:40:00,,,,,,976.0,,,,10
2018-12-29 14:03:00,,,,,,,,34.0,844.0,10
2018-12-29 14:37:00,,,,,,,,,733.0,10
2018-12-29 14:58:00,,,,,,,,,645.0,10
2018-12-29 14:59:00,593.0,,,,,,,,,10
2018-12-29 15:15:00,519.0,,,,,,,,,10
2018-12-29 15:58:00,,122.0,,,,,,,,10
2018-12-29 16:20:00,,,,0.0,,,,,,10
2018-12-29 16:21:00,,,,,157.0,,,,,10
2018-12-29 16:26:00,,,,,173.0,,,,,10
2018-12-29 17:43:00,,121.0,,,,,,,,10
2018-12-29 17:48:00,,121.0,,,,,,,,10
2018-12-29 18:01:00,,121.0,,,,,,,,10
2018-12-29 18:12:00,,121.0,,,,,,,,10
2018-12-29 21:37:00,,122.0,,,,,,,,10
2018-12-29 21:45:00,,122.0,,,,,,,,10
2018-12-29 22:05:00,,122.0,,,,,,,,10
2018-12-29 22:09:00,,122.0,,,,,,,,10
2018-12-29 23:21:00,,122.0,,,,,,,,10
2018-12-29 23:29:00,,122.0,,,,,,,,10
2018-12-29 23:30:00,,122.0,,,,,,,,10
2018-12-29 23:45:00,,122.0,,,,,,,,10
2018-12-29 23:46:00,,122.0,,,,,,,,10
