measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2018-12-30 00:09:00,,,,,0.0,,,,10
2018-12-30 02:55:00,,122.0,,,,,,,10
2018-12-30 03:11:00,,122.0,,,,,,,10
2018-12-30 03:58:00,,122.0,,,,,,,10
2018-12-30 05:42:00,,122.0,,,,,,,10
2018-12-30 07:47:00,,122.0,,,,,,204.0,10
2018-12-30 07:48:00,,,,,,165.0,,,10
2018-12-30 08:08:00,,,,,,,11.0,,10
2018-12-30 08:43:00,474.0,,,,,,,,10
2018-12-30 09:41:00,,,,,,,,738.0,10
2018-12-30 10:07:00,,,,,,,,825.0,10
2018-12-30 10:13:00,,,,,234.0,,,,10
2018-12-30 10:36:00,,,,,,989.0,,,10
2018-12-30 10:37:00,,,,,,,,910.0,10
2018-12-30 10:40:00,,,,,230.0,,,,10
2018-12-30 10:51:00,,124.0,,,,,,,10
2018-12-30 10:52:00,,,,,,,,1003.0,10
2018-12-30 10:59:00,,,,,,,,1028.0,10
2018-12-30 11:00:00,,,,,,,,1083.0,10
2018-12-30 11:18:00,,,,,,760.0,,,10
2018-12-30 11:25:00,,124.0,,,,,,,10
2018-12-30 11:44:00,,123.0,,,,,,,10
2018-12-30 12:11:00,,,,,236.0,,,,10
2018-12-30 12:17:00,,123.0,,,,,,,10
2018-12-30 12:38:00,,,,,,473.0,,,10
2018-12-30 12:53:00,,,,,,,,1128.0,10
2018-12-30 13:16:00,,,,,,,17.0,,10
2018-12-30 13:27:00,,,,,,287.0,,,10
2018-12-30 13:57:00,,,,,,,,197.0,10
2018-12-30 14:02:00,,,,,,197.0,,,10
2018-12-30 14:54:00,,,,14.0,,,,,10
2018-12-30 14:55:00,,,,14.0,,,,,10
2018-12-30 14:58:00,447.0,,,,,,,,10
2018-12-30 15:01:00,,,11.0,,,,,,10
2018-12-30 15:12:00,,122.0,,,,,,,10
2018-12-30 15:18:00,,122.0,,,,,,,10
2018-12-30 15:37:00,,,,,,,,177.0,10
2018-12-30 15:42:00,,,,,243.0,,,,10
2018-12-30 15:52:00,,,,,,,,329.0,10
2018-12-30 15:56:00,286.0,,,,,,,,10
2018-12-30 16:06:00,,122.0,,,,,,,10
2018-12-30 16:50:00,,121.0,,,,,,,10
2018-12-30 16:54:00,,,,,,,,0.0,10
2018-12-30 17:23:00,,121.0,,,,,,,10
2018-12-30 17:24:00,,121.0,,,,,,,10
2018-12-30 17:47:00,,,,,0.0,,,,10
2018-12-30 18:01:00,,,,,0.0,,,,10
2018-12-30 19:52:00,,,,,0.0,,,,10
2018-12-30 20:33:00,,122.0,,,,,,,10
2018-12-30 20:45:00,,122.0,,,,,,,10
2018-12-30 23:33:00,,,,,0.0,,,,10
