measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_2__430,poa_irradiance__421,system_id
2019-01-03 00:52:00,,122.0,,,,,,,,10
2019-01-03 01:58:00,,122.0,,,,,,,,10
2019-01-03 02:03:00,,122.0,,,,,,,,10
2019-01-03 02:46:00,,122.0,,,,,,,,10
2019-01-03 03:31:00,,122.0,,,,,,,,10
2019-01-03 03:50:00,,,,,0.0,,,,,10
2019-01-03 05:43:00,,121.0,,,,,,,,10
2019-01-03 05:56:00,,122.0,,,,,,,,10
2019-01-03 07:57:00,,,,,,,,,266.0,10
2019-01-03 08:15:00,350.0,,,,,,,,,10
2019-01-03 08:16:00,,,,,,422.0,,,,10
2019-01-03 08:19:00,,,,,,,,,393.0,10
2019-01-03 08:20:00,,,,,,,,14.0,,10
2019-01-03 08:28:00,,,,,,,,,441.0,10
2019-01-03 08:44:00,,,,,,594.0,,,522.0,10
2019-01-03 08:55:00,,123.0,,,,,,,,10
2019-01-03 08:59:00,,123.0,,,,,,,,10
2019-01-03 09:47:00,,124.0,,,,,,,,10
2019-01-03 09:55:00,,124.0,,,,,,,,10
2019-01-03 10:12:00,,124.0,,,,,,,,10
2019-01-03 10:38:00,,,,,,1013.0,,,,10
2019-01-03 10:44:00,,,,,,1014.0,,,,10
2019-01-03 10:56:00,,,,,,1042.0,,,,10
2019-01-03 11:04:00,,,,,,1058.0,,,,10
2019-01-03 11:09:00,861.0,,,,,,,,,10
2019-01-03 11:13:00,,,,,,1059.0,,,,10
2019-01-03 11:16:00,,,,,,1010.0,,,,10
2019-01-03 11:17:00,,,,,,1044.0,,,,10
2019-01-03 11:28:00,882.0,,,,,1067.0,,,,10
2019-01-03 11:38:00,,,11.0,,,1051.0,,,,10
2019-01-03 11:44:00,,,,,,1051.0,,,,10
2019-01-03 11:45:00,,,,,,1049.0,,,,10
2019-01-03 11:47:00,,,,,,1046.0,,,,10
2019-01-03 11:52:00,,,,,,,,,1004.0,10
2019-01-03 11:54:00,,,,,,1046.0,,,,10
2019-01-03 11:57:00,,,,,,1048.0,,,,10
2019-01-03 12:06:00,,,,,,1056.0,,,,10
2019-01-03 12:09:00,,,,,,1069.0,,,,10
2019-01-03 12:10:00,,,,,,1069.0,,,,10
2019-01-03 12:13:00,,,,,,1078.0,,,,10
2019-01-03 12:15:00,,,,,,1078.0,,,,10
2019-01-03 12:16:00,,,,,,1084.0,,,,10
2019-01-03 12:18:00,,,,,,1086.0,,,,10
2019-01-03 12:19:00,,,,,,1076.0,,,,10
2019-01-03 12:24:00,,,,,,1040.0,,,,10
2019-01-03 12:30:00,,,,,,,,,1010.0,10
2019-01-03 12:32:00,,124.0,,,,,,,,10
2019-01-03 12:36:00,,,,,,,,,1007.0,10
2019-01-03 12:38:00,875.0,,,,,,,,,10
2019-01-03 12:40:00,,,,,,1060.0,,,,10
2019-01-03 12:44:00,,,,,,1054.0,,,,10
2019-01-03 12:47:00,,,,,,1045.0,,,,10
2019-01-03 12:55:00,,,,,,1037.0,,,,10
2019-01-03 12:58:00,,,,,,1043.0,,,,10
2019-01-03 13:26:00,812.0,,,,,,,,,10
2019-01-03 13:37:00,,,,,,,36.0,,,10
2019-01-03 13:38:00,,,,,,964.0,,,,10
2019-01-03 13:40:00,,124.0,,,,,,,,10
2019-01-03 14:12:00,,,,,,,,,816.0,10
2019-01-03 14:49:00,,,,,,747.0,,,,10
2019-01-03 14:58:00,,,,,230.0,,,,,10
2019-01-03 15:18:00,,,,,,,,,576.0,10
2019-01-03 15:32:00,475.0,,,,,,,,,10
2019-01-03 15:35:00,467.0,,,,,,,,,10
2019-01-03 16:02:00,,,,,,,,,351.0,10
2019-01-03 16:35:00,,,,0.0,,,,,,10
2019-01-03 17:00:00,,121.0,,,,,,,,10
2019-01-03 18:05:00,,122.0,,,,,,,,10
2019-01-03 18:07:00,,122.0,,,,,,,,10
2019-01-03 18:09:00,,122.0,,,,,,,,10
2019-01-03 18:31:00,,122.0,,,,,,,,10
2019-01-03 19:35:00,,122.0,,,,,,,,10
2019-01-03 19:55:00,,122.0,,,,,,,,10
2019-01-03 23:28:00,,122.0,,,,,,,,10
