measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2019-01-06 00:26:00,,122.0,,,,,,10
2019-01-06 02:18:00,,122.0,,,,,,10
2019-01-06 04:41:00,,,,,0.0,,,10
2019-01-06 06:41:00,,121.0,,,,,,10
2019-01-06 06:54:00,,121.0,,,,,,10
2019-01-06 06:55:00,,121.0,,,,,,10
2019-01-06 07:44:00,,,,158.0,,,,10
2019-01-06 07:46:00,,,,158.0,,,,10
2019-01-06 09:33:00,239.0,,,,,,,10
2019-01-06 10:22:00,,,,,855.0,,,10
2019-01-06 10:27:00,,,,,,34.0,,10
2019-01-06 10:32:00,,,,,1002.0,,,10
2019-01-06 10:44:00,,124.0,,,,,,10
2019-01-06 10:45:00,,,,,1018.0,,,10
2019-01-06 10:47:00,,,,,1010.0,,,10
2019-01-06 10:49:00,,,,,1035.0,,,10
2019-01-06 10:52:00,,,,,1049.0,,,10
2019-01-06 10:55:00,,,,,1060.0,,,10
2019-01-06 10:56:00,,,,,,,1052.0,10
2019-01-06 10:59:00,928.0,,,,,,,10
2019-01-06 11:34:00,,,,,,,801.0,10
2019-01-06 11:35:00,780.0,,,,,,,10
2019-01-06 13:02:00,,122.0,,,,,,10
2019-01-06 13:03:00,,122.0,,,,,,10
2019-01-06 13:44:00,,,,,,17.0,,10
2019-01-06 14:20:00,,,,,,,190.0,10
2019-01-06 14:24:00,,,,,485.0,,,10
2019-01-06 14:47:00,809.0,,,,,,,10
2019-01-06 15:44:00,,,,,,24.0,,10
2019-01-06 15:49:00,,,,233.0,,,,10
2019-01-06 15:56:00,,122.0,,,,,,10
2019-01-06 16:20:00,,121.0,,,,,,10
2019-01-06 16:21:00,,121.0,,,,,,10
2019-01-06 16:43:00,,,0.0,,,,,10
2019-01-06 16:49:00,,,,,,,0.0,10
2019-01-06 17:57:00,,121.0,,,,,,10
2019-01-06 17:59:00,,121.0,,,,,,10
2019-01-06 18:44:00,,121.0,,,,,,10
2019-01-06 18:48:00,,121.0,,,,,,10
2019-01-06 18:50:00,,121.0,,,,,,10
2019-01-06 22:03:00,,,,,0.0,,,10
2019-01-06 22:31:00,,122.0,,,,,,10
