measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,poa_irradiance__421,system_id
2019-01-07 00:39:00,,,,0.0,,,,10
2019-01-07 01:34:00,,121.0,,,,,,10
2019-01-07 02:04:00,,122.0,,,,,,10
2019-01-07 02:18:00,,,,,0.0,,,10
2019-01-07 03:15:00,,122.0,,,,,,10
2019-01-07 03:46:00,,,,0.0,,,,10
2019-01-07 07:27:00,,,,167.0,,,,10
2019-01-07 08:15:00,,122.0,,,,,,10
2019-01-07 08:40:00,,123.0,,,,,,10
2019-01-07 08:50:00,,123.0,,,,,,10
2019-01-07 09:46:00,,,,,876.0,,,10
2019-01-07 10:07:00,,,,,927.0,,,10
2019-01-07 10:19:00,793.0,,,,,,,10
2019-01-07 10:48:00,,,,,1033.0,,,10
2019-01-07 10:49:00,,,,,1041.0,,,10
2019-01-07 10:54:00,,,,,1060.0,,,10
2019-01-07 11:00:00,,,,,1070.0,,,10
2019-01-07 11:20:00,,,,,1092.0,,,10
2019-01-07 11:26:00,,,,,,,984.0,10
2019-01-07 11:36:00,,,,,1084.0,,,10
2019-01-07 11:39:00,,,,,1090.0,,,10
2019-01-07 11:42:00,904.0,,,,,,,10
2019-01-07 11:43:00,,,,,1098.0,,,10
2019-01-07 11:47:00,,,,,,,1005.0,10
2019-01-07 12:05:00,,,,,1119.0,,,10
2019-01-07 12:10:00,,,,,,,1018.0,10
2019-01-07 12:17:00,,,,,,,1020.0,10
2019-01-07 12:19:00,,,,,1122.0,,,10
2019-01-07 12:20:00,,,,,1117.0,,,10
2019-01-07 12:21:00,,,,,,,1020.0,10
2019-01-07 12:23:00,,,,,,,1022.0,10
2019-01-07 12:36:00,,,,,,,1015.0,10
2019-01-07 12:39:00,916.0,,,,,,,10
2019-01-07 12:43:00,,124.0,,,,,,10
2019-01-07 12:46:00,,124.0,,,,,,10
2019-01-07 12:47:00,,,,,,,1006.0,10
2019-01-07 12:52:00,,124.0,,,,,,10
2019-01-07 12:55:00,,,,,1095.0,,,10
2019-01-07 12:58:00,,,,,1102.0,,,10
2019-01-07 13:04:00,,,,,,,991.0,10
2019-01-07 13:16:00,,,,,1079.0,,,10
2019-01-07 13:25:00,,,,239.0,,,,10
2019-01-07 13:27:00,,,,,1064.0,,,10
2019-01-07 13:46:00,,,,,1010.0,,,10
2019-01-07 13:49:00,,,,,,,903.0,10
2019-01-07 14:09:00,,,,,,,852.0,10
2019-01-07 14:14:00,,,,,,,837.0,10
2019-01-07 14:17:00,,,,,,,829.0,10
2019-01-07 14:29:00,,124.0,,,,,,10
2019-01-07 14:37:00,,,,243.0,,,,10
2019-01-07 14:39:00,,124.0,,,,,,10
2019-01-07 14:47:00,,,,,821.0,,,10
2019-01-07 15:28:00,,123.0,,,,,,10
2019-01-07 15:34:00,,,,240.0,,,,10
2019-01-07 15:55:00,,,,,444.0,,,10
2019-01-07 16:03:00,,,,,,13.0,,10
2019-01-07 16:41:00,,,0.0,,,,,10
2019-01-07 18:00:00,,122.0,,,,,,10
2019-01-07 18:44:00,,122.0,,,,,,10
2019-01-07 19:45:00,,122.0,,,,,,10
2019-01-07 23:44:00,,122.0,,,,,,10
2019-01-07 23:49:00,,122.0,,,,,,10
