measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-01-08 06:12:00,,122.0,,,,,,,10
2019-01-08 06:39:00,,122.0,,,,,,,10
2019-01-08 07:49:00,,,,,,,,217.0,10
2019-01-08 07:53:00,,,,224.0,,,,,10
2019-01-08 07:57:00,,,231.0,,,,,,10
2019-01-08 08:06:00,,,,318.0,,,,,10
2019-01-08 08:10:00,278.0,,,,,,,,10
2019-01-08 08:12:00,291.0,,,,,,,,10
2019-01-08 08:34:00,,,,,,,,380.0,10
2019-01-08 08:46:00,,,,540.0,,,,,10
2019-01-08 09:02:00,,,,,12.0,,,,10
2019-01-08 09:10:00,,,,,,,,543.0,10
2019-01-08 09:18:00,,,,,,,,528.0,10
2019-01-08 09:39:00,,,,,,,,675.0,10
2019-01-08 10:08:00,,,,,,,,755.0,10
2019-01-08 10:16:00,,,,924.0,,,,,10
2019-01-08 10:39:00,,,,,,,,879.0,10
2019-01-08 10:41:00,,,240.0,,,,,,10
2019-01-08 10:52:00,,124.0,,,,,,,10
2019-01-08 11:07:00,,,,1012.0,,,,,10
2019-01-08 11:18:00,,,,1027.0,,,,,10
2019-01-08 11:21:00,898.0,,,,,,,,10
2019-01-08 11:24:00,,,,1081.0,,,,,10
2019-01-08 11:32:00,,,,1042.0,,,,,10
2019-01-08 11:36:00,,,,1117.0,,,,,10
2019-01-08 11:37:00,,,,1110.0,,,,1019.0,10
2019-01-08 11:44:00,,,,1110.0,,,,1015.0,10
2019-01-08 11:51:00,,,,1108.0,,,,,10
2019-01-08 11:52:00,,,232.0,,,,,,10
2019-01-08 12:09:00,,,,1056.0,,,,,10
2019-01-08 12:10:00,,,,1057.0,30.0,,,,10
2019-01-08 12:13:00,,,,1109.0,,,,,10
2019-01-08 12:18:00,,,,1088.0,,,,,10
2019-01-08 12:32:00,,,,1046.0,,,,,10
2019-01-08 12:38:00,,,,1039.0,,,,,10
2019-01-08 12:39:00,,,,,,,,982.0,10
2019-01-08 12:40:00,,,225.0,1069.0,,,,,10
2019-01-08 12:48:00,,,,1044.0,,,,,10
2019-01-08 13:01:00,,,,1060.0,,,,,10
2019-01-08 13:11:00,,,239.0,,,,,,10
2019-01-08 13:19:00,817.0,,,,,,,,10
2019-01-08 13:28:00,,,,,,,27.0,,10
2019-01-08 13:29:00,773.0,,,,,,,,10
2019-01-08 14:12:00,738.0,,,,,,,,10
2019-01-08 14:14:00,733.0,,,,,,,,10
2019-01-08 14:41:00,,,241.0,,,,,,10
2019-01-08 14:44:00,,,,,,,24.0,,10
2019-01-08 15:00:00,,123.0,,,,,,,10
2019-01-08 15:04:00,,123.0,,,,,,,10
2019-01-08 15:10:00,,,,529.0,,,,,10
2019-01-08 16:12:00,,,,,,13.0,,,10
2019-01-08 16:52:00,,121.0,,,,,,,10
2019-01-08 18:06:00,,122.0,,,,,,,10
2019-01-08 18:15:00,,122.0,,,,,,,10
2019-01-08 19:10:00,,,0.0,,,,,,10
2019-01-08 22:12:00,,122.0,0.0,,,,,,10
2019-01-08 22:22:00,,122.0,,,,,,,10
