measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-01-09 00:56:00,,,,0.0,,,10
2019-01-09 04:13:00,,122.0,,,,,10
2019-01-09 04:24:00,,,,0.0,,,10
2019-01-09 04:29:00,,,,0.0,,,10
2019-01-09 06:28:00,,122.0,,,,,10
2019-01-09 07:32:00,,121.0,,,,,10
2019-01-09 08:38:00,192.0,,,,,215.0,10
2019-01-09 09:16:00,311.0,,,,,,10
2019-01-09 09:20:00,,123.0,,,,,10
2019-01-09 09:52:00,,,,,,557.0,10
2019-01-09 09:58:00,,,,,753.0,,10
2019-01-09 10:14:00,,,,,772.0,,10
2019-01-09 10:18:00,,,,232.0,,,10
2019-01-09 10:37:00,,,,,,598.0,10
2019-01-09 11:34:00,,,,,,755.0,10
2019-01-09 11:56:00,,,,,707.0,,10
2019-01-09 12:06:00,,,,,,871.0,10
2019-01-09 12:12:00,736.0,,,,,,10
2019-01-09 12:40:00,615.0,,,,,,10
2019-01-09 12:46:00,436.0,,,,,,10
2019-01-09 12:51:00,,,,,439.0,,10
2019-01-09 12:58:00,445.0,,,,,,10
2019-01-09 13:07:00,,123.0,,,,,10
2019-01-09 13:12:00,,,13.0,,,,10
2019-01-09 13:25:00,,,,232.0,,,10
2019-01-09 13:51:00,,,,246.0,,,10
2019-01-09 13:52:00,,,,254.0,,,10
2019-01-09 14:04:00,,,,,,660.0,10
2019-01-09 14:34:00,,124.0,,,,,10
2019-01-09 14:37:00,,,,,,468.0,10
2019-01-09 14:49:00,,,,,288.0,,10
2019-01-09 15:20:00,,,,,476.0,,10
2019-01-09 15:23:00,317.0,,,,,,10
2019-01-09 15:31:00,279.0,,,,,,10
2019-01-09 15:36:00,,123.0,,,,,10
2019-01-09 15:41:00,,123.0,,,,,10
2019-01-09 16:21:00,,122.0,,,,,10
2019-01-09 18:01:00,,122.0,,,,,10
2019-01-09 18:23:00,,122.0,,,,,10
2019-01-09 21:05:00,,,,0.0,,,10
2019-01-09 21:49:00,,,,0.0,,,10
2019-01-09 22:20:00,,,,0.0,,,10
2019-01-09 22:32:00,,,,,0.0,,10
