measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2019-01-10 00:29:00,,,,0.0,,,,,10
2019-01-10 00:36:00,,122.0,,,,,,,10
2019-01-10 01:02:00,,122.0,,,,,,,10
2019-01-10 01:18:00,,,,,,,,0.0,10
2019-01-10 01:39:00,,122.0,,,,,,,10
2019-01-10 01:46:00,,122.0,,,,,,,10
2019-01-10 01:47:00,,122.0,,,,,,,10
2019-01-10 05:36:00,,,,0.0,,,,,10
2019-01-10 05:58:00,,,,0.0,,,,,10
2019-01-10 06:21:00,,122.0,,,,,,,10
2019-01-10 07:34:00,,122.0,,,,,,,10
2019-01-10 07:48:00,,,,183.0,,,,,10
2019-01-10 07:51:00,,,,180.0,,,,,10
2019-01-10 08:10:00,,,,,,,,295.0,10
2019-01-10 08:32:00,,,,,297.0,,,,10
2019-01-10 08:34:00,,,,,347.0,,,,10
2019-01-10 08:37:00,,,,,,,,302.0,10
2019-01-10 09:41:00,,124.0,,,,,,,10
2019-01-10 09:42:00,,124.0,,,,,,,10
2019-01-10 10:11:00,555.0,,,,,,,,10
2019-01-10 10:24:00,,124.0,,,,,,,10
2019-01-10 10:42:00,707.0,,,,,,,,10
2019-01-10 10:55:00,,,,,,,34.0,,10
2019-01-10 11:01:00,,,,228.0,,,,,10
2019-01-10 11:08:00,,,,235.0,,,,,10
2019-01-10 11:35:00,,124.0,,,,,,,10
2019-01-10 11:39:00,,,,,840.0,,,,10
2019-01-10 11:45:00,,,,,1008.0,,,,10
2019-01-10 11:46:00,,,,,971.0,,,,10
2019-01-10 12:02:00,768.0,,,,,,,,10
2019-01-10 12:47:00,,,,,,,,610.0,10
2019-01-10 13:05:00,,,,235.0,,,,,10
2019-01-10 13:19:00,,,,230.0,,,,,10
2019-01-10 13:27:00,,,,,,34.0,,,10
2019-01-10 13:33:00,,,16.0,,,,,,10
2019-01-10 13:39:00,,,,,667.0,,,,10
2019-01-10 13:51:00,,123.0,,,,,,,10
2019-01-10 13:55:00,,123.0,,,,,,,10
2019-01-10 14:23:00,,,,,,,,241.0,10
2019-01-10 14:30:00,,123.0,,,,,,,10
2019-01-10 16:47:00,,122.0,,,,,,,10
2019-01-10 17:06:00,,122.0,,,,,,,10
2019-01-10 17:17:00,,122.0,,,,,,,10
2019-01-10 17:31:00,,122.0,,,,,,,10
2019-01-10 22:33:00,,122.0,,,,,,,10
2019-01-10 22:34:00,,122.0,,,,,,,10
2019-01-10 22:39:00,,122.0,,,,,,,10
