measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-01-14 02:28:00,,122.0,,,,,,,,,10
2019-01-14 05:36:00,,122.0,,,,,,,,,10
2019-01-14 06:10:00,,,,0.0,,,,,,,10
2019-01-14 07:21:00,,122.0,,,,,,,,,10
2019-01-14 07:47:00,198.0,,,,,,,,,,10
2019-01-14 07:53:00,244.0,,,250.0,,,,,,,10
2019-01-14 08:25:00,448.0,,,,,,,,,,10
2019-01-14 08:32:00,,,,,,,,,,514.0,10
2019-01-14 08:36:00,,124.0,,,,,,,,539.0,10
2019-01-14 08:37:00,,124.0,,,,,,,,,10
2019-01-14 09:37:00,774.0,,,,,,,,,,10
2019-01-14 10:01:00,,,,,,,,,,849.0,10
2019-01-14 10:17:00,,,,,1013.0,,,,,,10
2019-01-14 10:18:00,,,,,,,,,37.0,,10
2019-01-14 10:23:00,,,,227.0,,,,,,,10
2019-01-14 10:28:00,857.0,,,,,,,,,,10
2019-01-14 10:29:00,,,,,1034.0,,,,,,10
2019-01-14 10:47:00,,,,,,,,,,1021.0,10
2019-01-14 10:48:00,,,,,1065.0,,,,,,10
2019-01-14 10:54:00,,,,,1069.0,,,,,,10
2019-01-14 10:55:00,,,,,,,,,,1035.0,10
2019-01-14 10:56:00,,,,,1071.0,,,,,,10
2019-01-14 10:59:00,,,,,,,,,,1043.0,10
2019-01-14 11:00:00,,,,,1073.0,,,,,,10
2019-01-14 11:03:00,,,,,,,,,,1051.0,10
2019-01-14 11:08:00,,,,,,,,,,1058.0,10
2019-01-14 11:10:00,,,,,1093.0,,,,,,10
2019-01-14 11:17:00,,,,,,,,,,1072.0,10
2019-01-14 11:19:00,,,,,1096.0,,,,,,10
2019-01-14 11:23:00,,,,,1096.0,,,,,,10
2019-01-14 11:27:00,,,,,,,,,,1086.0,10
2019-01-14 11:32:00,,,,,,,,,,1096.0,10
2019-01-14 11:35:00,,,,,,,,,,1099.0,10
2019-01-14 11:38:00,,,,,,,,,,1101.0,10
2019-01-14 11:41:00,,,,,,,,,,1105.0,10
2019-01-14 11:52:00,,,,,,,,,,1112.0,10
2019-01-14 11:56:00,,,,,1128.0,,,,,,10
2019-01-14 12:00:00,,,,,,,,,,1115.0,10
2019-01-14 12:03:00,,,,,1134.0,,,,,,10
2019-01-14 12:04:00,,,,,1137.0,,,,,,10
2019-01-14 12:06:00,,,,,1132.0,,,,,,10
2019-01-14 12:09:00,,,,,,,,,,1121.0,10
2019-01-14 12:12:00,,,,,1132.0,,,,,,10
2019-01-14 12:24:00,,,,,,,,,,1104.0,10
2019-01-14 12:38:00,,,,,,,,,,1106.0,10
2019-01-14 12:44:00,,,,,1121.0,,,,,,10
2019-01-14 12:50:00,,,,,1111.0,,,,,1101.0,10
2019-01-14 12:55:00,,,,,,,,,,1099.0,10
2019-01-14 13:01:00,,,,,1106.0,,,,,,10
2019-01-14 13:03:00,,,,,1096.0,,,,,,10
2019-01-14 13:09:00,,,,217.0,,,,,,,10
2019-01-14 13:10:00,,,,,,,,,,1075.0,10
2019-01-14 13:14:00,,,,,,,,,,1059.0,10
2019-01-14 13:15:00,,,,,1097.0,,,,,1063.0,10
2019-01-14 13:16:00,,,,,1083.0,,,,,,10
2019-01-14 13:17:00,,,,,,19.0,,,,,10
2019-01-14 13:19:00,,,,,1097.0,,,,,,10
2019-01-14 13:20:00,,,,,,,,,,1057.0,10
2019-01-14 13:24:00,884.0,,,,,,,,,,10
2019-01-14 13:33:00,,,,,1056.0,,,,,,10
2019-01-14 13:34:00,,,,,1055.0,,,,,1026.0,10
2019-01-14 13:36:00,,,,,,,,,,1023.0,10
2019-01-14 13:42:00,,,,,,,36.0,,,,10
2019-01-14 13:49:00,,,,,1016.0,,,,,,10
2019-01-14 13:52:00,,,,,1006.0,,,,,,10
2019-01-14 13:53:00,,,,,1006.0,,,,,,10
2019-01-14 13:58:00,,,,,1000.0,,,,,,10
2019-01-14 14:09:00,800.0,,,,,,,,,,10
2019-01-14 14:12:00,,,12.0,,,,,,,,10
2019-01-14 14:23:00,769.0,,,,,,,,,,10
2019-01-14 14:32:00,,,,,897.0,,,,,,10
2019-01-14 15:18:00,,,,,706.0,,,,,,10
2019-01-14 15:28:00,544.0,,,,,,,,,,10
2019-01-14 15:38:00,,,,,,,,,,543.0,10
2019-01-14 15:41:00,,,,,,,,28.0,,,10
2019-01-14 15:53:00,,,,,,,,,,477.0,10
2019-01-14 16:24:00,,,,,,,,,,290.0,10
2019-01-14 17:22:00,,122.0,,,,,,,,,10
2019-01-14 17:32:00,,122.0,,,,,,,,,10
2019-01-14 17:36:00,,122.0,,,,,,,,,10
2019-01-14 17:37:00,,122.0,,,,,,,,,10
2019-01-14 17:38:00,,122.0,,,,,,,,,10
2019-01-14 17:49:00,,122.0,,,,,,,,,10
2019-01-14 17:57:00,,122.0,,,,,,,,,10
2019-01-14 18:50:00,,,,0.0,,,,,,,10
2019-01-14 22:09:00,,,,0.0,,,,,,,10
