measured_on,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2019-01-16 03:04:00,,,0.0,,,,,,10
2019-01-16 03:43:00,,,0.0,,,,,,10
2019-01-16 04:20:00,122.0,,,,,,,,10
2019-01-16 04:41:00,122.0,,,,,,,,10
2019-01-16 04:59:00,122.0,,,,,,,,10
2019-01-16 05:37:00,122.0,,,,,,,,10
2019-01-16 05:50:00,122.0,,,,,,,,10
2019-01-16 06:48:00,,,0.0,,,,,,10
2019-01-16 07:58:00,,,159.0,,,,,,10
2019-01-16 08:37:00,,,,115.0,,,,,10
2019-01-16 08:40:00,123.0,,,,,,,,10
2019-01-16 09:17:00,,,,,,,,156.0,10
2019-01-16 09:34:00,,,,,,,,222.0,10
2019-01-16 09:46:00,,,,,,,,542.0,10
2019-01-16 10:17:00,124.0,,,,,,,,10
2019-01-16 10:45:00,,,,1037.0,,,,,10
2019-01-16 10:52:00,,,,1081.0,,,,,10
2019-01-16 11:03:00,,,,1157.0,,,,1099.0,10
2019-01-16 11:20:00,,,,1159.0,,,,,10
2019-01-16 11:27:00,,,,1105.0,,,,,10
2019-01-16 11:28:00,,,,,,,43.0,,10
2019-01-16 11:39:00,,,,1010.0,,,,,10
2019-01-16 11:55:00,,,,,,,,1113.0,10
2019-01-16 12:04:00,,,,,,,,1068.0,10
2019-01-16 12:09:00,,,,1165.0,,,,,10
2019-01-16 12:13:00,,,,,,,,1141.0,10
2019-01-16 12:20:00,,,,1174.0,,,,,10
2019-01-16 12:26:00,,,,,,,,1112.0,10
2019-01-16 12:33:00,,,,1064.0,,,,,10
2019-01-16 12:36:00,,,,,,,,1103.0,10
2019-01-16 12:41:00,,,,1194.0,,,,,10
2019-01-16 12:43:00,,,,1064.0,,,,,10
2019-01-16 12:59:00,,,,,16.0,,,,10
2019-01-16 13:20:00,,,,544.0,,,,,10
2019-01-16 13:51:00,,,237.0,,,,,,10
2019-01-16 14:05:00,,,,,,,,211.0,10
2019-01-16 14:18:00,,,,1022.0,,,,,10
2019-01-16 14:28:00,,,,,,,,768.0,10
2019-01-16 14:40:00,122.0,,,,,,,,10
2019-01-16 15:25:00,122.0,,,,,,,,10
2019-01-16 16:47:00,,,156.0,,,,,,10
2019-01-16 16:57:00,,0.0,,,,,,,10
2019-01-16 17:34:00,122.0,,,,,,,,10
2019-01-16 18:07:00,,,,,,5.0,,,10
2019-01-16 18:56:00,122.0,,,,,,,,10
2019-01-16 19:51:00,,,,0.0,,,,,10
2019-01-16 23:12:00,,,0.0,,,,,,10
2019-01-16 23:32:00,,,0.0,,,,,,10
2019-01-16 23:58:00,122.0,,,,,,,,10
