measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,system_id
2019-01-18 01:40:00,,,0.0,10
2019-01-18 04:05:00,,122.0,,10
2019-01-18 04:52:00,,,0.0,10
2019-01-18 05:23:00,,,0.0,10
2019-01-18 06:01:00,,,0.0,10
2019-01-18 06:16:00,,,0.0,10
2019-01-18 08:19:00,,,159.0,10
2019-01-18 08:23:00,0.0,,,10
2019-01-18 08:32:00,,,159.0,10
2019-01-18 08:46:00,,,177.0,10
2019-01-18 09:03:00,,,159.0,10
2019-01-18 09:24:00,,122.0,,10
2019-01-18 09:34:00,,,204.0,10
2019-01-18 11:08:00,24.0,,,10
2019-01-18 11:19:00,,,201.0,10
2019-01-18 15:11:00,,123.0,,10
2019-01-18 15:13:00,,123.0,,10
2019-01-18 15:16:00,,123.0,,10
2019-01-18 16:31:00,,123.0,,10
2019-01-18 17:18:00,,122.0,,10
2019-01-18 17:40:00,,122.0,,10
2019-01-18 20:43:00,,122.0,,10
