measured_on,ac_current__427,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-01-19 07:39:00,,85.0,,,,,,,209.0,10
2019-01-19 07:54:00,,,123.0,,,,,,,10
2019-01-19 07:56:00,,,123.0,,,,,,,10
2019-01-19 07:59:00,,,123.0,,,,,,,10
2019-01-19 08:48:00,,,,,,,,,623.0,10
2019-01-19 09:10:00,,,124.0,,,,,,,10
2019-01-19 09:18:00,,,,248.0,,,,,,10
2019-01-19 09:35:00,,680.0,,,,,,,,10
2019-01-19 09:38:00,,,,,,,28.0,,,10
2019-01-19 09:41:00,,,,,,,,29.0,,10
2019-01-19 10:04:00,,,,234.0,,,,,,10
2019-01-19 10:12:00,,793.0,,,,,,,,10
2019-01-19 10:20:00,,825.0,,,,,,,,10
2019-01-19 10:29:00,,,,,1016.0,,,,,10
2019-01-19 10:31:00,,,,,1022.0,,,,,10
2019-01-19 10:37:00,,863.0,,,,,,,,10
2019-01-19 10:56:00,,,,,1084.0,,,,,10
2019-01-19 10:57:00,,,,,1086.0,,,,,10
2019-01-19 10:59:00,,,,,,,,,1009.0,10
2019-01-19 11:02:00,,,,,,,,,1014.0,10
2019-01-19 11:03:00,,,,,1088.0,,,,,10
2019-01-19 11:06:00,,904.0,,,,,,,,10
2019-01-19 11:07:00,,906.0,,,1093.0,,,,,10
2019-01-19 11:08:00,,,,,,,,,1022.0,10
2019-01-19 11:16:00,,,,,1121.0,,37.0,,,10
2019-01-19 11:25:00,,,125.0,,,,,,,10
2019-01-19 11:27:00,,,,,,,,,1055.0,10
2019-01-19 11:31:00,,,,,1130.0,,,,,10
2019-01-19 11:34:00,,,,,1137.0,,,,,10
2019-01-19 11:35:00,,,,,,,,,1036.0,10
2019-01-19 11:36:00,,,,,1071.0,,,,,10
2019-01-19 11:41:00,,,,,1086.0,,,,,10
2019-01-19 11:43:00,,,,,,,,,1015.0,10
2019-01-19 11:48:00,,,,235.0,,,,,1043.0,10
2019-01-19 12:00:00,,,,,1084.0,,,,,10
2019-01-19 12:02:00,,,,,1178.0,,,,,10
2019-01-19 12:03:00,,,,,1176.0,,,,,10
2019-01-19 12:04:00,,,,,,,,,1113.0,10
2019-01-19 12:06:00,8.0,,,,,,,,,10
2019-01-19 12:14:00,,,,,1110.0,,,,,10
2019-01-19 12:15:00,,,,226.0,,,,,,10
2019-01-19 12:16:00,,,,,1139.0,,,,1091.0,10
2019-01-19 12:38:00,,,,,1124.0,,,,,10
2019-01-19 12:45:00,,,,,1106.0,,,,,10
2019-01-19 12:46:00,,,,,1103.0,,,,,10
2019-01-19 12:49:00,,,,,,,,,1052.0,10
2019-01-19 12:50:00,,,,,1096.0,,,,,10
2019-01-19 12:54:00,,,,,,,,,1047.0,10
2019-01-19 12:55:00,,,,,,,,,1046.0,10
2019-01-19 13:03:00,,,,,,,,,1033.0,10
2019-01-19 13:05:00,,,,,,,,,1022.0,10
2019-01-19 13:06:00,,,,,,,,,1016.0,10
2019-01-19 14:47:00,,101.0,,,,,,,,10
2019-01-19 14:53:00,,,,,128.0,,,,,10
2019-01-19 14:57:00,,,,,,,,,134.0,10
2019-01-19 15:14:00,,,,,,,,,156.0,10
2019-01-19 15:36:00,,,,,,,,,396.0,10
2019-01-19 15:44:00,,,,,,,,,539.0,10
2019-01-19 15:50:00,,493.0,,,,,,,,10
2019-01-19 15:53:00,,,,242.0,,,,,,10
2019-01-19 19:26:00,,,,,,6.0,,,,10
2019-01-19 20:03:00,,,,0.0,,,,,,10
2019-01-19 20:43:00,,,122.0,,,,,,,10
2019-01-19 20:50:00,,,122.0,,,,,,,10
2019-01-19 20:55:00,,,122.0,,,,,,,10
2019-01-19 23:06:00,,,,0.0,,,,,,10
