measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-01-23 02:44:00,,,,0.0,,,10
2019-01-23 04:41:00,,122.0,,,,,10
2019-01-23 04:51:00,,122.0,,,,,10
2019-01-23 04:53:00,,122.0,,,,,10
2019-01-23 07:29:00,,,,,,123.0,10
2019-01-23 07:53:00,,,,229.0,,,10
2019-01-23 08:21:00,,,,,463.0,,10
2019-01-23 08:23:00,,123.0,,,,,10
2019-01-23 09:01:00,,,,228.0,,,10
2019-01-23 09:51:00,819.0,,,,,,10
2019-01-23 09:58:00,,124.0,,,,,10
2019-01-23 10:24:00,933.0,,,,,,10
2019-01-23 10:29:00,,,,,1222.0,,10
2019-01-23 10:39:00,814.0,,,,,,10
2019-01-23 10:41:00,941.0,,,,,,10
2019-01-23 10:42:00,933.0,,,,,,10
2019-01-23 10:45:00,,,,,1251.0,1149.0,10
2019-01-23 10:58:00,,,,,1234.0,,10
2019-01-23 11:12:00,,,,223.0,,,10
2019-01-23 11:16:00,494.0,,,,,,10
2019-01-23 11:29:00,,,,,,253.0,10
2019-01-23 11:37:00,,,1.0,,,,10
2019-01-23 11:39:00,,,,238.0,,,10
2019-01-23 11:43:00,,,,,,208.0,10
2019-01-23 12:01:00,,,,,,192.0,10
2019-01-23 12:30:00,,,,,,229.0,10
2019-01-23 12:42:00,,,,,,413.0,10
2019-01-23 12:43:00,,124.0,,,,,10
2019-01-23 12:49:00,,,,,,1189.0,10
2019-01-23 12:52:00,,,,,,1105.0,10
2019-01-23 13:12:00,,,,,1010.0,,10
2019-01-23 13:15:00,,,,,,1070.0,10
2019-01-23 13:46:00,,,,,1016.0,,10
2019-01-23 14:08:00,418.0,,,,,,10
2019-01-23 14:09:00,,,,,466.0,,10
2019-01-23 14:28:00,,,,237.0,,,10
2019-01-23 14:30:00,,123.0,,,,,10
2019-01-23 14:41:00,,,,,1028.0,,10
2019-01-23 14:47:00,,,,,763.0,,10
2019-01-23 14:58:00,,,,,,781.0,10
2019-01-23 15:09:00,,,,243.0,,,10
2019-01-23 15:24:00,,124.0,,,,,10
2019-01-23 15:26:00,,,,,,631.0,10
2019-01-23 15:36:00,,,,240.0,,,10
2019-01-23 16:09:00,303.0,,,,,,10
2019-01-23 16:30:00,,,,,322.0,,10
2019-01-23 16:31:00,,,,,312.0,,10
2019-01-23 16:46:00,,122.0,,,,35.0,10
2019-01-23 18:59:00,,,,0.0,,,10
2019-01-23 19:50:00,,122.0,,,,,10
2019-01-23 19:55:00,,122.0,,,,,10
2019-01-23 19:59:00,,122.0,,,,,10
2019-01-23 22:20:00,,122.0,,,,,10
2019-01-23 23:49:00,,122.0,,,,,10
