measured_on,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-01-25 03:29:00,,0.0,,,,,10
2019-01-25 04:58:00,121.0,,,,,,10
2019-01-25 05:22:00,122.0,,,,,,10
2019-01-25 05:26:00,122.0,,,,,,10
2019-01-25 07:22:00,121.0,,,,,,10
2019-01-25 07:31:00,,,,,,145.0,10
2019-01-25 07:32:00,,175.0,,,,,10
2019-01-25 07:50:00,123.0,,,,,,10
2019-01-25 08:14:00,,,,,,420.0,10
2019-01-25 08:23:00,,240.0,,,,,10
2019-01-25 09:13:00,,,,20.0,,,10
2019-01-25 09:23:00,,235.0,,,,,10
2019-01-25 09:44:00,,233.0,,,,,10
2019-01-25 10:14:00,,,1004.0,,,,10
2019-01-25 10:16:00,124.0,,,,,,10
2019-01-25 10:25:00,,,1020.0,,,,10
2019-01-25 10:40:00,,237.0,,,,,10
2019-01-25 10:45:00,,,1068.0,,,,10
2019-01-25 10:48:00,,,1069.0,,36.0,,10
2019-01-25 10:53:00,,,1076.0,,,,10
2019-01-25 10:55:00,,,,,,1032.0,10
2019-01-25 10:57:00,,,,,,1036.0,10
2019-01-25 10:58:00,,,,,,1040.0,10
2019-01-25 10:59:00,,,1092.0,,,,10
2019-01-25 11:06:00,,,1109.0,,,,10
2019-01-25 11:23:00,,,1114.0,,,1070.0,10
2019-01-25 11:27:00,,231.0,1120.0,,,,10
2019-01-25 11:38:00,,,,,,1081.0,10
2019-01-25 11:42:00,,,,,,1084.0,10
2019-01-25 11:44:00,,,,,,1088.0,10
2019-01-25 11:53:00,,,1191.0,,,,10
2019-01-25 11:58:00,125.0,,,,,,10
2019-01-25 11:59:00,,,,,,1100.0,10
2019-01-25 12:01:00,,,1202.0,,,,10
2019-01-25 12:02:00,,,1204.0,,,,10
2019-01-25 12:03:00,,,,,,1104.0,10
2019-01-25 12:04:00,,,,,,1106.0,10
2019-01-25 12:05:00,125.0,,,,,,10
2019-01-25 12:08:00,,243.0,,,,,10
2019-01-25 12:15:00,,,,,,1079.0,10
2019-01-25 12:26:00,,,1199.0,,,,10
2019-01-25 12:27:00,,,1200.0,,,,10
2019-01-25 12:37:00,,,,,,1104.0,10
2019-01-25 12:41:00,,,1174.0,,,,10
2019-01-25 12:49:00,,,,,,1112.0,10
2019-01-25 13:03:00,,,,,,1101.0,10
2019-01-25 13:07:00,,,,,,1090.0,10
2019-01-25 13:09:00,,,1151.0,,,,10
2019-01-25 13:16:00,124.0,,,,,,10
2019-01-25 13:19:00,,,1120.0,,,,10
2019-01-25 13:22:00,,,,,,1043.0,10
2019-01-25 13:24:00,,,,,,1028.0,10
2019-01-25 13:26:00,,,,,40.0,,10
2019-01-25 13:32:00,,,1099.0,,,,10
2019-01-25 13:33:00,,,,,,1041.0,10
2019-01-25 13:35:00,,,,,,1052.0,10
2019-01-25 13:36:00,,,1107.0,,,1040.0,10
2019-01-25 13:38:00,,,1085.0,,,,10
2019-01-25 13:45:00,,,1056.0,,,,10
2019-01-25 14:06:00,,,1029.0,,,,10
2019-01-25 14:28:00,,216.0,,,,,10
2019-01-25 14:34:00,,,,23.0,,,10
2019-01-25 14:43:00,,227.0,,,,,10
2019-01-25 15:04:00,,225.0,,,,,10
2019-01-25 15:15:00,,,204.0,,,,10
2019-01-25 15:20:00,122.0,,,,,,10
2019-01-25 15:29:00,,,,,,283.0,10
2019-01-25 15:48:00,,233.0,,,,,10
2019-01-25 16:04:00,,,,,,374.0,10
2019-01-25 16:10:00,,,368.0,,,,10
2019-01-25 17:02:00,,187.0,,,,,10
2019-01-25 17:33:00,121.0,,,,,,10
2019-01-25 17:44:00,121.0,,,,,,10
2019-01-25 18:09:00,122.0,,,,,,10
2019-01-25 18:15:00,122.0,,,,,,10
2019-01-25 21:37:00,122.0,,,,,,10
2019-01-25 22:27:00,122.0,,,,,,10
