measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_3__431,poa_irradiance__421,system_id
2019-01-26 01:22:00,,122.0,,,,,,10
2019-01-26 01:51:00,,,0.0,,,,,10
2019-01-26 01:52:00,,122.0,,,,,,10
2019-01-26 02:04:00,,,0.0,,,,,10
2019-01-26 02:25:00,,122.0,,,,,,10
2019-01-26 02:26:00,,122.0,,,,,,10
2019-01-26 03:52:00,,122.0,,,,,,10
2019-01-26 03:59:00,,122.0,,,,,,10
2019-01-26 04:15:00,,,,0.0,,,,10
2019-01-26 04:21:00,,122.0,,,,,,10
2019-01-26 04:37:00,,122.0,,,,,,10
2019-01-26 05:27:00,,122.0,,,,,,10
2019-01-26 05:39:00,,122.0,,,,,,10
2019-01-26 06:06:00,,,0.0,,,,,10
2019-01-26 07:44:00,,122.0,,,,,,10
2019-01-26 08:01:00,,122.0,,,,,,10
2019-01-26 08:16:00,,122.0,,,,,,10
2019-01-26 08:21:00,,122.0,,,,,,10
2019-01-26 09:23:00,707.0,,,,,,,10
2019-01-26 09:26:00,,,,,,,723.0,10
2019-01-26 09:51:00,,,,1011.0,,,,10
2019-01-26 09:52:00,,,,1013.0,,,,10
2019-01-26 10:00:00,,,253.0,,,,,10
2019-01-26 10:13:00,,,,1220.0,,,,10
2019-01-26 10:56:00,,,233.0,,,,,10
2019-01-26 11:15:00,,,,1037.0,,,,10
2019-01-26 11:19:00,,,,,,,1068.0,10
2019-01-26 11:20:00,,124.0,,,,,,10
2019-01-26 11:22:00,,,,1128.0,,,,10
2019-01-26 11:32:00,,,,,,,1043.0,10
2019-01-26 11:40:00,,,,,,,1098.0,10
2019-01-26 11:45:00,,,,1195.0,,,1089.0,10
2019-01-26 11:52:00,,,,,,,1091.0,10
2019-01-26 12:01:00,,,,1212.0,,,,10
2019-01-26 12:03:00,,,,1024.0,,,,10
2019-01-26 12:14:00,,,,,,,1087.0,10
2019-01-26 12:21:00,,,,,,,1087.0,10
2019-01-26 12:23:00,,,,,,,1084.0,10
2019-01-26 12:24:00,,,,,,,1085.0,10
2019-01-26 12:28:00,,,,1184.0,,,,10
2019-01-26 12:31:00,,,,1155.0,,,,10
2019-01-26 12:32:00,,,,1159.0,,,,10
2019-01-26 12:37:00,,,,,,,1058.0,10
2019-01-26 12:38:00,,,,,,31.0,,10
2019-01-26 12:43:00,,,,,,,1077.0,10
2019-01-26 12:45:00,965.0,,,1166.0,,,,10
2019-01-26 12:51:00,,,,1159.0,,,,10
2019-01-26 12:53:00,,,,,,,1064.0,10
2019-01-26 13:04:00,,,,1158.0,,,,10
2019-01-26 13:12:00,,,,1121.0,,,,10
2019-01-26 13:15:00,,,,,,,1037.0,10
2019-01-26 13:20:00,,,,1116.0,,,,10
2019-01-26 13:31:00,,,,1091.0,,,,10
2019-01-26 13:33:00,,,,1081.0,,,,10
2019-01-26 13:36:00,,,,1088.0,,,,10
2019-01-26 13:42:00,,,,1079.0,,,,10
2019-01-26 13:45:00,,,,1058.0,,,,10
2019-01-26 13:46:00,,,,1069.0,,,,10
2019-01-26 13:55:00,,,,1009.0,,,,10
2019-01-26 14:02:00,,,,,,,900.0,10
2019-01-26 14:21:00,,124.0,,,,,,10
2019-01-26 14:53:00,666.0,,,,,,,10
2019-01-26 14:59:00,,,,,,,738.0,10
2019-01-26 16:00:00,,,,,,,179.0,10
2019-01-26 16:18:00,,,,143.0,,,,10
2019-01-26 16:21:00,,122.0,,,,,,10
2019-01-26 16:27:00,,122.0,,,,,,10
2019-01-26 16:30:00,,122.0,,,,,,10
2019-01-26 17:25:00,,122.0,,,,,,10
2019-01-26 18:31:00,,122.0,,,,,,10
2019-01-26 19:01:00,,122.0,,,,,,10
2019-01-26 20:10:00,,,0.0,,,,,10
2019-01-26 20:58:00,,,,0.0,,,,10
2019-01-26 22:43:00,,,,,3.0,,,10
2019-01-26 23:23:00,,122.0,,,,,,10
