measured_on,ac_current__427,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-02-09 01:42:00,,,122.0,,,,,,,,,10
2019-02-09 01:48:00,,,,,0.0,,,,,,,10
2019-02-09 03:55:00,,,122.0,,,,,,,,,10
2019-02-09 04:15:00,,,122.0,,,,,,,,,10
2019-02-09 06:11:00,,,122.0,,,,,,,,,10
2019-02-09 06:55:00,,,,,,,,,,,0.0,10
2019-02-09 06:56:00,,,122.0,,,,,,,,,10
2019-02-09 07:25:00,,,,,159.0,,,,,,,10
2019-02-09 08:11:00,,,,,250.0,,,,,,,10
2019-02-09 08:15:00,,,,,254.0,,,,,,,10
2019-02-09 08:16:00,,,,,248.0,,,,,,,10
2019-02-09 08:20:00,,,123.0,,,,,,,,,10
2019-02-09 08:39:00,,,,,,295.0,,,,,,10
2019-02-09 08:48:00,,179.0,,,,,,,,,,10
2019-02-09 08:49:00,,171.0,,,,,,,,,,10
2019-02-09 09:04:00,,,,,,,,,,,475.0,10
2019-02-09 09:32:00,,,124.0,,,,,,,,,10
2019-02-09 09:34:00,,,124.0,,244.0,,,,,,,10
2019-02-09 09:53:00,,,,,243.0,,,,,,,10
2019-02-09 10:10:00,,,,,,,,,,,891.0,10
2019-02-09 10:22:00,,,,,,1039.0,,,,,,10
2019-02-09 10:36:00,,,,5.0,,,,,,,,10
2019-02-09 10:41:00,,,,,,,,,,30.0,,10
2019-02-09 10:44:00,,,,,,1065.0,,,,,,10
2019-02-09 10:46:00,,,,,,,,,,,1016.0,10
2019-02-09 10:50:00,,,,,,955.0,,,,,,10
2019-02-09 10:51:00,,,,,,958.0,,,,,,10
2019-02-09 10:55:00,,,,,,1032.0,,,,,,10
2019-02-09 10:58:00,,,,,,1026.0,,,,,,10
2019-02-09 11:00:00,,,124.0,,,,,,,,,10
2019-02-09 11:21:00,,,,,243.0,,,,,,,10
2019-02-09 11:57:00,,,,,,,15.0,,,,,10
2019-02-09 12:15:00,,,,,,884.0,,,,,,10
2019-02-09 12:31:00,,,,,,,,,29.0,,,10
2019-02-09 12:39:00,,,,,,,,,29.0,,,10
2019-02-09 12:57:00,,591.0,,,,,,,,,,10
2019-02-09 13:07:00,5.0,,,,,,,,,,,10
2019-02-09 13:41:00,,,,,,722.0,,,,,,10
2019-02-09 14:18:00,,,,,232.0,,,,,,,10
2019-02-09 14:30:00,,,,,229.0,,,,,,,10
2019-02-09 14:38:00,,,,,231.0,,,,,,,10
2019-02-09 14:39:00,,,,,,,,18.0,,,,10
2019-02-09 14:40:00,,,,,237.0,,,,,,,10
2019-02-09 14:59:00,,,,,237.0,,,,,,,10
2019-02-09 15:00:00,,,,,,,,,,,356.0,10
2019-02-09 15:04:00,,,,,244.0,,,,,,,10
2019-02-09 17:00:00,,,122.0,,208.0,,,,,,,10
2019-02-09 17:47:00,,,121.0,,,,,,,,,10
2019-02-09 17:53:00,,,121.0,,,,,,,,,10
2019-02-09 17:54:00,,,121.0,,,,,,,,,10
2019-02-09 18:00:00,,,121.0,,,,,,,,,10
2019-02-09 19:41:00,,,121.0,,,,,,,,,10
2019-02-09 19:56:00,,,,,,0.0,,,,,,10
2019-02-09 21:47:00,,,,,,0.0,,,,,,10
2019-02-09 22:19:00,,,,,,,,,,,0.0,10
2019-02-09 22:22:00,,,,,,,,,,,0.0,10
2019-02-09 22:23:00,,,,,,,,,,,0.0,10
2019-02-09 22:44:00,,,122.0,,,,,,,,,10
2019-02-09 22:48:00,,,,,,,,,,,0.0,10
2019-02-09 22:57:00,,,,,,,,,,,0.0,10
2019-02-09 22:59:00,,,,,,,,,,,0.0,10
2019-02-09 23:00:00,,,,,,,,,,,0.0,10
2019-02-09 23:03:00,,,,,,,,,,,0.0,10
2019-02-09 23:09:00,,,,,,,,,,,0.0,10
2019-02-09 23:10:00,,,,,,,,,,,0.0,10
2019-02-09 23:19:00,,,,,,,,,,,0.0,10
2019-02-09 23:20:00,,,,,,,,,,,0.0,10
2019-02-09 23:26:00,,,,,,,,,,,0.0,10
2019-02-09 23:31:00,,,,,,,,,,,0.0,10
2019-02-09 23:34:00,,,,,,,,,,,0.0,10
2019-02-09 23:38:00,,,,,,,,,,,0.0,10
2019-02-09 23:48:00,,,,,,,,,,,0.0,10
2019-02-09 23:53:00,,,,,,,,,,,0.0,10
2019-02-09 23:56:00,,,,,,,,,,,0.0,10
