measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-11 00:07:00,,122.0,,,,10
2019-02-11 01:09:00,,122.0,,,,10
2019-02-11 01:27:00,,,0.0,,,10
2019-02-11 05:50:00,,,0.0,,,10
2019-02-11 06:01:00,,122.0,,,,10
2019-02-11 06:47:00,,,,,0.0,10
2019-02-11 07:00:00,,,112.0,,,10
2019-02-11 07:24:00,,,,,215.0,10
2019-02-11 08:22:00,,,,543.0,,10
2019-02-11 08:42:00,,,,641.0,,10
2019-02-11 09:24:00,,,,868.0,,10
2019-02-11 09:25:00,,124.0,,,,10
2019-02-11 09:33:00,,,,894.0,,10
2019-02-11 09:47:00,,,,959.0,,10
2019-02-11 10:02:00,,,,1010.0,,10
2019-02-11 10:06:00,,,,1027.0,,10
2019-02-11 10:22:00,,,,1070.0,,10
2019-02-11 10:28:00,,,,1074.0,,10
2019-02-11 10:39:00,,,,1109.0,,10
2019-02-11 10:45:00,,,,1092.0,,10
2019-02-11 10:51:00,,,,1112.0,,10
2019-02-11 10:54:00,,,,,1015.0,10
2019-02-11 11:04:00,,,,1174.0,,10
2019-02-11 11:05:00,,,,1179.0,,10
2019-02-11 11:07:00,,,,1197.0,,10
2019-02-11 11:09:00,,,,,1068.0,10
2019-02-11 11:13:00,,,,,1074.0,10
2019-02-11 11:14:00,,,,1216.0,1072.0,10
2019-02-11 11:26:00,,,,,1080.0,10
2019-02-11 11:34:00,,,,1189.0,,10
2019-02-11 11:37:00,,,,,1097.0,10
2019-02-11 11:42:00,,,,1191.0,,10
2019-02-11 11:46:00,,,,1192.0,,10
2019-02-11 11:52:00,,,,1222.0,,10
2019-02-11 11:54:00,1010.0,,,,,10
2019-02-11 11:55:00,1021.0,,,1234.0,,10
2019-02-11 12:02:00,1038.0,,,,,10
2019-02-11 12:03:00,,,,,1146.0,10
2019-02-11 12:05:00,,,,,1153.0,10
2019-02-11 12:08:00,1054.0,,,,,10
2019-02-11 12:13:00,,,,,1214.0,10
2019-02-11 12:14:00,1084.0,,,,1204.0,10
2019-02-11 12:35:00,,124.0,,,,10
2019-02-11 12:40:00,1036.0,,,,,10
2019-02-11 12:42:00,,,,,1153.0,10
2019-02-11 12:48:00,,125.0,,,,10
2019-02-11 12:49:00,1065.0,,,,,10
2019-02-11 12:50:00,,,,,899.0,10
2019-02-11 12:52:00,,,,,1037.0,10
2019-02-11 12:53:00,,,,,1082.0,10
2019-02-11 12:54:00,1023.0,,,1234.0,,10
2019-02-11 12:55:00,,,,1231.0,,10
2019-02-11 12:58:00,,,,,1132.0,10
2019-02-11 13:01:00,1012.0,,,,,10
2019-02-11 13:02:00,1008.0,,,,,10
2019-02-11 13:03:00,1007.0,,,,,10
2019-02-11 13:07:00,1006.0,,,1214.0,,10
2019-02-11 13:09:00,,,,,1112.0,10
2019-02-11 13:10:00,,,,1215.0,,10
2019-02-11 13:11:00,,,239.0,,,10
2019-02-11 13:14:00,1002.0,,,,,10
2019-02-11 13:17:00,,,,1213.0,,10
2019-02-11 13:18:00,,,,,1098.0,10
2019-02-11 13:21:00,995.0,,,,,10
2019-02-11 13:22:00,,,,,1079.0,10
2019-02-11 13:25:00,,,,1207.0,,10
2019-02-11 13:26:00,,,,1213.0,,10
2019-02-11 13:32:00,,,,,1077.0,10
2019-02-11 13:33:00,,,,1199.0,,10
2019-02-11 13:39:00,,,,1176.0,,10
2019-02-11 13:43:00,,,,1162.0,1036.0,10
2019-02-11 13:47:00,,,,1145.0,,10
2019-02-11 13:51:00,,,,,1015.0,10
2019-02-11 13:56:00,,,,1120.0,,10
2019-02-11 13:57:00,926.0,,,,,10
2019-02-11 13:59:00,,,,1113.0,,10
2019-02-11 14:05:00,,,,1099.0,,10
2019-02-11 14:28:00,,,,1016.0,,10
2019-02-11 14:44:00,,,,402.0,,10
2019-02-11 14:58:00,,,,356.0,,10
2019-02-11 15:12:00,,,254.0,,,10
2019-02-11 15:18:00,,,,300.0,,10
2019-02-11 15:30:00,181.0,,,,,10
2019-02-11 15:45:00,,122.0,,,,10
2019-02-11 16:38:00,,,,389.0,,10
2019-02-11 16:51:00,,122.0,,,,10
2019-02-11 21:55:00,,122.0,,,,10
