measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-12 00:14:00,,122.0,,,,,10
2019-02-12 01:41:00,,,,0.0,,,10
2019-02-12 03:52:00,,122.0,,,,,10
2019-02-12 04:39:00,,,,0.0,,,10
2019-02-12 05:18:00,,,,,,0.0,10
2019-02-12 05:47:00,,,,0.0,,,10
2019-02-12 07:00:00,,,,184.0,,,10
2019-02-12 07:36:00,,122.0,,,,,10
2019-02-12 07:44:00,,122.0,,,,,10
2019-02-12 07:50:00,,,,,,277.0,10
2019-02-12 07:54:00,266.0,,,,,,10
2019-02-12 08:18:00,,,,,476.0,,10
2019-02-12 08:38:00,,,,,,535.0,10
2019-02-12 08:59:00,,,2.0,,,,10
2019-02-12 09:51:00,,,,,,859.0,10
2019-02-12 10:07:00,,,,232.0,,,10
2019-02-12 10:17:00,,,,,1040.0,,10
2019-02-12 10:26:00,882.0,,,,1061.0,,10
2019-02-12 10:31:00,,125.0,,,1059.0,,10
2019-02-12 10:33:00,,,,,1063.0,,10
2019-02-12 10:34:00,,,,239.0,,,10
2019-02-12 10:41:00,,,,,,1007.0,10
2019-02-12 10:53:00,,,,226.0,,,10
2019-02-12 10:59:00,,,,,1040.0,,10
2019-02-12 11:42:00,,,,240.0,,,10
2019-02-12 12:11:00,,,,,1329.0,,10
2019-02-12 12:15:00,,,,,,1281.0,10
2019-02-12 12:20:00,,,,,1292.0,1244.0,10
2019-02-12 12:22:00,1059.0,,,,,,10
2019-02-12 12:30:00,,,,,,1209.0,10
2019-02-12 12:31:00,,,,,1195.0,,10
2019-02-12 12:33:00,,,,,,1209.0,10
2019-02-12 12:38:00,,,,,1192.0,,10
2019-02-12 12:44:00,,,,,,1144.0,10
2019-02-12 12:50:00,,,8.0,,,1130.0,10
2019-02-12 12:51:00,,,,,,1140.0,10
2019-02-12 12:52:00,,,,,1191.0,,10
2019-02-12 12:53:00,,,,,,1145.0,10
2019-02-12 12:56:00,,,,,,1134.0,10
2019-02-12 12:57:00,,,,,1175.0,,10
2019-02-12 12:58:00,,,,,1186.0,,10
2019-02-12 13:02:00,,,,,,1102.0,10
2019-02-12 13:03:00,,,,,,1111.0,10
2019-02-12 13:04:00,,,,,1171.0,,10
2019-02-12 13:07:00,,,,,1143.0,1089.0,10
2019-02-12 13:08:00,,,,,,1102.0,10
2019-02-12 13:10:00,,,,,1152.0,,10
2019-02-12 13:13:00,,,,,1179.0,,10
2019-02-12 13:15:00,,,,,1184.0,,10
2019-02-12 13:19:00,,,,,1161.0,,10
2019-02-12 13:24:00,889.0,,,,,,10
2019-02-12 13:27:00,,,,230.0,,1001.0,10
2019-02-12 13:29:00,,,,,,1040.0,10
2019-02-12 13:47:00,,,,,1054.0,,10
2019-02-12 13:54:00,,,,,1051.0,,10
2019-02-12 14:04:00,,,,,1012.0,,10
2019-02-12 14:09:00,,124.0,,,,,10
2019-02-12 14:13:00,,124.0,,,,,10
2019-02-12 14:26:00,,,,,954.0,,10
2019-02-12 14:39:00,,124.0,,,,,10
2019-02-12 14:40:00,,124.0,,,,,10
2019-02-12 15:00:00,,,,239.0,,,10
2019-02-12 15:06:00,,,,,,784.0,10
2019-02-12 15:46:00,105.0,,,,,,10
2019-02-12 15:56:00,,,,,142.0,,10
2019-02-12 16:06:00,,,,233.0,,,10
2019-02-12 16:13:00,,123.0,,,,,10
2019-02-12 16:28:00,380.0,,,,,,10
2019-02-12 17:06:00,,,,213.0,,,10
2019-02-12 17:23:00,,,,202.0,,,10
2019-02-12 17:59:00,,121.0,,,,,10
2019-02-12 19:13:00,,121.0,,,,,10
2019-02-12 20:58:00,,122.0,,,,,10
2019-02-12 21:06:00,,122.0,,,,,10
2019-02-12 21:25:00,,,,0.0,,,10
2019-02-12 22:46:00,,122.0,,,,,10
2019-02-12 23:12:00,,122.0,,,,,10
2019-02-12 23:13:00,,122.0,,,,,10
2019-02-12 23:27:00,,,,0.0,,,10
