measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2019-02-28 03:18:00,,,122.0,,,,,,,10
2019-02-28 04:20:00,,,,,,0.0,,,,10
2019-02-28 06:25:00,,,,,,,,,0.0,10
2019-02-28 08:11:00,,,,,,201.0,,,,10
2019-02-28 08:23:00,,,,,,,624.0,,,10
2019-02-28 08:28:00,,414.0,,,,,,,,10
2019-02-28 08:32:00,,,,,,242.0,,,,10
2019-02-28 08:42:00,,,,,,246.0,641.0,,,10
2019-02-28 09:07:00,,,,,,234.0,,,,10
2019-02-28 09:24:00,,383.0,,,,,,,,10
2019-02-28 09:52:00,,,,,,,605.0,,,10
2019-02-28 10:10:00,,916.0,,,,,1110.0,,,10
2019-02-28 10:15:00,,,,,,,929.0,,,10
2019-02-28 10:30:00,,883.0,,,,,1068.0,,,10
2019-02-28 10:36:00,,709.0,,,,,,,,10
2019-02-28 10:37:00,,,,,,,684.0,,,10
2019-02-28 10:50:00,,,124.0,,,,,,,10
2019-02-28 11:11:00,,,,,,,1124.0,,,10
2019-02-28 11:12:00,,,,,,,,,1046.0,10
2019-02-28 11:13:00,,,125.0,,,,,,,10
2019-02-28 11:18:00,,,,,,,,,1122.0,10
2019-02-28 11:19:00,,,,,,,1196.0,,,10
2019-02-28 11:25:00,,,,,,,,,1101.0,10
2019-02-28 11:27:00,,,,,,,,,1159.0,10
2019-02-28 11:37:00,,924.0,,,,,,,,10
2019-02-28 11:42:00,,,,,,226.0,,,,10
2019-02-28 11:55:00,,519.0,,,,228.0,,,,10
2019-02-28 11:59:00,,,,,,,,,1013.0,10
2019-02-28 12:05:00,,498.0,,,,,,,,10
2019-02-28 12:17:00,,,,,16.0,,,,,10
2019-02-28 12:20:00,,,,,,,1095.0,,,10
2019-02-28 12:30:00,,,,11.0,,,,,,10
2019-02-28 12:43:00,,,124.0,,,,,,,10
2019-02-28 12:45:00,,,,,,,,,1073.0,10
2019-02-28 12:49:00,,,,,,,776.0,,,10
2019-02-28 12:52:00,,,,,,,1150.0,,,10
2019-02-28 13:00:00,,,,,,,,,335.0,10
2019-02-28 13:24:00,,,,,,246.0,,,,10
2019-02-28 13:25:00,,,,,,237.0,,,,10
2019-02-28 15:22:00,,162.0,,,,,,,,10
2019-02-28 15:24:00,,167.0,,,,,,,,10
2019-02-28 15:27:00,,147.0,,,,,,,,10
2019-02-28 15:38:00,,,,,,,,,158.0,10
2019-02-28 15:49:00,,,,,,,,17.0,,10
2019-02-28 15:56:00,2.0,,,,,,,,,10
2019-02-28 16:00:00,,,,,,,171.0,,,10
2019-02-28 16:02:00,,,,,,,169.0,,,10
2019-02-28 18:41:00,,,122.0,,,,,,,10
2019-02-28 22:35:00,,,122.0,,,,,,,10
2019-02-28 23:35:00,,,122.0,,,,,,,10
2019-02-28 23:39:00,,,,,,0.0,,,,10
