measured_on,ac_power__423,ac_voltage__426,das_battery_voltage__434,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-03-02 00:08:00,,,,,0.0,,,10
2019-03-02 04:52:00,,,,,,,0.0,10
2019-03-02 04:57:00,,,,,,,0.0,10
2019-03-02 04:58:00,,,,,,,0.0,10
2019-03-02 05:03:00,,,,,0.0,,,10
2019-03-02 05:06:00,,,,,,,0.0,10
2019-03-02 05:07:00,,,,,,,0.0,10
2019-03-02 05:10:00,,,,,,,0.0,10
2019-03-02 05:11:00,,,,,,,0.0,10
2019-03-02 06:18:00,,,,,,,0.0,10
2019-03-02 06:19:00,,,,,,,0.0,10
2019-03-02 06:36:00,,122.0,,,,,,10
2019-03-02 06:38:00,,,,,48.0,,,10
2019-03-02 06:45:00,,,,,131.0,,,10
2019-03-02 07:08:00,,,,0.0,,,,10
2019-03-02 07:24:00,,,,,159.0,,,10
2019-03-02 08:19:00,,,,,,,164.0,10
2019-03-02 08:53:00,,,,,234.0,,,10
2019-03-02 08:55:00,,,,,,,381.0,10
2019-03-02 09:11:00,,123.0,,,,,,10
2019-03-02 09:29:00,156.0,,,,,,,10
2019-03-02 11:08:00,,,,,,144.0,,10
2019-03-02 11:16:00,,,,,236.0,,,10
2019-03-02 11:23:00,,,,,223.0,,,10
2019-03-02 11:37:00,,,,,208.0,,,10
2019-03-02 12:16:00,,,,,,,121.0,10
2019-03-02 12:55:00,,122.0,,,,,,10
2019-03-02 12:59:00,,122.0,,,,,,10
2019-03-02 13:02:00,,122.0,,,,,,10
2019-03-02 13:25:00,,122.0,,,,,,10
2019-03-02 15:01:00,,,,,177.0,,,10
2019-03-02 16:07:00,,122.0,,,,,,10
2019-03-02 16:09:00,,122.0,,,,,,10
2019-03-02 16:36:00,,122.0,,,,,,10
2019-03-02 16:43:00,,,,,168.0,,,10
2019-03-02 16:49:00,,122.0,,,,,,10
2019-03-02 16:52:00,,122.0,,,,,,10
2019-03-02 16:56:00,,122.0,,,,,,10
2019-03-02 18:02:00,,,,,,,0.0,10
2019-03-02 18:03:00,,,,,,,0.0,10
2019-03-02 18:05:00,,,,,,,0.0,10
2019-03-02 18:06:00,,,,,,,0.0,10
2019-03-02 18:08:00,,,,,,,0.0,10
2019-03-02 18:09:00,,,,,,,0.0,10
2019-03-02 18:25:00,,,,,,,0.0,10
2019-03-02 18:27:00,,,,,,,0.0,10
2019-03-02 18:29:00,,,,,,,0.0,10
2019-03-02 18:57:00,,,,,,,0.0,10
2019-03-02 19:12:00,,122.0,,,,,,10
2019-03-02 19:29:00,,,,,,,0.0,10
2019-03-02 19:37:00,,,,,,,0.0,10
2019-03-02 19:38:00,,,,,,,0.0,10
2019-03-02 19:39:00,,,,,,,0.0,10
2019-03-02 19:44:00,,,,,,,0.0,10
2019-03-02 20:07:00,,,,,,,0.0,10
2019-03-02 20:08:00,,,,,,,0.0,10
2019-03-02 20:12:00,,,,,,,0.0,10
2019-03-02 20:13:00,,,,,,,0.0,10
2019-03-02 20:16:00,,,,,,,0.0,10
2019-03-02 20:21:00,,,,,,,0.0,10
2019-03-02 20:22:00,,,,,,,0.0,10
2019-03-02 20:23:00,,,,,,,0.0,10
2019-03-02 20:28:00,,,,,,,0.0,10
2019-03-02 20:29:00,,,,,,,0.0,10
2019-03-02 20:39:00,,,,,,,0.0,10
2019-03-02 20:45:00,,,,,,,0.0,10
2019-03-02 20:46:00,,,,,,,0.0,10
2019-03-02 20:48:00,,,,,,,0.0,10
2019-03-02 20:49:00,,,,,,,0.0,10
2019-03-02 20:50:00,,,,,,,0.0,10
2019-03-02 20:51:00,,,,,,,0.0,10
2019-03-02 20:52:00,,,,,,,0.0,10
2019-03-02 20:54:00,,,,,,,0.0,10
2019-03-02 20:59:00,,,,,,,0.0,10
2019-03-02 21:00:00,,,,,,,0.0,10
2019-03-02 21:10:00,,,,,,,0.0,10
2019-03-02 21:11:00,,,,,,,0.0,10
2019-03-02 21:12:00,,,,,,,0.0,10
2019-03-02 21:15:00,,,,,,,0.0,10
2019-03-02 21:17:00,,,,,,,0.0,10
2019-03-02 21:18:00,,,,,,,0.0,10
2019-03-02 21:19:00,,,,,,,0.0,10
2019-03-02 21:20:00,,,,,,,0.0,10
2019-03-02 21:22:00,,,,,,,0.0,10
2019-03-02 21:23:00,,,,,,,0.0,10
2019-03-02 21:25:00,,,,,,,0.0,10
2019-03-02 21:26:00,,,,,,,0.0,10
2019-03-02 21:27:00,,,,,,,0.0,10
2019-03-02 21:31:00,,,,,,,0.0,10
2019-03-02 21:32:00,,,,,,,0.0,10
2019-03-02 21:39:00,,,,,,,0.0,10
2019-03-02 21:40:00,,,,,,,0.0,10
2019-03-02 21:41:00,,,,,,,0.0,10
2019-03-02 21:44:00,,,,,,,0.0,10
2019-03-02 21:45:00,,,,,,,0.0,10
2019-03-02 21:46:00,,,,,,,0.0,10
2019-03-02 21:47:00,,,,,,,0.0,10
2019-03-02 21:51:00,,,,,,,0.0,10
2019-03-02 22:03:00,,,,,,,0.0,10
2019-03-02 22:07:00,,,,,,,0.0,10
2019-03-02 22:08:00,,,,,,,0.0,10
2019-03-02 22:10:00,,122.0,,,,,0.0,10
2019-03-02 22:11:00,,,,,,,0.0,10
2019-03-02 22:12:00,,,,,,,0.0,10
2019-03-02 22:13:00,,,,,,,0.0,10
2019-03-02 22:16:00,,,,,,,0.0,10
2019-03-02 22:18:00,,,,,,,0.0,10
2019-03-02 22:22:00,,,14.0,,,,,10
2019-03-02 22:24:00,,,14.0,,,,,10
2019-03-02 22:25:00,,,14.0,,,,,10
2019-03-02 22:26:00,,,14.0,,,,0.0,10
2019-03-02 22:29:00,,,,,,,0.0,10
2019-03-02 22:30:00,,,,,,,0.0,10
2019-03-02 22:31:00,,,,,,,0.0,10
2019-03-02 22:33:00,,,,,,,0.0,10
2019-03-02 22:34:00,,,,,,,0.0,10
2019-03-02 22:35:00,,,,,,,0.0,10
2019-03-02 22:36:00,,,,,,,0.0,10
2019-03-02 22:37:00,,,,,,,0.0,10
2019-03-02 22:38:00,,,,,,,0.0,10
2019-03-02 22:39:00,,,,,,,0.0,10
2019-03-02 22:41:00,,,,,,,0.0,10
2019-03-02 22:42:00,,,,,,,0.0,10
2019-03-02 22:43:00,,,,,,,0.0,10
2019-03-02 22:44:00,,,,,,,0.0,10
2019-03-02 22:45:00,,,,,,,0.0,10
2019-03-02 22:46:00,,,,,,,0.0,10
2019-03-02 22:47:00,,,,,,,0.0,10
2019-03-02 22:48:00,,,,,,,0.0,10
2019-03-02 22:49:00,,,,,,,0.0,10
2019-03-02 22:50:00,,,,,,,0.0,10
2019-03-02 22:51:00,,,,,,,0.0,10
2019-03-02 22:52:00,,,,,,,0.0,10
2019-03-02 22:55:00,,,,,,,0.0,10
2019-03-02 22:56:00,,,,,,,0.0,10
2019-03-02 22:58:00,,,,,,,0.0,10
2019-03-02 22:59:00,,,,,,,0.0,10
2019-03-02 23:00:00,,,,,,,0.0,10
2019-03-02 23:02:00,,,,,,,0.0,10
2019-03-02 23:04:00,,,,,,,0.0,10
2019-03-02 23:05:00,,,,,,,0.0,10
2019-03-02 23:06:00,,,,,,,0.0,10
2019-03-02 23:07:00,,,,,,,0.0,10
2019-03-02 23:08:00,,,,,,,0.0,10
2019-03-02 23:09:00,,,,,,,0.0,10
2019-03-02 23:10:00,,,,,,,0.0,10
2019-03-02 23:11:00,,,,,,,0.0,10
2019-03-02 23:12:00,,,,,,,0.0,10
2019-03-02 23:13:00,,,,,,,0.0,10
2019-03-02 23:14:00,,,,,,,0.0,10
2019-03-02 23:15:00,,,,,,,0.0,10
2019-03-02 23:16:00,,,,,,,0.0,10
2019-03-02 23:18:00,,,,,,,0.0,10
2019-03-02 23:19:00,,,,,,,0.0,10
2019-03-02 23:20:00,,,,,,,0.0,10
2019-03-02 23:22:00,,,,,,,0.0,10
2019-03-02 23:23:00,,,,,,,0.0,10
2019-03-02 23:25:00,,,,,,,0.0,10
2019-03-02 23:26:00,,,,,,,0.0,10
2019-03-02 23:27:00,,,,,,,0.0,10
2019-03-02 23:28:00,,,,,,,0.0,10
2019-03-02 23:29:00,,,,,,,0.0,10
2019-03-02 23:30:00,,,,,,,0.0,10
2019-03-02 23:32:00,,,,,,,0.0,10
2019-03-02 23:35:00,,,,,,,0.0,10
2019-03-02 23:38:00,,,,,,,0.0,10
2019-03-02 23:40:00,,,,,,,0.0,10
2019-03-02 23:44:00,,,,,,,0.0,10
2019-03-02 23:48:00,,,,,,,0.0,10
2019-03-02 23:52:00,,,,,,,0.0,10
2019-03-02 23:56:00,,,,,,,0.0,10
2019-03-02 23:57:00,,,,,,,0.0,10
2019-03-02 23:58:00,,,,,,,0.0,10
