measured_on,ac_power__423,ac_voltage__426,das_battery_voltage__434,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-03-04 01:25:00,,,,0.0,,,10
2019-03-04 01:53:00,,122.0,,,,,10
2019-03-04 01:59:00,,122.0,,,,,10
2019-03-04 02:00:00,,122.0,,,,,10
2019-03-04 02:03:00,,122.0,,,,,10
2019-03-04 02:36:00,,,,0.0,,,10
2019-03-04 03:02:00,,122.0,,,,,10
2019-03-04 03:16:00,,122.0,,,,,10
2019-03-04 06:15:00,,122.0,,,,,10
2019-03-04 09:17:00,,122.0,,,,,10
2019-03-04 09:25:00,,122.0,,,,,10
2019-03-04 09:28:00,,,,159.0,,,10
2019-03-04 09:34:00,,,,,,1024.0,10
2019-03-04 09:35:00,,,,,,1028.0,10
2019-03-04 09:50:00,,,,,,1082.0,10
2019-03-04 10:06:00,,,,,,1127.0,10
2019-03-04 10:09:00,,,,192.0,,,10
2019-03-04 10:25:00,,,,,,1192.0,10
2019-03-04 10:29:00,,,,,,1206.0,10
2019-03-04 10:38:00,,122.0,,,,,10
2019-03-04 10:40:00,,122.0,,,,,10
2019-03-04 10:42:00,,,,,,1237.0,10
2019-03-04 10:43:00,,122.0,,,,1239.0,10
2019-03-04 10:51:00,,,,206.0,,,10
2019-03-04 10:53:00,,,,,,1260.0,10
2019-03-04 10:58:00,,,,,,1275.0,10
2019-03-04 11:12:00,,,,,,1303.0,10
2019-03-04 11:20:00,,,,,,1310.0,10
2019-03-04 11:26:00,,,,218.0,,1321.0,10
2019-03-04 11:31:00,,,,,,1326.0,10
2019-03-04 11:33:00,,,,,,1328.0,10
2019-03-04 11:41:00,,,,,,1334.0,10
2019-03-04 11:43:00,,,,,,1335.0,10
2019-03-04 11:44:00,,,,,,1336.0,10
2019-03-04 11:51:00,,,,,432.0,1335.0,10
2019-03-04 11:57:00,,123.0,,,,,10
2019-03-04 12:02:00,,,,,,1341.0,10
2019-03-04 12:26:00,,,,,,1321.0,10
2019-03-04 12:31:00,,,,,,1319.0,10
2019-03-04 12:35:00,,,,,,1317.0,10
2019-03-04 12:45:00,,,,,,1299.0,10
2019-03-04 12:46:00,,,,,,1297.0,10
2019-03-04 12:53:00,,,,,,1282.0,10
2019-03-04 13:07:00,,,,,,1268.0,10
2019-03-04 13:11:00,,,,,,1248.0,10
2019-03-04 13:14:00,,,,,,1247.0,10
2019-03-04 13:27:00,758.0,,,,,,10
2019-03-04 13:31:00,,,,247.0,,,10
2019-03-04 13:51:00,764.0,,,,,1144.0,10
2019-03-04 13:55:00,,,,,,1129.0,10
2019-03-04 13:59:00,,,,,906.0,,10
2019-03-04 14:03:00,,,,,,1096.0,10
2019-03-04 14:08:00,,,,,,1077.0,10
2019-03-04 14:09:00,,,,,,1070.0,10
2019-03-04 14:12:00,,,,,889.0,,10
2019-03-04 14:15:00,,,,,,1044.0,10
2019-03-04 14:20:00,,,,250.0,,,10
2019-03-04 14:23:00,,,,,,1009.0,10
2019-03-04 14:27:00,,,,,,1017.0,10
2019-03-04 15:26:00,,,,,,727.0,10
2019-03-04 15:39:00,,,,,552.0,,10
2019-03-04 15:48:00,,,,,,615.0,10
2019-03-04 17:10:00,,122.0,,,,,10
2019-03-04 17:21:00,,,,228.0,,,10
2019-03-04 21:05:00,,122.0,,,,,10
2019-03-04 21:08:00,,122.0,,,,,10
2019-03-04 23:17:00,,,14.0,,,,10
2019-03-04 23:25:00,,,14.0,,,,10
2019-03-04 23:26:00,,,14.0,,,,10
2019-03-04 23:28:00,,,14.0,,,,10
2019-03-04 23:30:00,,,14.0,,,,10
2019-03-04 23:48:00,,122.0,,,,,10
