measured_on,ac_power__423,ac_voltage__426,das_battery_voltage__434,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_2__430,poa_irradiance__421,system_id
2019-03-05 00:08:00,,122.0,,,,,,,10
2019-03-05 00:14:00,,122.0,,,,,,,10
2019-03-05 00:55:00,,122.0,,,,,,,10
2019-03-05 01:06:00,,122.0,,,,,,,10
2019-03-05 03:54:00,,122.0,,,,,,,10
2019-03-05 03:59:00,,122.0,,,,,,,10
2019-03-05 04:32:00,,,,,0.0,,,,10
2019-03-05 06:13:00,,,14.0,,,,,,10
2019-03-05 06:15:00,,,14.0,,,,,,10
2019-03-05 06:16:00,,,14.0,,,,,,10
2019-03-05 06:18:00,,,14.0,,,,,,10
2019-03-05 06:19:00,,,14.0,,,,,,10
2019-03-05 06:25:00,,,14.0,,,,,,10
2019-03-05 06:27:00,,,14.0,,,,,,10
2019-03-05 06:28:00,,,14.0,,,,,,10
2019-03-05 06:29:00,,,14.0,,,,,,10
2019-03-05 06:32:00,,,14.0,,,,,,10
2019-03-05 06:33:00,,,14.0,,,,,,10
2019-03-05 06:34:00,,,14.0,,,,,,10
2019-03-05 06:43:00,16.0,,,,,,,,10
2019-03-05 06:46:00,,,14.0,,,,,,10
2019-03-05 06:50:00,,,14.0,,,,,,10
2019-03-05 06:51:00,,,14.0,,,,,,10
2019-03-05 06:52:00,,,14.0,,,,,,10
2019-03-05 06:53:00,,,14.0,,,,,,10
2019-03-05 06:54:00,,,14.0,,,,,,10
2019-03-05 07:28:00,,,,,192.0,,,,10
2019-03-05 07:51:00,298.0,,,,,,,,10
2019-03-05 08:21:00,,,,,,,,492.0,10
2019-03-05 08:32:00,,,,,,,,564.0,10
2019-03-05 08:36:00,492.0,,,,,,,,10
2019-03-05 08:43:00,,,,,,,,614.0,10
2019-03-05 08:59:00,,124.0,,,,,,,10
2019-03-05 09:00:00,,,,247.0,,,,,10
2019-03-05 09:28:00,,,,,800.0,,,,10
2019-03-05 09:44:00,,,,,,,,1018.0,10
2019-03-05 09:50:00,,,,,878.0,,,,10
2019-03-05 09:51:00,,,,,,,,1035.0,10
2019-03-05 10:06:00,,,,,892.0,,,,10
2019-03-05 10:07:00,,,,,,,,1044.0,10
2019-03-05 10:19:00,,,,,,,,1098.0,10
2019-03-05 10:27:00,,,,,,,,1100.0,10
2019-03-05 10:31:00,828.0,,,,,,,,10
2019-03-05 10:49:00,,,,,1061.0,,,,10
2019-03-05 10:52:00,,,,,1053.0,,,,10
2019-03-05 10:55:00,,,,,1061.0,,,,10
2019-03-05 10:56:00,,,,,1067.0,,,,10
2019-03-05 10:58:00,,,,,1075.0,,,,10
2019-03-05 11:00:00,,,,,,,,1178.0,10
2019-03-05 11:01:00,,,,,1078.0,,,,10
2019-03-05 11:05:00,,,,,1095.0,,,,10
2019-03-05 11:06:00,,,,,1101.0,,,,10
2019-03-05 11:12:00,,,,,,,,1183.0,10
2019-03-05 11:15:00,,,,,,,,1181.0,10
2019-03-05 11:27:00,,,,,1090.0,,,,10
2019-03-05 11:28:00,,,,,,,,1211.0,10
2019-03-05 11:35:00,,,,242.0,1106.0,,,,10
2019-03-05 11:41:00,,,,,1137.0,,,,10
2019-03-05 11:43:00,,,,,1143.0,,,1220.0,10
2019-03-05 11:48:00,,,,,1145.0,,,,10
2019-03-05 11:53:00,,,,,,,,1232.0,10
2019-03-05 11:56:00,,,,,1176.0,,,,10
2019-03-05 12:02:00,,,,238.0,,,,,10
2019-03-05 12:06:00,,,,,,,,1232.0,10
2019-03-05 12:08:00,,,,,1199.0,,,,10
2019-03-05 12:11:00,,,,,1195.0,,,1224.0,10
2019-03-05 12:12:00,,,,237.0,,,,,10
2019-03-05 12:14:00,,,,,1205.0,,,,10
2019-03-05 12:21:00,1000.0,,,,,,,,10
2019-03-05 12:28:00,,,,,1213.0,,,,10
2019-03-05 12:32:00,1006.0,,,,,,,,10
2019-03-05 12:36:00,,,,,1201.0,,,,10
2019-03-05 12:42:00,,,,,,,,1175.0,10
2019-03-05 12:48:00,978.0,,,,1179.0,,,,10
