measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-03-06 00:05:00,,123.0,,,,,,,10
2019-03-06 01:14:00,,123.0,,,,,,,10
2019-03-06 05:27:00,,122.0,,,,,,,10
2019-03-06 05:28:00,,122.0,,,,,,,10
2019-03-06 06:10:00,,,,,,,,0.0,10
2019-03-06 06:36:00,,,,110.0,,,,,10
2019-03-06 07:47:00,,,,,114.0,,,,10
2019-03-06 08:40:00,,,,,,,,378.0,10
2019-03-06 08:56:00,,,,,,,,639.0,10
2019-03-06 09:05:00,,,,,,,24.0,,10
2019-03-06 09:26:00,,,,,,,,784.0,10
2019-03-06 09:31:00,,,,,,,,800.0,10
2019-03-06 09:37:00,,,,,,,,767.0,10
2019-03-06 10:05:00,,,,,1057.0,,,,10
2019-03-06 10:09:00,,,,,1042.0,,,,10
2019-03-06 10:11:00,771.0,,,,,,,,10
2019-03-06 10:16:00,,,,,1106.0,,,,10
2019-03-06 10:19:00,,,,,1092.0,,,,10
2019-03-06 10:28:00,,,,,,,,817.0,10
2019-03-06 10:34:00,,,,,1048.0,,,,10
2019-03-06 10:37:00,,,,,,,,1037.0,10
2019-03-06 10:39:00,,,,,1129.0,,,,10
2019-03-06 10:44:00,,,,,,,,1090.0,10
2019-03-06 10:45:00,,,,,1195.0,,,,10
2019-03-06 10:47:00,,,,,,,,1059.0,10
2019-03-06 10:48:00,,,,,,,,1060.0,10
2019-03-06 10:57:00,,,,,1188.0,38.0,,,10
2019-03-06 11:00:00,,,,,1121.0,,,,10
2019-03-06 11:08:00,,,,,1228.0,,,,10
2019-03-06 11:11:00,,124.0,,,,,,,10
2019-03-06 11:14:00,,,,,1122.0,,,,10
2019-03-06 11:30:00,1021.0,,,,,,,,10
2019-03-06 11:44:00,,,,,,,,495.0,10
2019-03-06 11:57:00,,,,,,,,339.0,10
2019-03-06 12:04:00,,123.0,,,,,,,10
2019-03-06 12:06:00,,123.0,,,,,,,10
2019-03-06 12:30:00,,,,,,,,311.0,10
2019-03-06 12:53:00,370.0,,,,,,,,10
2019-03-06 12:56:00,,,2.0,,,,,,10
2019-03-06 12:57:00,,,,238.0,,,,,10
2019-03-06 13:14:00,,,,242.0,,,,,10
2019-03-06 13:17:00,,,2.0,,,,,,10
2019-03-06 13:28:00,336.0,,,,,,,,10
2019-03-06 14:58:00,,,,,229.0,,,,10
2019-03-06 15:15:00,,,,224.0,,,,,10
2019-03-06 15:20:00,192.0,,,,,,,,10
2019-03-06 15:37:00,192.0,,,,,,,,10
2019-03-06 15:39:00,,122.0,,,,,,,10
2019-03-06 15:53:00,,,,,,,,239.0,10
2019-03-06 15:57:00,,122.0,,,,,,,10
2019-03-06 15:58:00,,122.0,,238.0,,,,,10
2019-03-06 15:59:00,,,,,249.0,,,,10
2019-03-06 16:09:00,118.0,,,,,,,,10
2019-03-06 16:32:00,,,,219.0,,,,,10
2019-03-06 19:23:00,,,,0.0,,,,,10
2019-03-06 19:58:00,,,,,,,,0.0,10
2019-03-06 20:20:00,,,,,,,,0.0,10
2019-03-06 20:22:00,,,,,,,,0.0,10
2019-03-06 21:13:00,,,,,,,,0.0,10
2019-03-06 21:14:00,,,,,,,,0.0,10
2019-03-06 21:15:00,,,,,,,,0.0,10
2019-03-06 21:18:00,,,,,,,,0.0,10
2019-03-06 21:19:00,,,,,,,,0.0,10
2019-03-06 21:20:00,,,,,,,,0.0,10
2019-03-06 21:21:00,,,,,,,,0.0,10
2019-03-06 21:23:00,,,,,,,,0.0,10
2019-03-06 21:25:00,,,,0.0,,,,,10
2019-03-06 21:26:00,,,,,,,,0.0,10
2019-03-06 21:30:00,,,,,,,,0.0,10
2019-03-06 21:32:00,,,,,,,,0.0,10
2019-03-06 21:33:00,,,,,,,,0.0,10
2019-03-06 21:35:00,,,,,,,,0.0,10
2019-03-06 22:07:00,,,,,,,,0.0,10
2019-03-06 22:08:00,,,,,,,,0.0,10
2019-03-06 22:10:00,,,,,,,,0.0,10
2019-03-06 22:51:00,,,,,,,,0.0,10
2019-03-06 22:54:00,,,,,,,,0.0,10
2019-03-06 22:57:00,,,,,,,,0.0,10
2019-03-06 23:13:00,,122.0,,,,,,,10
2019-03-06 23:36:00,,,,,,,,0.0,10
2019-03-06 23:38:00,,,,,,,,0.0,10
2019-03-06 23:40:00,,,,,,,,0.0,10
2019-03-06 23:43:00,,,,,,,,0.0,10
