measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_3__431,poa_irradiance__421,system_id
2019-03-07 01:04:00,,122.0,,,,,,,10
2019-03-07 01:12:00,,,,,,,,0.0,10
2019-03-07 01:46:00,,,,,,,,0.0,10
2019-03-07 01:47:00,,,,,,,,0.0,10
2019-03-07 02:45:00,,,,0.0,,,,,10
2019-03-07 04:00:00,,,,,,,,0.0,10
2019-03-07 04:01:00,,,,,,,,0.0,10
2019-03-07 04:02:00,,,,,,,,0.0,10
2019-03-07 05:33:00,,,,0.0,,,,,10
2019-03-07 05:58:00,,122.0,,,,,,,10
2019-03-07 07:04:00,,,,161.0,,,,,10
2019-03-07 07:51:00,375.0,,,,,,,,10
2019-03-07 08:14:00,,,,,586.0,,,,10
2019-03-07 08:33:00,,,,,719.0,,,,10
2019-03-07 08:34:00,,,,,,,20.0,,10
2019-03-07 08:46:00,,,,,,,,711.0,10
2019-03-07 08:54:00,,,,,809.0,,,,10
2019-03-07 09:32:00,,,,,1003.0,,,,10
2019-03-07 09:49:00,,124.0,,,,,,,10
2019-03-07 09:51:00,,,11.0,,,,,,10
2019-03-07 09:53:00,860.0,,,,,,,,10
2019-03-07 09:55:00,,,,,1071.0,,,,10
2019-03-07 09:57:00,,,,,1050.0,,,,10
2019-03-07 10:05:00,,,,253.0,,,,,10
2019-03-07 10:09:00,,124.0,,,,,,,10
2019-03-07 10:11:00,,,,,1238.0,,,,10
2019-03-07 10:34:00,,,,221.0,,,,,10
2019-03-07 11:20:00,,,,235.0,,,,,10
2019-03-07 11:27:00,,123.0,,,604.0,,,,10
2019-03-07 11:43:00,,,,,1008.0,,,,10
2019-03-07 11:53:00,942.0,,,,,,,,10
2019-03-07 11:58:00,,124.0,,,,,,,10
2019-03-07 12:03:00,1089.0,,,,,,,,10
2019-03-07 12:12:00,,,,,1274.0,,,,10
2019-03-07 12:25:00,,,,,1240.0,,,1172.0,10
2019-03-07 12:27:00,,,,,1237.0,,,,10
2019-03-07 12:30:00,1013.0,,,,,,,,10
2019-03-07 12:31:00,,,,,,,,1167.0,10
2019-03-07 12:32:00,,,,,,,,1165.0,10
2019-03-07 12:35:00,1009.0,,,,,,,1164.0,10
2019-03-07 12:36:00,,,,236.0,,,,,10
2019-03-07 12:37:00,,,,,1228.0,,,,10
2019-03-07 12:40:00,1002.0,,,,,,,,10
2019-03-07 12:41:00,,,,,1220.0,,,,10
2019-03-07 12:45:00,1003.0,,,,,,,,10
2019-03-07 12:48:00,,,,,,,,1156.0,10
2019-03-07 12:55:00,991.0,,,,,,,,10
2019-03-07 12:58:00,,,,229.0,,,,1147.0,10
2019-03-07 13:08:00,,,,,,,,1132.0,10
2019-03-07 13:13:00,,,,,,,,1118.0,10
2019-03-07 13:22:00,,,,,,,,1102.0,10
2019-03-07 13:26:00,,,,,,,,1096.0,10
2019-03-07 13:37:00,,,,,,,,1091.0,10
2019-03-07 13:47:00,956.0,,,,,,,,10
2019-03-07 13:51:00,,,,,,,,1050.0,10
2019-03-07 13:52:00,,,,,1137.0,,,,10
2019-03-07 13:56:00,921.0,,,,,,,,10
2019-03-07 13:57:00,,,,,,,,1035.0,10
2019-03-07 14:05:00,,,,,1083.0,,,,10
2019-03-07 14:07:00,,,,,,,,1004.0,10
2019-03-07 14:11:00,871.0,,,,,,,,10
2019-03-07 14:25:00,,,,,,,,954.0,10
2019-03-07 14:50:00,,,,,,22.0,,,10
2019-03-07 14:53:00,,,,,957.0,,,,10
2019-03-07 15:48:00,,,,,713.0,,,,10
2019-03-07 16:08:00,488.0,,,,,,,,10
2019-03-07 16:13:00,,,,,,,,523.0,10
2019-03-07 16:18:00,,,,242.0,,,,,10
2019-03-07 16:58:00,,,,231.0,,,,,10
2019-03-07 17:35:00,,122.0,,,,,,,10
2019-03-07 17:46:00,,,,125.0,,,,,10
2019-03-07 17:52:00,,122.0,,,,,,,10
2019-03-07 18:04:00,,122.0,,,,,,,10
2019-03-07 18:05:00,,122.0,,,,,,,10
2019-03-07 18:37:00,,,,0.0,,,,,10
2019-03-07 19:15:00,,,10.0,,,,,,10
2019-03-07 20:49:00,,,,,0.0,,,,10
2019-03-07 21:13:00,,122.0,,,,,,,10
2019-03-07 22:26:00,,,,0.0,,,,,10
2019-03-07 22:41:00,,,,0.0,,,,,10
