measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_3__431,poa_irradiance__421,system_id
2019-03-09 02:04:00,,,,0.0,,,,10
2019-03-09 04:38:00,,122.0,,,,,,10
2019-03-09 07:14:00,,,,234.0,,,,10
2019-03-09 08:31:00,,,,233.0,,,,10
2019-03-09 08:43:00,,,,233.0,,,,10
2019-03-09 08:50:00,,,,,,,692.0,10
2019-03-09 08:54:00,,,,235.0,,,,10
2019-03-09 08:58:00,669.0,,,,,,,10
2019-03-09 09:09:00,,,,,,,765.0,10
2019-03-09 09:38:00,,,,,,,874.0,10
2019-03-09 09:45:00,,,,244.0,,,,10
2019-03-09 10:12:00,,,,,1087.0,,,10
2019-03-09 10:19:00,,,,,1099.0,,,10
2019-03-09 10:23:00,,,,,1107.0,,,10
2019-03-09 10:31:00,,,,,1121.0,,,10
2019-03-09 10:33:00,,,,,1129.0,,,10
2019-03-09 10:35:00,,,,,,,1048.0,10
2019-03-09 10:37:00,,,,,1145.0,,1054.0,10
2019-03-09 10:44:00,,,,,1175.0,,,10
2019-03-09 10:51:00,,,,,,,1086.0,10
2019-03-09 10:55:00,,,,,1194.0,,,10
2019-03-09 10:57:00,,,,,,,1098.0,10
2019-03-09 11:01:00,1000.0,,,,,,,10
2019-03-09 11:09:00,,,,,1211.0,,,10
2019-03-09 11:14:00,,,,,,32.0,,10
2019-03-09 11:15:00,1004.0,,,,,,1128.0,10
2019-03-09 11:19:00,,,,,1229.0,,,10
2019-03-09 11:20:00,,,,,1231.0,,,10
2019-03-09 11:21:00,,,,241.0,,,,10
2019-03-09 11:31:00,,,,231.0,,,1152.0,10
2019-03-09 11:36:00,,,,,1260.0,,,10
2019-03-09 11:37:00,,,,,1261.0,,1157.0,10
2019-03-09 11:38:00,,,,,1261.0,,,10
2019-03-09 11:41:00,,125.0,,,,,,10
2019-03-09 11:42:00,1040.0,,,,,,,10
2019-03-09 11:45:00,,,,,,,1163.0,10
2019-03-09 11:51:00,,125.0,,,,,,10
2019-03-09 11:55:00,,,,,1254.0,,,10
2019-03-09 12:00:00,1031.0,,,,1255.0,,,10
2019-03-09 12:01:00,,,,,,,1166.0,10
2019-03-09 12:05:00,,,,,1249.0,,,10
2019-03-09 12:08:00,1033.0,125.0,,,,,,10
2019-03-09 12:10:00,1035.0,,,,,,,10
2019-03-09 12:12:00,,,,,1257.0,,,10
2019-03-09 12:14:00,1036.0,,,,1263.0,,1182.0,10
2019-03-09 12:18:00,,,,,1251.0,,1180.0,10
2019-03-09 12:21:00,,125.0,,,,,,10
2019-03-09 12:27:00,,,,,1258.0,,1175.0,10
2019-03-09 12:28:00,,125.0,,,,,,10
2019-03-09 12:32:00,,,,,,,1174.0,10
2019-03-09 12:33:00,1030.0,,,,,,,10
2019-03-09 12:39:00,656.0,,,,,,,10
2019-03-09 12:42:00,1084.0,,,,,,1224.0,10
2019-03-09 12:54:00,,,,237.0,,,,10
2019-03-09 12:59:00,,,,,,,1230.0,10
2019-03-09 13:00:00,,,,,1348.0,,,10
2019-03-09 13:01:00,,,,,1326.0,,1215.0,10
2019-03-09 13:05:00,1032.0,,,,,,,10
2019-03-09 13:10:00,,,,,,,1170.0,10
2019-03-09 13:12:00,,,,,1232.0,,1148.0,10
2019-03-09 13:14:00,,,,,,,1140.0,10
2019-03-09 13:15:00,1005.0,,,,,,,10
2019-03-09 13:22:00,,,,238.0,,,,10
2019-03-09 13:37:00,,,,,1177.0,,,10
2019-03-09 13:38:00,,,,,1173.0,,,10
2019-03-09 13:48:00,,125.0,,,,,,10
2019-03-09 13:52:00,,,,234.0,,,,10
2019-03-09 13:54:00,,,,,,,1052.0,10
2019-03-09 14:21:00,,,,,1037.0,,,10
2019-03-09 15:10:00,,,,,,,809.0,10
2019-03-09 15:21:00,683.0,,,,,,,10
2019-03-09 15:37:00,621.0,,,,,,,10
2019-03-09 15:54:00,,,,,,,446.0,10
2019-03-09 15:58:00,,124.0,,,,,,10
2019-03-09 16:49:00,256.0,,,,,,,10
2019-03-09 17:03:00,,,,,,,285.0,10
2019-03-09 17:14:00,,,,,,,211.0,10
2019-03-09 17:25:00,,,13.0,,,,,10
2019-03-09 17:50:00,,122.0,,,,,,10
2019-03-09 22:21:00,,122.0,,,,,,10
