measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,poa_irradiance__421,system_id
2019-03-10 02:27:00,,,,0.0,,,,,10
2019-03-10 05:01:00,,122.0,,,,,,,10
2019-03-10 06:57:00,,122.0,,,,,,,10
2019-03-10 08:18:00,,123.0,,,,,,,10
2019-03-10 08:33:00,,,,243.0,,,,,10
2019-03-10 08:34:00,,,,,,,,598.0,10
2019-03-10 08:52:00,,124.0,,,,,,,10
2019-03-10 09:44:00,,,,,,14.0,,,10
2019-03-10 09:48:00,,,,,982.0,,,,10
2019-03-10 09:58:00,,,,,1000.0,,,,10
2019-03-10 10:11:00,,,,,,,33.0,,10
2019-03-10 10:20:00,,,,,1069.0,,,,10
2019-03-10 10:22:00,,,,,1070.0,,,,10
2019-03-10 10:33:00,,,,,,,,1021.0,10
2019-03-10 10:37:00,,,,,,,,1043.0,10
2019-03-10 10:51:00,,,,,1134.0,,,,10
2019-03-10 10:52:00,,,,233.0,,,,,10
2019-03-10 10:55:00,937.0,,,,,,,,10
2019-03-10 10:58:00,,,,,,,,1070.0,10
2019-03-10 10:59:00,,,,,1142.0,,,,10
2019-03-10 11:06:00,945.0,,,,,,,,10
2019-03-10 11:07:00,,,,,1139.0,,,,10
2019-03-10 11:19:00,,,,,,,,1103.0,10
2019-03-10 11:20:00,,,,,,,,1105.0,10
2019-03-10 11:21:00,,,,,,,,1105.0,10
2019-03-10 11:37:00,,,,,,,,1127.0,10
2019-03-10 11:59:00,,,,,1197.0,,,,10
2019-03-10 12:00:00,,125.0,,,,,,,10
2019-03-10 12:05:00,,,,,1210.0,,,,10
2019-03-10 12:07:00,,125.0,,,,,,,10
2019-03-10 12:08:00,,,,,,,,1146.0,10
2019-03-10 12:09:00,,,,,1220.0,,,,10
2019-03-10 12:10:00,,,,,,,,1147.0,10
2019-03-10 12:14:00,,125.0,,,,,,,10
2019-03-10 12:23:00,,,,,,,,1111.0,10
2019-03-10 12:29:00,1013.0,,,,,,,,10
2019-03-10 12:31:00,,,,,1223.0,,,,10
2019-03-10 12:34:00,1008.0,,,,,,,,10
2019-03-10 12:42:00,1002.0,,,,1221.0,,,,10
2019-03-10 12:44:00,1014.0,,,,,,,,10
2019-03-10 12:48:00,,,,,1188.0,,,,10
2019-03-10 12:52:00,,,,,1109.0,,,,10
2019-03-10 12:53:00,,,,224.0,,,,,10
2019-03-10 13:36:00,,,,,,,,470.0,10
2019-03-10 13:49:00,,124.0,,,,,,,10
2019-03-10 14:24:00,,,,,392.0,,,,10
2019-03-10 14:41:00,,,,,298.0,,,,10
2019-03-10 15:33:00,,,2.0,,,,,,10
2019-03-10 15:51:00,,,,,,,,0.0,10
2019-03-10 16:20:00,,,,,,14.0,,,10
2019-03-10 16:50:00,,,,,165.0,,,,10
2019-03-10 16:52:00,,,,,133.0,,,,10
