measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_3__431,poa_irradiance__421,system_id
2019-03-16 00:47:00,,,0.0,,,,10
2019-03-16 03:27:00,,122.0,,,,,10
2019-03-16 03:31:00,,122.0,,,,,10
2019-03-16 03:37:00,,122.0,,,,,10
2019-03-16 03:39:00,,122.0,,,,,10
2019-03-16 03:47:00,,122.0,,,,,10
2019-03-16 03:51:00,,122.0,,,,,10
2019-03-16 03:52:00,,122.0,,,,,10
2019-03-16 04:14:00,,,0.0,,,,10
2019-03-16 04:55:00,,122.0,,,,,10
2019-03-16 06:06:00,,,29.0,,,,10
2019-03-16 06:37:00,,,159.0,,,,10
2019-03-16 07:26:00,,,,290.0,,,10
2019-03-16 07:48:00,,,,,,407.0,10
2019-03-16 08:08:00,,,234.0,,,,10
2019-03-16 08:39:00,,,,724.0,,,10
2019-03-16 08:44:00,,,244.0,,,,10
2019-03-16 08:54:00,,,,,,714.0,10
2019-03-16 08:57:00,,,,813.0,,,10
2019-03-16 08:59:00,,,246.0,,,,10
2019-03-16 09:36:00,,,,,,882.0,10
2019-03-16 10:12:00,,,,,,1001.0,10
2019-03-16 10:14:00,,125.0,,,,1005.0,10
2019-03-16 10:17:00,,,,1081.0,,,10
2019-03-16 10:19:00,,125.0,,,,,10
2019-03-16 10:21:00,,,,,,1030.0,10
2019-03-16 10:23:00,,125.0,,,,1035.0,10
2019-03-16 10:31:00,,,,,,1054.0,10
2019-03-16 10:35:00,,,,,,1062.0,10
2019-03-16 10:43:00,,,,1162.0,,,10
2019-03-16 10:49:00,,,,1171.0,,,10
2019-03-16 10:52:00,,,,,,1104.0,10
2019-03-16 10:54:00,,,,,,1108.0,10
2019-03-16 10:57:00,,,,,,1114.0,10
2019-03-16 11:02:00,,,,1177.0,,,10
2019-03-16 11:03:00,,,,,,1121.0,10
2019-03-16 11:09:00,,,,1192.0,,1130.0,10
2019-03-16 11:24:00,,,,,,1148.0,10
2019-03-16 11:28:00,1001.0,,,,,,10
2019-03-16 11:32:00,,,,,,1158.0,10
2019-03-16 11:33:00,,,,,,1158.0,10
2019-03-16 11:38:00,,,,,,1162.0,10
2019-03-16 11:41:00,,,,1212.0,,,10
2019-03-16 11:55:00,,,,,,1173.0,10
2019-03-16 11:58:00,,,,1207.0,,,10
2019-03-16 12:00:00,,,,1203.0,,,10
2019-03-16 12:01:00,,,,1204.0,,,10
2019-03-16 12:11:00,,,,,,1178.0,10
2019-03-16 12:12:00,,,,1220.0,,,10
2019-03-16 12:19:00,,,,,,1175.0,10
2019-03-16 12:22:00,,,,,,1174.0,10
2019-03-16 12:24:00,,,,,,1172.0,10
2019-03-16 12:25:00,,,,1213.0,,,10
2019-03-16 12:30:00,,,,,,1163.0,10
2019-03-16 12:36:00,,,,,,1165.0,10
2019-03-16 12:38:00,,,,1190.0,,,10
2019-03-16 12:47:00,,,,,,1139.0,10
2019-03-16 12:51:00,,,,,,1141.0,10
2019-03-16 12:53:00,,,226.0,,,,10
2019-03-16 13:00:00,,,,1175.0,,,10
2019-03-16 13:05:00,,,,,,1077.0,10
2019-03-16 13:13:00,,,225.0,,,,10
2019-03-16 13:22:00,,,,,,1106.0,10
2019-03-16 13:23:00,,,,1161.0,,,10
2019-03-16 13:27:00,,,,,,1081.0,10
2019-03-16 13:28:00,,,,1107.0,,,10
2019-03-16 13:29:00,,,,,,1069.0,10
2019-03-16 13:30:00,,,,1104.0,,,10
2019-03-16 13:34:00,,,,1080.0,,,10
2019-03-16 13:35:00,881.0,,,,,,10
2019-03-16 13:38:00,,,,1092.0,,,10
2019-03-16 13:53:00,,,,,,1004.0,10
2019-03-16 13:57:00,,,243.0,,,,10
2019-03-16 14:13:00,,124.0,,,,,10
2019-03-16 14:14:00,,124.0,,,,,10
2019-03-16 14:16:00,,,,1068.0,,,10
2019-03-16 14:17:00,,,,1065.0,,,10
2019-03-16 14:18:00,,124.0,,,,,10
2019-03-16 14:28:00,,,,1007.0,,,10
2019-03-16 14:41:00,,,,,,897.0,10
2019-03-16 14:44:00,,,,957.0,,,10
2019-03-16 14:53:00,757.0,,,,,,10
2019-03-16 14:54:00,760.0,,,,,,10
2019-03-16 15:18:00,,,,,,754.0,10
2019-03-16 15:37:00,605.0,,,,,,10
2019-03-16 15:48:00,,,,,29.0,,10
2019-03-16 15:54:00,,,,642.0,,,10
2019-03-16 16:20:00,,,,,25.0,,10
2019-03-16 16:25:00,,,237.0,,,452.0,10
2019-03-16 18:39:00,,,,,3.0,,10
