measured_on,ac_current__427,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-03-18 00:04:00,,,,,0.0,,,,,10
2019-03-18 02:16:00,,,,,0.0,,,,,10
2019-03-18 03:35:00,,,122.0,,,,,,,10
2019-03-18 03:43:00,,,122.0,,,,,,,10
2019-03-18 03:45:00,,,122.0,,,,,,,10
2019-03-18 06:28:00,,,,,158.0,,,,,10
2019-03-18 06:58:00,,,,,220.0,,,,,10
2019-03-18 07:24:00,,,,,239.0,,,,,10
2019-03-18 07:57:00,,,,,,268.0,,,,10
2019-03-18 08:05:00,,,123.0,,,,,,,10
2019-03-18 08:18:00,,303.0,,,,,,,,10
2019-03-18 08:26:00,,332.0,,,,,,,,10
2019-03-18 08:50:00,,,,,,,,,310.0,10
2019-03-18 08:55:00,,,,,,,,,343.0,10
2019-03-18 09:29:00,,,,,,,,,477.0,10
2019-03-18 09:39:00,7.0,,,,,,,,,10
2019-03-18 10:01:00,,,,,,,,,720.0,10
2019-03-18 10:31:00,,,,,,1001.0,,,,10
2019-03-18 10:37:00,,,124.0,,,,,,,10
2019-03-18 11:00:00,,,,,228.0,,,,,10
2019-03-18 11:05:00,,,,,,985.0,,,,10
2019-03-18 11:23:00,,,,,,1013.0,,,,10
2019-03-18 11:28:00,,,,,,,36.0,,,10
2019-03-18 11:37:00,,,,,,1097.0,,,,10
2019-03-18 11:43:00,,,,,,1055.0,,,,10
2019-03-18 11:55:00,,,,,,1137.0,,,,10
2019-03-18 11:58:00,,,,,,,,,1196.0,10
2019-03-18 11:59:00,,,,,,1268.0,,,1200.0,10
2019-03-18 12:00:00,,,,,,,,,1100.0,10
2019-03-18 12:07:00,,,,,239.0,,,,,10
2019-03-18 12:12:00,,,,,236.0,,,,,10
2019-03-18 12:13:00,,,,,,,,,836.0,10
2019-03-18 12:33:00,,,,,,,,,1011.0,10
2019-03-18 12:36:00,,,,,,,,42.0,,10
2019-03-18 12:39:00,,,125.0,,,,,,,10
2019-03-18 12:50:00,,,,,,1101.0,,,,10
2019-03-18 12:51:00,,,,,,,,,1031.0,10
2019-03-18 12:58:00,,,,,,,,,1094.0,10
2019-03-18 12:59:00,,,,,,,,,1061.0,10
2019-03-18 13:20:00,,,,,,,,,1024.0,10
2019-03-18 13:59:00,,,,,,,,,765.0,10
2019-03-18 14:25:00,,,,,240.0,,,,,10
2019-03-18 15:01:00,,,124.0,,,,,,,10
2019-03-18 15:05:00,,423.0,,,,,,,,10
2019-03-18 15:17:00,,,124.0,,,,,,,10
2019-03-18 15:18:00,,,124.0,,,,,,,10
2019-03-18 15:19:00,,,,,238.0,,,,,10
2019-03-18 15:30:00,,248.0,,,,,,,,10
2019-03-18 15:59:00,,,,,,,,,177.0,10
2019-03-18 16:12:00,,110.0,,,,,,,,10
2019-03-18 16:15:00,,,,17.0,,,,,,10
2019-03-18 16:28:00,,,,,214.0,,,,,10
2019-03-18 16:46:00,,,122.0,,,,,,,10
2019-03-18 16:58:00,,,122.0,,,,,,,10
2019-03-18 16:59:00,,,122.0,,,,,,,10
2019-03-18 17:03:00,,,122.0,,,,,,,10
2019-03-18 17:16:00,,,122.0,,,,,,,10
2019-03-18 17:22:00,,,122.0,,,,,,,10
2019-03-18 17:24:00,,,,,207.0,,,,,10
2019-03-18 17:49:00,,,,,167.0,,,,,10
2019-03-18 19:34:00,,,,,0.0,,,,,10
