measured_on,ac_current_other_inv_14537,ac_current_other_inv_14537_2,ac_current_other_inv_14537_3,ac_energy_inv_14537,ac_other_meter_1863,ac_other_meter_1863_2,ac_other_meter_1863_3,ac_power_inv_14537,ac_power_meter_1863,ac_power_meter_1863_2,ac_power_meter_1863_3,ac_power_meter_1863_4,ac_power_meter_1863_5,ac_power_other_meter_1863,ac_power_other_meter_1863_2,ac_power_other_meter_1863_3,ac_power_other_meter_1863_4,ac_voltage_other_inv_14537,ac_voltage_other_inv_14537_2,ac_voltage_other_inv_14537_3,ac_voltage_other_meter_1863,ac_voltage_other_meter_1863_2,ac_voltage_other_meter_1863_3,ac_voltage_other_meter_1863_4,ac_voltage_other_meter_1863_5,ac_voltage_other_meter_1863_6,battery_a_avg__82575,battery_v_min__82574,chgsource_min__82578,chgstate_min__82577,ckbatt_max__82579,cr1000temp_c_avg__82491,dc_power_inv_14537,dc_voltage_other_inv_14537,dc_voltage_other_inv_14537_2,dooropen_min__82492,irradiance_ghi_o_2196,irradiance_poa_o_2195,irradiance_poa_o_2197,irradiance_poa_o_2198,irradiance_poa_o_2199,load_a_avg__82576,qloss_ah_max__82580,rtd_c_avg_10__82590,rtd_c_avg_1__82581,rtd_c_avg_2__82582,rtd_c_avg_3__82583,rtd_c_avg_4__82584,rtd_c_avg_5__82585,rtd_c_avg_6__82586,rtd_c_avg_7__82587,rtd_c_avg_8__82588,rtd_c_avg_9__82589,sewspoairrad_wm2_avg__82524,shuntcurrent_a_avg_1__82546,shuntcurrent_a_avg_2__82547,shuntcurrent_a_avg_3__82548,shuntcurrent_a_avg_4__82549,shuntcurrent_a_avg_5__82550,shuntcurrent_a_avg_6__82551,shuntcurrent_a_avg_7__82552,shuntetot_kwh_max_1__82560,shuntetot_kwh_max_2__82561,shuntetot_kwh_max_3__82562,shuntetot_kwh_max_4__82563,shuntetot_kwh_max_5__82564,shuntetot_kwh_max_6__82565,shuntetot_kwh_max_7__82566,shuntpdc_kw_avg_1__82553,shuntpdc_kw_avg_2__82554,shuntpdc_kw_avg_3__82555,shuntpdc_kw_avg_4__82556,shuntpdc_kw_avg_5__82557,shuntpdc_kw_avg_6__82558,shuntpdc_kw_avg_7__82559,system_other_inv_14537,system_other_inv_14537_10,system_other_inv_14537_11,system_other_inv_14537_2,system_other_inv_14537_3,system_other_inv_14537_4,system_other_inv_14537_5,system_other_inv_14537_6,system_other_inv_14537_7,system_other_inv_14537_8,system_other_inv_14537_9,system_other_meter_1863,system_other_meter_1863_2,system_other_meter_1863_3,temperature_ambient_o_2200,temperature_ambient_o_2201,temperature_inverter_inv_14537,temperature_module_o_2201,wind_direction_o_2201,wind_other_o_2201,wind_other_o_2201_2,wind_other_o_2201_3,wind_other_o_2201_4,wind_speed_o_2201,wind_speed_o_2201_2,system_id
2015-07-28 00:00:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,272.7,273.4,274.6,0.772,271.0,0.531,272.0,0.842,273.0,-0.134,13.14,2.0,1.0,0.0,25.37,0.0,21.43,4.151,0.0,-0.0299999999999999,-0.011,-0.013,-0.249,-0.0559999999999999,0.231,0.003,32.38,21.89,22.18,21.19,21.54,21.23,21.51,-124.1,22.0,21.66,0.037,0.006,0.006,0.0069999999999999,0.008,0.013,0.011,0.012,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121,0.0,60.14,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.82,23.5,0.0,21.5,63.39,17.06,2.0,3.53,-1.0,0.2419999999999999,0.4,4901
2015-07-28 00:01:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,272.8,273.4,274.6,0.772,271.0,0.531,272.0,0.842,273.0,0.143,13.23,2.0,1.0,0.0,25.37,0.0,21.43,4.122,0.0,-0.0299999999999999,-0.012,-0.013,-0.2919999999999999,-0.0869999999999999,0.2289999999999999,0.002,32.38,21.85,22.18,21.23,21.51,21.21,21.46,-123.5,21.92,21.55,0.036,0.006,0.006,0.008,0.008,0.0139999999999999,0.01,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,60.14,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.8,23.5,0.0,21.48,29.24,11.33,2.0,3.528,-1.0,0.135,0.2,4901
2015-07-28 00:02:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,272.9,273.6,274.9,0.772,271.0,0.531,272.0,0.842,273.0,0.0069999999999999,13.58,2.0,3.0,0.0,25.34,0.0,21.34,4.12,0.0,-0.0299999999999999,-0.012,-0.013,-0.286,-0.067,0.228,0.001,32.36,21.87,22.18,21.23,21.51,21.23,21.45,-123.1,21.95,21.61,0.036,0.006,0.006,0.008,0.009,0.0139999999999999,0.01,0.013,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.017,0.0,60.17,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.82,23.52,0.0,21.49,29.6,61.62,2.0,3.53,-0.8640000000000001,0.0729999999999999,0.2,4901
2015-07-28 00:03:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.3,273.7,274.9,0.772,271.0,0.531,272.0,0.842,273.0,0.006,13.58,2.0,3.0,0.0,25.34,0.0,21.42,4.128,0.0,-0.0299999999999999,-0.013,-0.013,-0.28,-0.0509999999999999,0.228,0.0,32.36,21.88,22.17,21.13,21.52,21.21,21.43,-124.0,21.9,21.52,0.0379999999999999,0.006,0.006,0.0069999999999999,0.0069999999999999,0.0139999999999999,0.011,0.012,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.83,23.5,0.0,21.43,64.27,74.34,2.0,3.53,-0.883,0.083,0.2,4901
2015-07-28 00:04:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.0,273.9,275.0,0.772,271.0,0.531,272.0,0.842,273.0,0.005,13.58,2.0,3.0,0.0,25.34,0.0,21.41,4.171,0.0,-0.0299999999999999,-0.013,-0.013,-0.2789999999999999,-0.078,0.228,0.0,32.28,21.89,22.08,21.13,21.51,21.21,21.4,-124.4,21.9,21.57,0.0379999999999999,0.006,0.006,0.0069999999999999,0.008,0.013,0.011,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.81,23.47,0.0,21.39,214.7,6.799,2.0,3.53,-1.0,0.2099999999999999,0.2999999999999999,4901
2015-07-28 00:05:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.1,273.8,275.0,0.772,271.0,0.531,272.0,0.842,273.0,0.005,13.58,2.0,3.0,0.0,25.32,0.0,21.45,4.226,0.0,-0.033,-0.013,-0.013,-0.2789999999999999,-0.07,0.228,0.0,32.27,21.8,22.08,21.13,21.51,21.23,21.35,-123.5,21.88,21.54,0.037,0.005,0.0069999999999999,0.0069999999999999,0.008,0.0139999999999999,0.011,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.178,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.77,23.46,0.0,21.37,197.2,18.23,2.0,3.528,-1.0,0.157,0.2999999999999999,4901
2015-07-28 00:06:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,272.9,273.9,275.0,0.772,271.0,0.531,272.0,0.842,273.0,0.0,13.35,2.0,3.0,0.0,25.31,0.0,21.36,4.271,0.0,-0.033,-0.013,-0.013,-0.254,-0.0509999999999999,0.2269999999999999,0.001,32.28,21.78,22.08,21.07,21.54,21.21,21.35,-124.2,21.81,21.52,0.036,0.006,0.006,0.008,0.0069999999999999,0.0139999999999999,0.01,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.181,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.8,23.45,0.0,21.31,149.1,34.19,2.0,3.53,-0.817,0.0819999999999999,0.2,4901
2015-07-28 00:07:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.1,273.9,274.9,0.772,271.1,0.531,272.1,0.842,273.0,0.011,13.35,2.0,3.0,0.0,25.31,0.0,21.68,4.16,0.0,-0.034,-0.013,-0.0139999999999999,-0.2739999999999999,-0.055,0.228,0.001,32.22,21.78,21.99,21.04,21.43,21.15,21.35,-124.2,21.81,21.53,0.037,0.006,0.006,0.008,0.008,0.0139999999999999,0.01,0.012,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176,0.0,60.14,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.82,23.4,0.0,21.27,11.05,71.47,2.0,3.53,-0.917,0.128,0.2999999999999999,4901
2015-07-28 00:08:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.1,273.9,275.0,0.772,271.0,0.531,272.0,0.842,273.0,0.005,13.58,2.0,3.0,0.0,25.28,0.0,21.44,4.147,0.0,-0.035,-0.013,-0.0139999999999999,-0.275,-0.068,0.228,0.0,32.18,21.73,21.99,21.04,21.43,21.13,21.32,-123.2,21.81,21.46,0.0379999999999999,0.005,0.006,0.0069999999999999,0.008,0.013,0.01,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.129,0.0,60.14,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.76,23.3,0.0,21.24,312.8,6.663,2.0,3.53,-1.0,0.3779999999999999,0.5,4901
2015-07-28 00:09:00,0.0,0.0,0.0,943171.0,62.9,59.9,60.0,0.0,35415.0,447.0,82668.0,903471.0,0.0,1.0,0.0,0.0,0.0,273.1,274.1,275.2,0.772,271.6,0.531,272.9,0.842,273.5,0.005,13.58,2.0,3.0,0.0,25.28,0.0,21.23,4.123,0.0,-0.033,-0.013,-0.0139999999999999,-0.275,-0.0579999999999999,0.228,0.0,32.18,21.7,21.94,21.04,21.41,21.13,21.27,-124.0,21.81,21.53,0.037,0.005,0.006,0.0069999999999999,0.008,0.013,0.011,0.011,4934.0,6916.0,6873.0,6939.0,5891.0,5849.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.952,0.0,60.15,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,23.72,23.3,0.0,21.21,334.8,12.13,2.0,3.53,-1.0,0.432,0.5,4901
