measured_on,ac_current_other_inv_14537,ac_current_other_inv_14537_2,ac_current_other_inv_14537_3,ac_energy_inv_14537,ac_other_meter_1863,ac_other_meter_1863_2,ac_other_meter_1863_3,ac_power_inv_14537,ac_power_meter_1863,ac_power_meter_1863_2,ac_power_meter_1863_3,ac_power_meter_1863_4,ac_power_meter_1863_5,ac_power_other_meter_1863,ac_power_other_meter_1863_2,ac_power_other_meter_1863_3,ac_power_other_meter_1863_4,ac_voltage_other_inv_14537,ac_voltage_other_inv_14537_2,ac_voltage_other_inv_14537_3,ac_voltage_other_meter_1863,ac_voltage_other_meter_1863_2,ac_voltage_other_meter_1863_3,ac_voltage_other_meter_1863_4,ac_voltage_other_meter_1863_5,ac_voltage_other_meter_1863_6,battery_a_avg__82575,battery_v_min__82574,chgsource_min__82578,chgstate_min__82577,ckbatt_max__82579,cr1000temp_c_avg__82491,dc_power_inv_14537,dc_voltage_other_inv_14537,dc_voltage_other_inv_14537_2,dooropen_min__82492,irradiance_ghi_o_2196,irradiance_poa_o_2195,irradiance_poa_o_2197,irradiance_poa_o_2198,irradiance_poa_o_2199,load_a_avg__82576,qloss_ah_max__82580,rtd_c_avg_10__82590,rtd_c_avg_1__82581,rtd_c_avg_2__82582,rtd_c_avg_3__82583,rtd_c_avg_4__82584,rtd_c_avg_5__82585,rtd_c_avg_6__82586,rtd_c_avg_7__82587,rtd_c_avg_8__82588,rtd_c_avg_9__82589,sewspoairrad_wm2_avg__82524,shuntcurrent_a_avg_1__82546,shuntcurrent_a_avg_2__82547,shuntcurrent_a_avg_3__82548,shuntcurrent_a_avg_4__82549,shuntcurrent_a_avg_5__82550,shuntcurrent_a_avg_6__82551,shuntcurrent_a_avg_7__82552,shuntetot_kwh_max_1__82560,shuntetot_kwh_max_2__82561,shuntetot_kwh_max_3__82562,shuntetot_kwh_max_4__82563,shuntetot_kwh_max_5__82564,shuntetot_kwh_max_6__82565,shuntetot_kwh_max_7__82566,shuntpdc_kw_avg_1__82553,shuntpdc_kw_avg_2__82554,shuntpdc_kw_avg_3__82555,shuntpdc_kw_avg_4__82556,shuntpdc_kw_avg_5__82557,shuntpdc_kw_avg_6__82558,shuntpdc_kw_avg_7__82559,system_other_inv_14537,system_other_inv_14537_10,system_other_inv_14537_11,system_other_inv_14537_2,system_other_inv_14537_3,system_other_inv_14537_4,system_other_inv_14537_5,system_other_inv_14537_6,system_other_inv_14537_7,system_other_inv_14537_8,system_other_inv_14537_9,system_other_meter_1863,system_other_meter_1863_2,system_other_meter_1863_3,temperature_ambient_o_2200,temperature_ambient_o_2201,temperature_inverter_inv_14537,temperature_module_o_2201,wind_direction_o_2201,wind_other_o_2201,wind_other_o_2201_2,wind_other_o_2201_4,system_id
2015-10-01 00:00:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.3,274.6,275.9,0.772,272.0,0.531,273.0,0.842,274.0,0.003,13.73,2.0,3.0,0.0,17.24,0.0,21.23,21.81,0.0,-0.0069999999999999,-0.004,-0.003,-0.352,-0.123,0.222,0.0,18.98,14.73,14.9,14.27,14.66,14.37,14.68,14.61,14.85,14.56,0.0279999999999999,0.003,0.001,0.003,0.004,0.009,0.006,0.0069999999999999,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.49,14.55,0.0,14.37,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:01:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.4,274.6,275.9,0.772,272.0,0.531,273.0,0.842,274.0,0.0149999999999999,13.52,2.0,1.0,0.0,17.22,0.0,21.23,20.81,0.0,-0.0069999999999999,-0.004,-0.003,-0.283,-0.108,0.221,0.0,18.98,14.65,14.85,14.27,14.66,14.37,14.68,14.61,14.85,14.56,0.032,0.003,0.001,0.003,0.004,0.009,0.005,0.005,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,0.0,60.21,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.47,14.51,0.0,14.35,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:02:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.3,274.7,276.0,0.772,272.0,0.531,273.0,0.842,274.0,-0.008,13.37,2.0,1.0,0.0,17.21,0.0,21.25,21.88,0.0,-0.0069999999999999,-0.003,-0.003,-0.324,-0.11,0.2239999999999999,0.001,18.98,14.65,14.85,14.27,14.66,14.37,14.68,14.61,14.85,14.56,0.022,0.003,0.002,0.002,0.004,0.009,0.005,0.0069999999999999,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.45,14.51,0.0,14.35,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:03:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.5,274.6,275.9,0.772,272.0,0.531,273.0,0.842,274.0,0.004,13.73,2.0,3.0,0.0,17.19,0.0,21.21,22.04,0.0,-0.0069999999999999,-0.004,-0.003,-0.341,-0.106,0.223,0.0,18.96,14.64,14.85,14.29,14.64,14.37,14.66,14.52,14.85,14.56,0.0279999999999999,0.002,0.001,0.002,0.004,0.008,0.005,0.006,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.63,0.0,60.22,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.46,14.49,0.0,14.33,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:04:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.4,274.5,275.8,0.772,272.0,0.531,273.0,0.842,274.0,0.003,13.72,2.0,3.0,0.0,17.17,0.0,21.29,21.91,0.0,-0.0069999999999999,-0.004,-0.003,-0.3429999999999999,-0.11,0.223,0.0,18.93,14.66,14.85,14.25,14.61,14.34,14.58,14.54,14.79,14.55,0.032,0.002,0.001,0.003,0.004,0.009,0.005,0.006,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,0.0,60.16,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.38,14.47,0.0,14.32,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:05:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,273.6,274.2,275.5,0.772,272.0,0.531,272.3,0.842,273.3,0.003,13.72,2.0,3.0,0.0,17.16,0.0,21.2,21.63,0.0,-0.0069999999999999,-0.004,-0.003,-0.3449999999999999,-0.113,0.222,0.0,18.88,14.66,14.81,14.21,14.56,14.29,14.58,14.54,14.76,14.51,0.033,0.003,0.002,0.003,0.004,0.009,0.004,0.005,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06,0.0,60.15,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.37,14.44,0.0,14.3,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:06:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,273.8,273.9,275.2,0.772,272.0,0.531,272.0,0.842,273.3,0.003,13.72,2.0,3.0,0.0,17.14,0.0,21.2,21.93,0.0,-0.0069999999999999,-0.005,-0.003,-0.347,-0.108,0.222,0.0,18.88,14.61,14.75,14.18,14.56,14.27,14.58,14.51,14.76,14.47,0.033,0.002,0.002,0.003,0.004,0.01,0.005,0.006,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58,0.0,60.15,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.36,14.41,0.0,14.28,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:07:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,273.8,274.2,275.5,0.772,272.0,0.531,272.0,0.842,273.9,-0.012,13.35,2.0,1.0,0.0,17.12,0.0,21.26,22.02,0.0,-0.0069999999999999,-0.006,-0.003,-0.3289999999999999,-0.1159999999999999,0.223,0.001,18.83,14.56,14.75,14.18,14.56,14.25,14.58,14.44,14.74,14.47,0.032,0.003,0.001,0.004,0.004,0.01,0.004,0.0069999999999999,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59,0.0,60.18,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.36,14.39,0.0,14.25,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:08:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,274.0,274.2,275.6,0.772,272.0,0.531,272.0,0.842,274.0,0.019,13.53,2.0,3.0,0.0,17.11,0.0,21.26,22.14,0.0,-0.0069999999999999,-0.0069999999999999,-0.004,-0.3439999999999999,-0.115,0.223,0.001,18.79,14.54,14.75,14.18,14.54,14.18,14.52,14.45,14.66,14.47,0.0279999999999999,0.003,0.002,0.003,0.005,0.009,0.005,0.005,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,0.0,60.21,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.32,14.36,0.0,14.21,0.0,0.0,5.0,-1.0,4901
2015-10-01 00:09:00,0.0,0.0,0.0,1012097.0,62.9,59.9,60.0,0.0,37069.0,464.0,89188.0,971445.0,0.0,1.0,0.0,0.0,0.0,273.8,274.3,275.6,0.772,272.0,0.531,272.0,0.842,274.0,0.004,13.72,2.0,3.0,0.0,17.09,0.0,21.16,23.06,0.0,-0.0069999999999999,-0.0069999999999999,-0.004,-0.341,-0.123,0.223,0.0,18.79,14.53,14.67,14.13,14.46,14.19,14.48,14.46,14.66,14.41,0.027,0.002,0.002,0.003,0.004,0.009,0.005,0.005,6.0,9.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,0.0,60.19,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.33,14.34,0.0,14.18,0.0,0.0,5.0,-1.0,4901
