measured_on,ac_energy_inv_14538,ac_other_meter_1864,ac_other_meter_1864_2,ac_other_meter_1864_3,ac_power_meter_1864,ac_power_meter_1864_2,ac_power_meter_1864_3,ac_power_meter_1864_4,ac_power_meter_1864_5,ac_power_other_meter_1864,ac_power_other_meter_1864_2,ac_power_other_meter_1864_3,ac_power_other_meter_1864_4,ac_voltage_other_meter_1864,ac_voltage_other_meter_1864_2,ac_voltage_other_meter_1864_3,ac_voltage_other_meter_1864_4,ac_voltage_other_meter_1864_5,ac_voltage_other_meter_1864_6,battery_a_avg__82673,battery_v_min__82672,chgsource_min__82676,chgstate_min__82675,ckbatt_max__82677,cr1000temp_c_avg__82591,dooropen_min__82592,irradiance_ghi_o_2202,irradiance_poa_o_2203,irradiance_poa_o_2204,irradiance_poa_o_2206,load_a_avg__82674,qloss_ah_max__82678,rtd_c_avg_10__82688,shuntcurrent_a_avg_1__82644,shuntcurrent_a_avg_2__82645,shuntcurrent_a_avg_3__82646,shuntcurrent_a_avg_4__82647,shuntcurrent_a_avg_5__82648,shuntcurrent_a_avg_6__82649,shuntcurrent_a_avg_7__82650,shuntetot_kwh_max_1__82658,shuntetot_kwh_max_2__82659,shuntetot_kwh_max_3__82660,shuntetot_kwh_max_4__82661,shuntetot_kwh_max_5__82662,shuntetot_kwh_max_6__82663,shuntetot_kwh_max_7__82664,shuntpdc_kw_avg_1__82651,shuntpdc_kw_avg_2__82652,shuntpdc_kw_avg_3__82653,shuntpdc_kw_avg_4__82654,shuntpdc_kw_avg_5__82655,shuntpdc_kw_avg_6__82656,shuntpdc_kw_avg_7__82657,system_other_inv_14538,system_other_inv_14538_10,system_other_inv_14538_11,system_other_inv_14538_3,system_other_inv_14538_5,system_other_inv_14538_7,system_other_inv_14538_8,system_other_inv_14538_9,system_other_meter_1864,system_other_meter_1864_2,system_other_meter_1864_3,temperature_ambient_o_2205,temperature_ambient_o_2206,temperature_inverter_inv_14538,temperature_module_o_2206,wind_direction_o_2206,wind_other_o_2206,wind_other_o_2206_2,wind_other_o_2206_3,wind_other_o_2206_4,wind_speed_o_2206,wind_speed_o_2206_2,system_id
2015-11-22 00:00:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.6,0.01,13.9,2.0,3.0,0.0,8.39,0.0,-6.819,-9.420000000000002,-300.0,-0.0379999999999999,0.4199999999999999,0.0,8.769999999999998,-0.003,-0.003,-0.001,-0.001,0.003,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.8039999999999985,7.158,-7999.0,160.0,187.2,18.13,3.0,3.531,-1.0,0.978,1.7,4902
2015-11-22 00:01:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.0,0.009,13.9,2.0,3.0,0.0,8.39,0.0,-6.836,-9.4,-300.0,-0.0379999999999999,0.31,0.0,8.769999999999998,-0.004,-0.003,-0.002,-0.001,0.003,0.0,-0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.741,7.12,-7999.0,160.0,177.2,10.94,2.333,3.531,-1.0,1.123,2.3,4902
2015-11-22 00:02:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.5,0.009,13.9,2.0,3.0,0.0,8.37,0.0,-6.86,-9.41,-300.0,-0.0379999999999999,0.206,0.0,8.769999999999998,-0.004,-0.003,-0.001,-0.001,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.6389999999999985,7.041,-7999.0,160.0,179.0,15.91,2.0,3.531,-1.0,1.237,1.9,4902
2015-11-22 00:03:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.9,0.009,13.9,2.0,3.0,0.0,8.359999999999998,0.0,-6.837999999999999,-9.420000000000002,-300.0,-0.0379999999999999,0.206,0.0,8.769999999999998,-0.004,-0.003,-0.002,-0.001,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.612,6.994,-7999.0,160.0,170.4,14.72,2.0,3.53,-1.0,1.067,1.7,4902
2015-11-22 00:04:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,276.0,0.01,13.9,2.0,3.0,0.0,8.349999999999998,0.0,-6.839,-9.4,-300.0,-0.0379999999999999,0.313,0.0,8.71,-0.004,-0.002,-0.002,-0.001,0.004,0.0,-0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.644,6.995,-7999.0,160.0,183.5,15.91,2.5,3.531,-1.0,1.182,2.3,4902
2015-11-22 00:05:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.9,0.011,13.9,2.0,3.0,0.0,8.33,0.0,-6.829,-9.41,-300.0,-0.0379999999999999,0.4199999999999999,0.0,8.679999999999998,-0.004,-0.004,-0.002,0.0,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.672999999999998,7.002000000000001,-7999.0,160.0,189.6,18.99,3.0,3.531,-1.0,0.8449999999999999,1.6,4902
2015-11-22 00:06:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,274.0,0.921,275.1,0.01,13.9,2.0,3.0,0.0,8.32,0.0,-6.8260000000000005,-9.4,-300.0,-0.0379999999999999,0.4199999999999999,0.0,8.679999999999998,-0.004,-0.003,-0.001,-0.001,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.717,7.028,-7999.0,160.0,185.7,16.39,3.0,3.531,-1.0,1.085,1.6,4902
2015-11-22 00:07:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.8,0.921,275.0,0.01,13.9,2.0,3.0,0.0,8.3,0.0,-6.835,-9.39,-300.0,-0.0379999999999999,0.4199999999999999,0.0,8.679999999999998,-0.004,-0.003,-0.002,-0.001,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.687,6.997000000000001,-7999.0,160.0,193.9,25.33,3.0,3.531,-1.0,0.97,1.8,4902
2015-11-22 00:08:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.9,0.921,275.0,0.009,13.9,2.0,3.0,0.0,8.3,0.0,-6.846,-9.41,-300.0,-0.0379999999999999,0.313,0.0,8.679999999999998,-0.004,-0.002,-0.003,-0.002,0.004,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.726,7.004,-7999.0,160.0,184.6,17.1,2.5,3.531,-1.0,1.085,1.9,4902
2015-11-22 00:09:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.9,0.921,275.0,0.009,13.9,2.0,3.0,0.0,8.279999999999998,0.0,-6.83,-9.39,-300.0,-0.0379999999999999,0.206,0.0,8.679999999999998,-0.004,-0.004,-0.002,0.0,0.003,0.0,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,7.707999999999998,7.007000000000001,-7999.0,160.0,174.9,15.76,2.0,3.531,-1.0,1.24,1.9,4902
