measured_on,ac_energy_inv_14538,ac_other_meter_1864,ac_other_meter_1864_2,ac_other_meter_1864_3,ac_power_meter_1864,ac_power_meter_1864_2,ac_power_meter_1864_3,ac_power_meter_1864_4,ac_power_meter_1864_5,ac_power_other_meter_1864,ac_power_other_meter_1864_2,ac_power_other_meter_1864_3,ac_power_other_meter_1864_4,ac_voltage_other_meter_1864,ac_voltage_other_meter_1864_2,ac_voltage_other_meter_1864_3,ac_voltage_other_meter_1864_4,ac_voltage_other_meter_1864_5,ac_voltage_other_meter_1864_6,battery_a_avg__82673,battery_v_min__82672,chgsource_min__82676,chgstate_min__82675,ckbatt_max__82677,cr1000temp_c_avg__82591,dooropen_min__82592,irradiance_ghi_o_2202,irradiance_poa_o_2203,irradiance_poa_o_2204,irradiance_poa_o_2206,load_a_avg__82674,qloss_ah_max__82678,rtd_c_avg_10__82688,rtd_c_avg_1__82679,rtd_c_avg_2__82680,rtd_c_avg_3__82681,rtd_c_avg_4__82682,rtd_c_avg_5__82683,rtd_c_avg_6__82684,rtd_c_avg_7__82685,rtd_c_avg_8__82686,rtd_c_avg_9__82687,shuntcurrent_a_avg_1__82644,shuntcurrent_a_avg_2__82645,shuntcurrent_a_avg_3__82646,shuntcurrent_a_avg_4__82647,shuntcurrent_a_avg_5__82648,shuntcurrent_a_avg_6__82649,shuntcurrent_a_avg_7__82650,shuntetot_kwh_max_1__82658,shuntetot_kwh_max_2__82659,shuntetot_kwh_max_3__82660,shuntetot_kwh_max_4__82661,shuntetot_kwh_max_5__82662,shuntetot_kwh_max_6__82663,shuntetot_kwh_max_7__82664,shuntpdc_kw_avg_1__82651,shuntpdc_kw_avg_2__82652,shuntpdc_kw_avg_3__82653,shuntpdc_kw_avg_4__82654,shuntpdc_kw_avg_5__82655,shuntpdc_kw_avg_6__82656,shuntpdc_kw_avg_7__82657,system_other_inv_14538,system_other_inv_14538_10,system_other_inv_14538_11,system_other_inv_14538_3,system_other_inv_14538_5,system_other_inv_14538_7,system_other_inv_14538_8,system_other_inv_14538_9,system_other_meter_1864,system_other_meter_1864_2,system_other_meter_1864_3,temperature_ambient_o_2205,temperature_ambient_o_2206,temperature_inverter_inv_14538,temperature_module_o_2206,wind_direction_o_2206,wind_other_o_2206,wind_other_o_2206_2,wind_other_o_2206_3,wind_other_o_2206_4,wind_speed_o_2206,wind_speed_o_2206_2,system_id
2015-11-26 00:00:00,-2147484000.0,74.7,59.9,60.1,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.6,0.921,275.0,0.011,13.98,2.0,3.0,0.0,2.9730000000000003,0.0,-0.034,-0.024,0.4029999999999999,-0.0379999999999999,0.4259999999999999,0.0,4.392,0.126,0.4189999999999999,0.065,0.39,0.502,0.245,-0.098,0.39,-0.249,-0.003,-0.003,-0.002,0.0,0.006,0.002,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,5.01,4.383,-7999.0,-0.065,69.01,12.67,3.0,3.53,-1.0,0.5979999999999999,0.8,4902
2015-11-26 00:01:00,-2147484000.0,74.7,59.9,60.07,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.97,2.0,3.0,0.0,2.9560000000000004,0.0,-0.034,-0.027,0.4029999999999999,-0.0379999999999999,0.4259999999999999,0.0,4.379,0.1769999999999999,0.4079999999999999,0.0969999999999999,0.39,0.506,0.2269999999999999,-0.098,0.39,-0.241,-0.003,-0.003,-0.002,0.001,0.006,0.001,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.979,4.316,-7999.0,-0.11,72.54999999999998,11.73,3.0,3.53,-1.0,0.635,0.8,4902
2015-11-26 00:02:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.98,2.0,3.0,0.0,2.948,0.0,-0.034,-0.027,0.4039999999999999,-0.0379999999999999,0.4289999999999999,0.0,4.392,0.1669999999999999,0.421,0.0459999999999999,0.39,0.534,0.208,-0.098,0.39,-0.195,-0.003,-0.002,0.0,0.0,0.006,0.001,0.002,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.918,4.25,-7999.0,-0.123,73.98999999999998,7.002000000000001,3.0,3.532,-1.0,0.6759999999999999,0.8,4902
2015-11-26 00:03:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.98,2.0,3.0,0.0,2.93,0.0,-0.034,-0.026,0.405,-0.0379999999999999,0.4259999999999999,0.0,4.379,0.195,0.4229999999999999,0.0,0.325,0.502,0.195,-0.098,0.39,-0.2129999999999999,-0.003,-0.003,-0.001,0.001,0.006,0.001,0.0,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.976,4.376,-7999.0,-0.089,75.68,10.52,3.0,,-1.0,0.7329999999999999,9.0,4902
2015-11-26 00:04:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.97,2.0,3.0,0.0,2.911,0.0,-0.034,-0.024,0.405,-0.0379999999999999,0.4259999999999999,0.0,4.327,0.159,0.3429999999999999,0.0,0.2919999999999999,0.4879999999999999,0.195,-0.148,0.371,-0.249,-0.004,-0.003,-0.001,0.0,0.006,0.001,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.944,4.301,-7999.0,-0.133,74.20999999999998,6.369,3.0,3.531,-1.0,0.502,0.8,4902
2015-11-26 00:05:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.97,2.0,3.0,0.0,2.906,0.0,-0.034,-0.024,0.405,-0.0379999999999999,0.4259999999999999,0.0,4.342,0.065,0.405,0.0,0.2919999999999999,0.4879999999999999,0.195,-0.195,0.309,-0.246,-0.003,-0.002,-0.001,0.0,0.005,0.002,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.999,4.392,-7999.0,-0.154,86.9,10.09,3.0,3.531,-1.0,0.56,0.8,4902
2015-11-26 00:06:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.011,13.98,2.0,3.0,0.0,2.888,0.0,-0.034,-0.024,0.406,-0.0379999999999999,0.4259999999999999,0.0,4.294,0.115,0.39,0.017,0.2739999999999999,0.457,0.126,-0.2129999999999999,0.2929999999999999,-0.1969999999999999,-0.003,-0.002,-0.001,0.0,0.006,0.001,0.002,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.994,4.391,-7999.0,-0.134,83.09999999999998,7.417,3.0,3.531,-1.0,0.6579999999999999,0.9,4902
2015-11-26 00:07:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.0,0.921,275.0,0.01,13.97,2.0,3.0,0.0,2.87,0.0,-0.034,-0.024,0.406,-0.0379999999999999,0.4259999999999999,0.0,4.294,0.018,0.34,-0.0149999999999999,0.2089999999999999,0.3389999999999999,0.0969999999999999,-0.26,0.275,-0.195,-0.003,-0.002,-0.001,0.0,0.005,0.001,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.749,4.048,-7999.0,-0.261,91.5,8.89,3.0,3.531,-1.0,0.5,0.6999999999999998,4902
2015-11-26 00:08:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.3,0.921,275.0,0.01,13.97,2.0,3.0,0.0,2.865,0.0,-0.036,-0.024,0.406,-0.0379999999999999,0.4259999999999999,0.0,4.294,-0.13,0.275,-0.08,0.162,0.26,0.0,-0.2929999999999999,0.162,-0.259,-0.003,-0.004,-0.001,0.001,0.005,0.001,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.373,3.789,-7999.0,-0.432,114.9,16.66,3.0,3.531,-1.0,0.342,0.5999999999999999,4902
2015-11-26 00:09:00,-2147484000.0,74.7,59.9,60.0,35422.0,514.0,111529.0,1207728.0,0.0,1.0,0.0,0.0,0.0,0.979,274.0,0.748,273.3,0.921,275.0,0.01,13.97,2.0,3.0,0.0,2.846,0.0,-0.037,-0.024,0.407,-0.0379999999999999,0.4259999999999999,0.0,4.294,-0.231,0.1769999999999999,-0.068,0.0969999999999999,0.1639999999999999,-0.031,-0.278,0.032,-0.311,-0.003,-0.002,-0.001,0.0,0.005,0.002,0.001,19159.0,19487.0,19296.0,19243.0,19464.0,18975.0,16710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7999.0,0.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,-7999.0,0.0,0.0,0.0,4.03,3.57,-7999.0,-0.567,155.0,14.65,3.0,3.531,-1.0,0.495,0.5999999999999999,4902
