measured_on,ac_current_other_inv_14538,ac_current_other_inv_14538_2,ac_current_other_inv_14538_3,ac_energy_inv_14538,ac_other_meter_1864,ac_other_meter_1864_2,ac_other_meter_1864_3,ac_power_inv_14538,ac_power_meter_1864,ac_power_meter_1864_2,ac_power_meter_1864_3,ac_power_meter_1864_4,ac_power_meter_1864_5,ac_power_other_meter_1864,ac_power_other_meter_1864_2,ac_power_other_meter_1864_3,ac_power_other_meter_1864_4,ac_voltage_other_inv_14538,ac_voltage_other_inv_14538_2,ac_voltage_other_inv_14538_3,ac_voltage_other_meter_1864,ac_voltage_other_meter_1864_2,ac_voltage_other_meter_1864_3,ac_voltage_other_meter_1864_4,ac_voltage_other_meter_1864_5,ac_voltage_other_meter_1864_6,battery_a_avg__82673,battery_v_min__82672,chgsource_min__82676,chgstate_min__82675,ckbatt_max__82677,cr1000temp_c_avg__82591,dc_power_inv_14538,dc_voltage_other_inv_14538,dc_voltage_other_inv_14538_2,dooropen_min__82592,irradiance_ghi_o_2202,irradiance_poa_o_2203,irradiance_poa_o_2204,irradiance_poa_o_2206,load_a_avg__82674,qloss_ah_max__82678,rtd_c_avg_10__82688,rtd_c_avg_1__82679,rtd_c_avg_2__82680,rtd_c_avg_3__82681,rtd_c_avg_4__82682,rtd_c_avg_5__82683,rtd_c_avg_6__82684,rtd_c_avg_7__82685,rtd_c_avg_8__82686,rtd_c_avg_9__82687,shuntcurrent_a_avg_1__82644,shuntcurrent_a_avg_2__82645,shuntcurrent_a_avg_3__82646,shuntcurrent_a_avg_4__82647,shuntcurrent_a_avg_5__82648,shuntcurrent_a_avg_6__82649,shuntcurrent_a_avg_7__82650,shuntetot_kwh_max_1__82658,shuntetot_kwh_max_2__82659,shuntetot_kwh_max_3__82660,shuntetot_kwh_max_4__82661,shuntetot_kwh_max_5__82662,shuntetot_kwh_max_6__82663,shuntetot_kwh_max_7__82664,shuntpdc_kw_avg_1__82651,shuntpdc_kw_avg_2__82652,shuntpdc_kw_avg_3__82653,shuntpdc_kw_avg_4__82654,shuntpdc_kw_avg_5__82655,shuntpdc_kw_avg_6__82656,shuntpdc_kw_avg_7__82657,system_other_inv_14538,system_other_inv_14538_10,system_other_inv_14538_11,system_other_inv_14538_2,system_other_inv_14538_3,system_other_inv_14538_4,system_other_inv_14538_5,system_other_inv_14538_6,system_other_inv_14538_7,system_other_inv_14538_8,system_other_inv_14538_9,system_other_meter_1864,system_other_meter_1864_2,system_other_meter_1864_3,temperature_ambient_o_2205,temperature_ambient_o_2206,temperature_inverter_inv_14538,temperature_module_o_2206,wind_direction_o_2206,wind_other_o_2206,wind_other_o_2206_2,wind_other_o_2206_3,wind_other_o_2206_4,wind_speed_o_2206,wind_speed_o_2206_2,system_id
2016-09-28 00:00:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,277.8,275.5,273.0,0.979,276.0,0.748,275.0,0.921,276.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.05,0.0,6.015,21.8,0.0,0.0069999999999999,0.0,0.515,-0.0379999999999999,0.216,0.0,25.45,17.23,17.17,17.13,17.24,17.24,18.33,17.34,17.15,17.23,0.001,0.002,0.004,0.004,0.008,0.006,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458,0.0,60.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27,17.79,0.0,16.86,140.8,13.03,2.0,3.512,-1.0,0.527,0.6999999999999998,4902
2016-09-28 00:01:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,277.7,275.5,272.9,0.979,276.0,0.748,275.0,0.921,276.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.07,0.0,5.865,21.83,0.0,0.0069999999999999,0.0,0.514,-0.036,0.216,0.0,25.45,17.25,17.17,17.08,17.24,17.24,18.33,17.34,17.21,17.26,0.0,0.001,0.003,0.005,0.0069999999999999,0.005,0.005,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,60.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,17.8,0.0,16.86,154.0,38.25,2.0,3.512,-1.0,0.252,0.5999999999999999,4902
2016-09-28 00:02:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,277.7,275.5,273.0,0.979,276.0,0.748,275.0,0.921,276.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.1,0.0,5.827000000000001,21.8,0.0,0.0069999999999999,0.0,0.511,-0.0379999999999999,0.216,0.0,25.45,17.25,17.17,17.12,17.26,17.24,18.33,17.34,17.21,17.26,0.001,0.002,0.003,0.005,0.009,0.005,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.188,0.0,60.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,17.79,0.0,16.88,131.5,14.69,2.0,3.512,-1.0,0.2829999999999999,0.4,4902
2016-09-28 00:03:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.5,276.0,273.4,0.979,276.8,0.748,275.8,0.921,276.8,0.0149999999999999,13.72,2.0,3.0,0.0,18.1,0.0,5.819,21.8,0.0,0.006,0.0,0.511,-0.0379999999999999,0.217,0.0,25.45,17.25,17.17,17.15,17.27,17.24,18.33,17.39,17.24,17.26,0.001,0.002,0.004,0.005,0.008,0.005,0.005,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.188,0.0,60.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,17.8,0.0,16.89,113.7,9.71,2.0,3.512,-1.0,0.3529999999999999,0.4,4902
2016-09-28 00:04:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.8,276.2,273.6,0.979,277.0,0.748,276.0,0.921,277.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.12,0.0,5.858,21.81,0.0,0.004,0.0,0.508,-0.037,0.217,0.0,25.45,17.25,17.17,17.16,17.32,17.24,18.33,17.44,17.24,17.26,0.001,0.001,0.003,0.006,0.009,0.005,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.319,0.0,60.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24,17.81,0.0,16.9,138.4,14.54,2.0,3.508,-1.0,0.23,0.2999999999999999,4902
2016-09-28 00:05:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.7,276.3,273.8,0.979,277.0,0.748,276.0,0.921,277.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.14,0.0,6.11,21.82,0.0,0.004,0.0,0.507,-0.0379999999999999,0.217,0.0,25.45,17.25,17.17,17.15,17.33,17.24,18.31,17.44,17.24,17.28,0.001,0.001,0.003,0.005,0.009,0.005,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462,0.0,60.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.28,17.81,0.0,16.9,165.0,7.703999999999998,2.0,3.513,-1.0,0.537,0.9,4902
2016-09-28 00:06:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.1,276.1,273.5,0.979,277.0,0.748,275.2,0.921,276.2,0.0149999999999999,13.72,2.0,3.0,0.0,18.15,0.0,6.263999999999999,21.81,0.0,0.006,0.0,0.511,-0.0379999999999999,0.217,0.0,25.45,17.3,17.24,17.15,17.34,17.24,18.29,17.44,17.24,17.33,0.001,0.003,0.004,0.005,0.009,0.005,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4830000000000005,0.0,60.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.28,17.83,0.0,16.91,138.8,48.45,2.0,3.513,-1.0,0.4199999999999999,0.8,4902
2016-09-28 00:07:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.1,275.9,273.3,0.979,277.0,0.748,275.0,0.921,276.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.16,0.0,6.056,21.79,0.0,0.0069999999999999,0.0,0.504,-0.0379999999999999,0.217,0.0,25.45,17.33,17.25,17.15,17.34,17.32,18.36,17.44,17.24,17.36,0.0,0.002,0.003,0.004,0.008,0.004,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31,17.85,0.0,16.94,108.2,60.95,2.0,3.512,-1.0,0.685,1.2,4902
2016-09-28 00:08:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.1,275.8,273.2,0.979,277.0,0.748,275.0,0.921,276.0,0.016,13.72,2.0,3.0,0.0,18.17,0.0,6.299,21.8,0.0,0.006,0.0,0.508,-0.0379999999999999,0.217,0.0,25.4,17.33,17.27,17.15,17.34,17.34,18.32,17.44,17.26,17.36,0.001,0.002,0.004,0.005,0.008,0.005,0.006,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564,0.0,60.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,17.9,0.0,16.94,120.1,32.02,2.0,3.512,-1.0,0.8399999999999999,1.1,4902
2016-09-28 00:09:00,0.0,0.0,0.0,1529915.0,74.7,53.6,60.0,0.0,44150.0,637.0,140599.0,1519913.0,0.0,1.0,0.0,0.0,0.0,278.1,275.7,273.2,0.979,277.0,0.748,275.0,0.921,276.0,0.0149999999999999,13.72,2.0,3.0,0.0,18.2,0.0,6.405,21.81,0.0,0.006,0.0,0.506,-0.0379999999999999,0.217,0.0,25.42,17.33,17.27,17.15,17.34,17.34,18.37,17.44,17.31,17.36,0.0,0.002,0.003,0.005,0.008,0.005,0.005,10506.0,10710.0,10612.0,10583.0,10736.0,10444.0,9144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728,0.0,60.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,17.92,0.0,16.96,130.9,23.26,2.0,3.512,-1.0,1.132,1.7,4902
