measured_on,ac_current_other_inv_14539,ac_current_other_inv_14539_2,ac_current_other_inv_14539_3,ac_current_other_inv_14539_4,ac_current_other_inv_14539_5,ac_current_other_inv_14539_6,ac_energy_inv_14539,ac_energy_inv_14539_2,ac_energy_inv_14539_3,ac_other_inv_14539,ac_other_meter_1865,ac_other_meter_1865_2,ac_other_meter_1865_3,ac_power_inv_14539,ac_power_meter_1865,ac_power_meter_1865_2,ac_power_meter_1865_3,ac_power_meter_1865_4,ac_power_meter_1865_5,ac_power_other_inv_14539,ac_power_other_inv_14539_2,ac_power_other_meter_1865,ac_power_other_meter_1865_2,ac_power_other_meter_1865_3,ac_power_other_meter_1865_4,ac_voltage_other_inv_14539,ac_voltage_other_inv_14539_2,ac_voltage_other_inv_14539_3,ac_voltage_other_inv_14539_4,ac_voltage_other_inv_14539_5,ac_voltage_other_meter_1865,ac_voltage_other_meter_1865_2,ac_voltage_other_meter_1865_3,ac_voltage_other_meter_1865_4,ac_voltage_other_meter_1865_5,ac_voltage_other_meter_1865_6,battery_a_avg__82785,battery_v_min__82784,chgsource_min__82788,chgstate_min__82787,ckbatt_max__82789,cr1000temp_c_avg__82689,dc_power_inv_14539,dc_voltage_other_inv_14539,dooropen_min__82690,irradiance_ghi_o_2206,irradiance_ghi_o_2207,irradiance_ghi_o_2209,irradiance_ghi_o_2210,irradiance_ghi_o_2211,irradiance_ghi_o_2212,irradiance_ghi_o_2213,irradiance_ghi_o_2215,irradiance_ghi_o_2216,irradiance_poa_o_2208,irradiance_poa_o_2214,load_a_avg__82786,qloss_ah_max__82790,rtd_c_avg_1__82791,rtd_c_avg_2__82792,rtd_c_avg_3__82793,rtd_c_avg_4__82794,rtd_c_avg_5__82795,rtd_c_avg_6__82796,rtd_c_avg_7__82797,shuntcurrent_a_avg_1__82765,shuntcurrent_a_avg_2__82766,shuntcurrent_a_avg_3__82767,shuntcurrent_a_avg_4__82768,shuntetot_kwh_max_1__82773,shuntetot_kwh_max_2__82774,shuntetot_kwh_max_3__82775,shuntetot_kwh_max_4__82776,shuntpdc_kw_avg_1__82769,shuntpdc_kw_avg_2__82770,shuntpdc_kw_avg_3__82771,shuntpdc_kw_avg_4__82772,system_other_inv_14539,system_other_inv_14539_10,system_other_inv_14539_11,system_other_inv_14539_12,system_other_inv_14539_13,system_other_inv_14539_14,system_other_inv_14539_2,system_other_inv_14539_3,system_other_inv_14539_4,system_other_inv_14539_5,system_other_inv_14539_6,system_other_inv_14539_7,system_other_inv_14539_8,system_other_inv_14539_9,system_other_meter_1865,system_other_meter_1865_2,system_other_meter_1865_3,system_other_o_2218,tctemps_c_avg_10__82807,tctemps_c_avg_11__82808,tctemps_c_avg_12__82809,tctemps_c_avg_1__82798,tctemps_c_avg_2__82799,tctemps_c_avg_3__82800,tctemps_c_avg_4__82801,tctemps_c_avg_5__82802,tctemps_c_avg_6__82803,tctemps_c_avg_7__82804,tctemps_c_avg_8__82805,tctemps_c_avg_9__82806,temperature_ambient_o_2217,temperature_ambient_o_2218,temperature_inverter_inv_14539,temperature_inverter_inv_14539_2,temperature_inverter_inv_14539_3,temperature_module_o_2218,temperature_other_inv_14539,wind_direction_o_2218,wind_other_o_2218,wind_other_o_2218_2,wind_other_o_2218_3,wind_other_o_2218_4,wind_speed_o_2218,wind_speed_o_2218_2,system_id
2014-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.107,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.017,0.1019999999999999,-0.925,0.031,0.0819999999999999,1.0,0.6129999999999999,274.0,276.0,277.0,277.0,0.818,276.0,0.7909999999999999,276.0,0.8359999999999999,275.0,0.002,13.84,2.0,3.0,0.0,12.05,0.0,-1.283,0.0,-0.0279999999999999,-0.024,-0.026,-0.0289999999999999,-0.017,-0.025,-0.031,-0.245,0.629,-0.024,-0.3049999999999999,0.275,0.0,7.461,7.997,7.671,8.07,7.574,7.574,7.673999999999999,0.001,-0.001,0.0,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.488,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.97,6000.0,-1.283,-0.108,2.0,0.0,0.2,0.2,-0.0379999999999999,7.925,7.567,7.135,7.837999999999998,8.449999999999998,8.32,7.338999999999999,7.1370000000000005,7.7189999999999985,7.855,7.074,7.394,10.93,12.39,29.0,29.83,37.0,7.562999999999999,0.0,38.99,24.28,2.0,3.517,-1.0,1.03,1.9,4903
2014-10-12 00:01:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.1,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.0279999999999999,0.1,-0.925,0.031,0.0819999999999999,1.0,0.622,274.0,276.0,277.0,277.0,0.818,276.0,0.7909999999999999,276.0,0.8359999999999999,275.0,0.001,13.82,1.0,3.0,0.0,12.03,0.0,-1.133,0.0,-0.027,-0.024,-0.025,-0.0289999999999999,-0.017,-0.023,-0.0279999999999999,-0.195,0.694,-0.024,-0.233,0.376,0.0,7.38,7.963999999999999,7.671,8.14,7.554999999999999,7.574,7.673999999999999,0.001,-0.001,0.0,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.55,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96,6000.0,-1.183,-0.103,2.0,0.0,0.2,0.2,-0.0379999999999999,7.925,7.5379999999999985,7.129,7.84,8.449999999999998,8.349999999999998,7.357,7.127000000000001,7.667999999999998,7.841,7.07,7.391,10.91,12.31,29.0,29.93,37.0,7.551,0.0,42.5,13.39,2.1830000000000003,3.517,-1.0,1.17,1.8,4903
2014-10-12 00:02:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.11,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.01,0.1,-0.925,0.031,0.0819999999999999,1.0,0.625,274.0,276.0,277.0,277.0,0.818,276.0,0.7909999999999999,276.0,0.8359999999999999,275.0,0.002,13.81,1.0,3.0,0.0,12.02,0.0,-1.317,0.0,-0.0279999999999999,-0.024,-0.025,-0.0289999999999999,-0.017,-0.024,-0.027,-0.26,0.643,-0.024,-0.3049999999999999,0.6169999999999999,0.0,7.335,7.8679999999999986,7.603,8.01,7.441,7.462999999999998,7.673999999999999,0.0,-0.001,0.0,0.0,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.582000000000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.97,6000.0,-1.367,-0.105,2.0,0.0,0.2,0.2,-0.0379999999999999,7.96,7.519999999999999,7.12,7.82,8.48,8.38,7.34,7.081,7.637,7.822999999999999,7.033,7.385,10.86,12.15,29.0,29.57,37.0,7.497999999999998,0.0,57.0,12.38,2.817,3.515,-1.0,1.053,1.5,4903
2014-10-12 00:03:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.1019999999999999,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.023,0.1019999999999999,-0.925,0.031,0.0819999999999999,1.0,0.5929999999999999,274.6,276.5,277.7,277.8,0.818,276.0,0.7909999999999999,276.7,0.8359999999999999,275.0,0.002,13.81,2.0,3.0,0.0,12.02,0.0,-1.35,0.0,-0.031,-0.024,-0.026,-0.0289999999999999,-0.017,-0.024,-0.027,-0.2389999999999999,0.65,-0.024,-0.3049999999999999,0.276,0.0,7.267,7.771,7.619,7.968,7.376,7.394999999999999,7.641,0.0,-0.001,0.0,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.695,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.97,6000.0,-1.25,-0.105,2.0,0.0,0.2,0.2,-0.0379999999999999,7.92,7.535,7.122999999999999,7.817,8.48,8.38,7.34,7.042999999999999,7.582999999999998,7.777999999999999,7.005,7.386,10.8,11.87,29.0,29.47,37.0,7.387,0.0,54.23,13.43,2.0,3.517,-1.0,1.005,1.6,4903
2014-10-12 00:04:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.108,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.02,0.1119999999999999,-0.924,0.031,0.0819999999999999,1.0,0.55,275.0,277.0,278.2,278.6,0.818,276.9,0.7909999999999999,277.0,0.8359999999999999,275.9,0.002,13.81,2.0,3.0,0.0,12.0,0.0,-1.367,0.0,-0.031,-0.024,-0.025,-0.0279999999999999,-0.017,-0.024,-0.027,-0.265,0.662,-0.024,-0.3049999999999999,0.276,0.0,7.155,7.673999999999999,7.444,7.812999999999999,7.315,7.217,7.576,0.0,-0.001,0.0,0.0,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.851,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.98,6000.0,-1.367,-0.1119999999999999,2.0,0.0,0.2,0.2,-0.0379999999999999,7.951,7.529,7.1160000000000005,7.837,8.599999999999998,8.449999999999998,7.361,7.0120000000000005,7.567,7.752,6.978,7.371,10.77,11.88,29.0,29.17,37.0,7.297999999999998,0.0,54.08,19.34,2.0,3.515,-1.0,0.937,1.6,4903
2014-10-12 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.113,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.017,0.11,-0.924,0.031,0.0819999999999999,1.0,0.535,276.3,278.2,279.2,279.4,0.818,277.8,0.7909999999999999,278.0,0.8359999999999999,276.8,0.002,13.81,2.0,3.0,0.0,12.0,0.0,-1.233,0.0,-0.033,-0.024,-0.025,-0.0279999999999999,-0.017,-0.024,-0.026,-0.273,0.6409999999999999,-0.024,-0.3049999999999999,0.276,0.0,7.09,7.622999999999998,7.397,7.787,7.232,7.185,7.512,0.001,-0.001,0.0,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.993,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.97,6000.0,-1.267,-0.11,2.0,0.0,0.2,0.2,-0.0379999999999999,7.918999999999999,7.53,7.093,7.872,8.62,8.519999999999998,7.407,6.996,7.58,7.737,6.976,7.356,10.74,12.04,29.0,29.05,37.0,7.28,0.0,53.9,17.42,2.0,3.517,-1.0,0.973,1.4,4903
2014-10-12 00:06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.11,6135.0,889.0,901.0,197280.0,-0.0759999999999999,-0.017,0.1,-0.926,0.031,0.0819999999999999,1.0,0.565,274.9,276.8,278.1,278.4,0.818,276.8,0.7909999999999999,276.8,0.8359999999999999,275.5,0.002,13.81,2.0,3.0,0.0,11.98,0.0,-1.467,0.0,-0.033,-0.024,-0.025,-0.0289999999999999,-0.017,-0.025,-0.025,-0.267,0.631,-0.024,-0.3049999999999999,0.276,0.0,7.09,7.559,7.378999999999999,7.752999999999998,7.185,7.086,7.479,0.001,-0.001,0.001,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.997999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96,6000.0,-1.383,-0.103,2.0,0.0,0.2,0.2,-0.0379999999999999,7.901,7.5,7.082999999999999,7.882,8.59,8.5,7.421,6.993,7.548999999999999,7.731,6.975,7.3439999999999985,10.71,11.9,29.0,29.03,37.0,7.255,0.0,67.9,16.36,2.0,3.517,-1.0,0.8399999999999999,1.3,4903
2014-10-12 00:07:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.105,6135.0,889.0,901.0,197280.0,-0.0749999999999999,-0.025,0.0969999999999999,-0.926,0.031,0.081,1.0,0.632,274.0,276.0,277.0,277.0,0.818,276.0,0.7909999999999999,276.0,0.8359999999999999,274.7,-0.001,13.54,2.0,1.0,0.0,11.98,0.0,-1.433,0.0,-0.034,-0.024,-0.024,-0.0289999999999999,-0.017,-0.025,-0.025,-0.0299999999999999,0.698,-0.024,-0.161,0.276,0.001,7.007999999999999,7.479,7.315,7.651,7.185,6.99,7.512,0.0,0.0,0.0,0.0,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0920000000000005,7.232999999999999,0.0,0.0,0.0,0.0,0.0,0.0,59.96,6000.0,-1.3,-0.1019999999999999,2.0,0.0,0.2,0.2,-0.0379999999999999,7.812,7.481,7.051,7.857999999999999,8.55,8.449999999999998,7.394999999999999,6.997000000000001,7.621,7.732999999999999,6.962999999999999,7.317,10.66,11.91,29.0,29.0,37.0,7.164,0.0,4.284,79.09,2.0,3.515,-1.0,0.2,0.4,4903
2014-10-12 00:08:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.1019999999999999,6135.0,889.0,901.0,197280.0,-0.0749999999999999,-0.027,0.098,-0.927,0.031,0.081,1.0,0.6129999999999999,274.0,276.0,277.0,277.0,0.818,275.9,0.7909999999999999,275.9,0.8359999999999999,274.6,0.006,13.84,2.0,3.0,0.0,11.96,0.0,-1.233,0.0,-0.034,-0.024,-0.023,-0.031,-0.017,-0.025,-0.026,-0.267,0.622,-0.024,-0.3049999999999999,0.275,0.0,6.993,7.447,7.235,7.527,7.17,6.957999999999999,7.576,0.0,-0.001,0.001,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.953,7.1,0.0,0.0,0.0,0.0,0.0,0.0,59.96,6000.0,-1.3,-0.103,2.0,0.0,0.2,0.2,-0.0379999999999999,7.76,7.494,7.034,7.768,8.32,8.3,7.301,7.002999999999999,7.612999999999999,7.806,6.97,7.286,10.61,11.75,29.0,29.0,37.0,7.118,0.0,278.1,43.35,2.0,3.517,-1.0,0.515,0.8,4903
2014-10-12 00:09:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191572.0,64.0,0.0,75.59999999999998,59.9,60.0,-0.1019999999999999,6135.0,889.0,901.0,197280.0,-0.0749999999999999,-0.027,0.0969999999999999,-0.926,0.031,0.081,1.0,0.6079999999999999,274.0,276.0,277.0,277.0,0.818,275.9,0.7909999999999999,275.9,0.8359999999999999,274.1,0.002,13.84,2.0,3.0,0.0,11.93,0.0,-1.433,0.0,-0.034,-0.024,-0.022,-0.032,-0.017,-0.025,-0.027,-0.258,0.6119999999999999,-0.024,-0.3049999999999999,0.275,0.0,6.961,7.382,7.252999999999998,7.575,7.138,6.97,7.543999999999999,0.001,-0.001,0.0,-0.001,43.0,43.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,6.419,6.617000000000001,0.0,0.0,0.0,0.0,0.0,0.0,59.96,6000.0,-1.4169999999999998,-0.107,2.0,0.0,0.2,0.2,-0.0379999999999999,7.686,7.507999999999998,7.04,7.715,8.34,8.25,7.25,7.0,7.602,7.862999999999999,6.971,7.26,10.63,11.48,29.0,29.0,37.0,7.029,0.0,338.2,66.86,2.0,3.517,-1.0,0.342,0.6999999999999998,4903
