measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,module_temp_1__321,poa_irradiance__313,system_id
2007-09-02 00:00:00,4.943,-0.095,118.598,20.869,22.737,0.008,1.473,0.012,20.741,15.0,4
2007-09-02 00:15:00,4.944,-0.095,118.658,20.989,22.649,0.008,1.392,0.0109999999999999,21.041,13.0,4
2007-09-02 00:30:00,4.943,-0.095,118.654,21.188,22.625,0.008,1.41,0.0109999999999999,21.233,15.0,4
2007-09-02 00:45:00,4.95,-0.095,118.781,21.41,22.664,0.008,1.407,0.0109999999999999,21.11,15.0,4
2007-09-02 01:00:00,4.952,-0.095,118.842,20.727,22.693,0.008,1.38,0.0109999999999999,20.916,14.0,4
2007-09-02 01:15:00,4.952,-0.095,118.848,20.81,22.503,0.007,1.386,0.01,20.727,15.0,4
2007-09-02 01:30:00,4.954,-0.095,118.87,20.939,22.39,0.008,1.418,0.0109999999999999,20.879,15.0,4
2007-09-02 01:45:00,4.957,-0.095,118.969,21.344,22.335,0.008,1.49,0.0109999999999999,21.187,16.0,4
2007-09-02 02:00:00,4.963,-0.095,119.066,20.762,22.481,0.008,1.525,0.012,20.915,15.0,4
2007-09-02 02:15:00,4.961,-0.095,119.085,19.933,22.327,0.007,1.541,0.012,20.709,14.0,4
2007-09-02 02:30:00,4.968,-0.095,119.207,19.998,22.098,0.007,1.553,0.012,20.575,13.0,4
2007-09-02 02:45:00,4.969,-0.095,119.21,20.989,22.025,0.008,1.479,0.0109999999999999,20.895,15.0,4
2007-09-02 03:00:00,4.955,-0.095,118.916,21.487,22.269,0.008,1.446,0.0109999999999999,21.094,16.0,4
2007-09-02 03:15:00,4.955,-0.095,118.89,21.417,22.49,0.008,1.506,0.012,21.122,14.0,4
2007-09-02 03:30:00,4.954,-0.095,118.87,21.242,22.513,0.008,1.398,0.0109999999999999,21.157,13.0,4
2007-09-02 03:45:00,4.955,-0.095,118.898,21.392,22.523,0.008,1.425,0.0109999999999999,21.272,14.0,4
2007-09-02 04:00:00,4.955,-0.095,118.896,21.527,22.633,0.008,1.421,0.0109999999999999,21.337,15.0,4
2007-09-02 04:15:00,4.953,-0.095,118.884,21.386,22.61,0.008,1.431,0.0109999999999999,21.293,14.0,4
2007-09-02 04:30:00,4.948,-0.095,118.741,21.511,22.581,0.008,1.487,0.0109999999999999,21.282,14.0,4
2007-09-02 04:45:00,4.949,-0.095,118.771,21.401,22.522,0.008,1.551,0.012,21.082,13.0,4
2007-09-02 05:00:00,4.945,-0.095,118.722,21.372,22.443,0.008,2.768,0.021,20.935,13.0,4
2007-09-02 05:15:00,4.944,-0.095,118.668,20.217,22.286,0.0089999999999999,7.965,0.0729999999999999,19.82,12.0,4
2007-09-02 05:30:00,4.976,-0.0879999999999999,119.065,18.607,21.663,0.019,31.104,0.675,18.899,13.0,4
2007-09-02 05:45:00,5.286,-2.094,119.243,18.984,21.069,0.049,155.793,7.578999999999998,18.507,24.0,4
2007-09-02 06:00:00,5.177,2.458,119.047,19.951,21.031,0.0909999999999999,154.779,14.083,18.635,42.0,4
2007-09-02 06:15:00,5.191,13.779,118.941,20.065,21.435,0.132,207.06,27.522,19.154,74.0,4
2007-09-02 06:30:00,5.051,38.89,118.68,20.89,21.807,0.2419999999999999,225.458,54.659,20.207,121.0,4
2007-09-02 06:45:00,4.868,83.565,118.722,21.008,22.29,0.4079999999999999,250.08,102.678,21.899,184.0,4
2007-09-02 07:00:00,4.838,123.34,118.932,21.592,23.04,0.554,260.186,144.171,23.919,226.0,4
2007-09-02 07:15:00,4.861,197.586,119.689,21.954,23.943,0.8329999999999999,266.074,222.33,26.15,300.0,4
2007-09-02 07:30:00,4.919,264.956,119.855,23.329,24.95,1.076,272.655,293.405,28.69,370.0,4
2007-09-02 07:45:00,5.031,327.075,120.068,25.099,26.218,1.318,271.526,357.997,31.896,434.0,4
2007-09-02 08:00:00,5.229,385.117,121.057,25.975,27.634,1.569,267.228,419.118,34.982,496.0,4
2007-09-02 08:15:00,5.445,443.897,121.006,27.263,29.038,1.813,265.484,481.26,38.53,562.0,4
2007-09-02 08:30:00,5.661,494.968,121.011,27.652,30.522,2.02,265.211,535.596,40.065,618.0,4
2007-09-02 08:45:00,5.911,547.171,120.74,26.885,31.736,2.233,264.918,591.576,39.516,677.0,4
2007-09-02 09:00:00,6.386,635.227,120.91,26.776,32.612,2.598,264.644,687.071,42.316,779.0,4
2007-09-02 09:15:00,6.306,619.022,120.804,27.195,33.589,2.595,257.695,668.688,44.475,800.0,4
2007-09-02 09:30:00,6.658,678.016,121.333,27.47,34.112,2.824,259.529,732.547,45.096,813.0,4
2007-09-02 09:45:00,6.912,722.779,121.376,27.868,34.231,2.964,263.625,781.356,46.86,892.0,4
2007-09-02 10:00:00,7.068,749.524,121.599,28.335,34.373,3.1,261.817,811.5109999999999,48.352,929.0,4
2007-09-02 10:15:00,7.240999999999999,780.852,122.312,28.643,34.626,3.231,261.399,844.3569999999999,50.032,973.0,4
2007-09-02 10:30:00,6.457,629.976,121.325,28.738,34.776,2.598,263.107,682.926,48.085,820.0,4
2007-09-02 10:45:00,6.388,630.023,121.112,28.334,34.801,2.566,265.821,682.417,45.563,725.0,4
2007-09-02 11:00:00,7.917,887.965,122.528,29.817,35.129,3.762,255.477,961.079,52.843,1113.0,4
2007-09-02 11:15:00,8.042,905.263,122.379,29.102,36.068,3.812,257.238,980.267,54.243,1140.0,4
2007-09-02 11:30:00,7.424,809.418,122.146,29.053,36.935,3.389,258.029,874.721,52.331,1022.0,4
2007-09-02 11:45:00,6.556,659.041,121.105,29.231,37.31,2.783,255.789,712.921,50.34,856.0,4
2007-09-02 12:00:00,6.226,569.754,120.384,29.606,37.27,2.412,257.273,617.559,48.083,642.0,4
2007-09-02 12:15:00,7.854,877.783,122.319,29.935,37.243,3.711,256.144,950.325,53.479,1109.0,4
2007-09-02 12:30:00,7.548,831.259,122.754,30.307,37.677,3.518,255.824,899.5839999999998,55.527,1039.0,4
2007-09-02 12:45:00,7.706,855.509,122.706,30.115,37.842,3.589,258.014,926.0100000000001,54.465,1055.0,4
2007-09-02 13:00:00,7.897,885.2999999999998,122.63,30.137,37.901,3.732,257.058,959.1350000000001,54.107,1097.0,4
2007-09-02 13:15:00,7.892,883.462,122.386,30.568,37.932,3.733,256.197,956.447,55.768,1103.0,4
2007-09-02 13:30:00,7.574,834.8859999999999,122.495,30.801,38.305,3.51,257.432,903.484,55.214,1035.0,4
2007-09-02 13:45:00,7.442,814.3139999999999,122.31,31.115,38.774,3.435,256.386,880.491,56.45,1007.0,4
2007-09-02 14:00:00,7.198,774.0779999999999,121.915,31.106,38.996,3.229,259.243,837.0689999999998,54.959,946.0,4
2007-09-02 14:15:00,6.97,735.788,121.525,31.556,39.086,3.079,258.635,796.138,54.833,896.0,4
2007-09-02 14:30:00,6.874,718.416,121.397,30.843,39.258,2.948,264.012,778.361,51.921,864.0,4
2007-09-02 14:45:00,6.696,687.821,121.132,31.442,39.488,2.869,259.456,744.354,54.797,830.0,4
2007-09-02 15:00:00,6.426,643.258,121.223,31.242,40.064,2.673,260.568,696.355,52.935,773.0,4
2007-09-02 15:15:00,6.188,601.95,121.227,31.644,40.084,2.492,261.257,651.004,52.329,720.0,4
2007-09-02 15:30:00,6.006,565.204,120.918,31.608,40.325,2.315,264.449,612.106,50.495,675.0,4
2007-09-02 15:45:00,5.768,515.575,120.883,31.823,40.627,2.127,262.872,558.975,51.904,621.0,4
2007-09-02 16:00:00,5.387,394.788,120.145,31.316,40.988,1.674,256.137,430.354,49.578,483.0,4
2007-09-02 16:15:00,5.493,455.051,120.878,31.741,41.248,1.863,265.197,493.956,51.091,548.0,4
2007-09-02 16:30:00,5.126,272.289,119.963,31.29,42.137,1.159,260.074,301.317,48.742,380.0,4
2007-09-02 16:45:00,5.148,15.979,117.753,26.151,38.729,0.12,243.602,29.834,37.606,45.0,4
2007-09-02 17:00:00,5.185,8.638,118.2,23.237,31.315,0.0909999999999999,242.144,22.173,33.236,31.0,4
2007-09-02 17:15:00,5.214,10.472,118.797,22.538,27.23,0.104,229.798,23.911,28.252,33.0,4
2007-09-02 17:30:00,5.108,25.62,118.936,20.479,24.161,0.188,211.972,39.774,25.949,57.0,4
2007-09-02 17:45:00,5.128,28.554,119.199,20.708,22.966,0.191,230.72,43.629,24.195,62.0,4
2007-09-02 18:00:00,5.166,24.782,118.726,20.281,22.695,0.169,232.72,39.361,22.957,58.0,4
2007-09-02 18:15:00,5.172,19.114,118.402,20.677,22.689,0.14,239.316,33.555,21.955,49.0,4
2007-09-02 18:30:00,5.191,12.329,118.714,19.664,22.432,0.113,226.695,25.94,21.008,40.0,4
2007-09-02 18:45:00,4.959,-0.392,118.489,19.319,21.711,0.0129999999999999,34.634,0.877,20.414,18.0,4
2007-09-02 19:00:00,4.93,-0.124,118.46,19.638,21.291,0.008,6.241,0.05,20.031,16.0,4
2007-09-02 19:15:00,4.936,-0.106,118.573,19.321,21.15,0.008,2.698,0.021,19.857,16.0,4
2007-09-02 19:30:00,4.936,-0.095,118.596,19.402,21.0,0.008,2.28,0.017,19.789,15.0,4
2007-09-02 19:45:00,4.936,-0.095,118.58,19.562,20.935,0.008,1.903,0.0149999999999999,19.725,15.0,4
2007-09-02 20:00:00,4.942,-0.095,118.793,19.614,20.881,0.008,1.653,0.0129999999999999,19.624,14.0,4
2007-09-02 20:15:00,4.926,-0.096,118.324,20.068,20.922,0.008,1.569,0.012,19.561,14.0,4
2007-09-02 20:30:00,4.937,-0.095,118.543,19.596,21.052,0.008,1.44,0.012,19.121,14.0,4
2007-09-02 20:45:00,4.94,-0.095,118.653,18.262,20.783,0.007,1.3,0.01,18.728,13.0,4
2007-09-02 21:00:00,4.953,-0.095,118.924,18.177,20.315,0.007,1.227,0.0089999999999999,18.266,13.0,4
2007-09-02 21:15:00,4.958,-0.095,119.112,17.784,19.928,0.008,1.233,0.01,18.014,14.0,4
2007-09-02 21:30:00,4.935,-0.115,118.54,17.64,19.58,0.008,1.267,0.01,17.47,14.0,4
2007-09-02 21:45:00,4.924,-0.1029999999999999,118.239,18.016,19.347,0.007,1.211,0.0089999999999999,17.388,14.0,4
2007-09-02 22:00:00,4.924,-0.1,117.96,18.262,19.321,0.008,1.176,0.0089999999999999,17.545,14.0,4
