measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,module_temp_1__321,module_temp_f__18,poa_irradiance__313,wind_speed_mph__19,system_id
2007-09-09 00:00:00,4.975,-0.099,119.554,13.26,,16.392,0.007,2.274,0.016,,16.088,,,,4
2007-09-09 00:15:00,4.967,-0.105,119.434,12.869,,16.166,0.007,2.202,0.016,,15.9,,,,4
2007-09-09 00:30:00,4.976,-0.111,119.601,12.655,,15.86,0.007,2.145,0.0149999999999999,,15.698,,16.0,,4
2007-09-09 00:45:00,4.975,-0.116,119.559,12.386,,15.618,0.007,2.061,0.014,,15.41,,16.0,,4
2007-09-09 01:00:00,4.971,-0.113,119.49,12.064,,15.359,0.007,1.974,0.014,,15.162,,15.0,,4
2007-09-09 01:15:00,4.967,-0.117,119.375,11.719,,15.077,0.007,2.132,0.0149999999999999,,14.949,,15.0,,4
2007-09-09 01:30:00,4.97,-0.112,119.489,11.552,,14.837,0.007,2.046,0.014,,14.681,,15.0,,4
2007-09-09 01:45:00,4.973,-0.113,119.541,11.328,,14.62,0.007,1.65,0.012,,13.984,,15.0,,4
2007-09-09 02:00:00,4.977,-0.12,119.653,11.059,,14.232,0.007,1.426,0.01,,13.268,,14.0,,4
2007-09-09 02:15:00,4.975,-0.131,119.609,10.892,,13.875,0.007,1.426,0.01,,12.978,,14.0,,4
2007-09-09 02:30:00,4.981,-0.11,119.729,10.876,,13.705,0.007,1.666,0.0109999999999999,,13.225,,14.0,,4
2007-09-09 02:45:00,4.979,-0.1179999999999999,119.631,10.704,,13.606,0.007,1.606,0.0109999999999999,,12.837,,15.0,,4
2007-09-09 03:00:00,4.985,-0.114,119.73,10.669,,13.496,0.007,1.698,0.012,,12.976,,16.0,,4
2007-09-09 03:15:00,4.98,-0.125,119.65,10.681,,13.558,0.007,1.911,0.014,,13.17,,15.0,,4
2007-09-09 03:30:00,4.982,-0.115,119.674,10.544,,13.607,0.007,1.834,0.012,,13.22,,15.0,,4
2007-09-09 03:45:00,4.981,-0.11,119.719,10.137,,13.457,0.007,1.919,0.0129999999999999,,13.164,,15.0,,4
2007-09-09 04:00:00,4.976,-0.116,119.62,9.961,,13.29,0.006,2.035,0.0129999999999999,,13.095,,15.0,,4
2007-09-09 04:15:00,4.973,-0.11,119.598,9.708,,13.012,0.007,1.998,0.0129999999999999,,12.929,,16.0,,4
2007-09-09 04:30:00,4.974,-0.104,119.611,9.645,,12.807,0.007,1.805,0.012,,12.55,,15.0,,4
2007-09-09 04:45:00,4.975,-0.109,119.612,9.426,,12.646,0.007,2.047,0.014,,12.54,,15.0,,4
2007-09-09 05:00:00,4.972,-0.095,119.559,9.199,,12.442,0.007,2.317,0.016,,12.417,,15.0,,4
2007-09-09 05:15:00,4.968,-0.095,119.498,8.955,,12.217,0.007,3.457,0.024,,12.244,,16.0,,4
2007-09-09 05:30:00,4.98,-0.095,119.821,8.771,,11.941,0.008,8.761,0.069,,12.041,,16.0,,4
2007-09-09 05:45:00,4.96,-0.096,119.405,8.481999999999998,,11.752,0.0129999999999999,18.82,0.278,,11.846,,17.0,,4
2007-09-09 06:00:00,5.076,-0.888,119.666,8.261,,11.57,0.0299999999999999,118.95,3.65,,11.745,,22.0,,4
