measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,module_temp_1__321,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,system_id
2008-06-04 00:00:00,5.041,-0.095,121.346,13.6,,,,,,,,,,,,,,,16.574,0.008,2.443,0.019,,,,16.13,,,,,,,4
2008-06-04 00:15:00,5.046,-0.095,121.481,13.633,-0.005049096,-0.0296213599999999,-0.0003366064,0.002692851,-0.0289481499999999,0.0141374699999999,0.1740255,0.0525105999999999,-0.0020196379999999,0.02053299,-0.115456,-0.05015435,-0.04611508,0.0,16.553,0.007,2.433,0.0179999999999999,18.10972,17.83298,14.67735,16.189,0.0861712399999999,0.02457227,-0.0141374699999999,8.998137,9.023746,8.946918,4
2008-06-04 00:30:00,5.059,-0.095,121.714,13.465,,,,,,,,,,,,,,,16.524,0.007,2.435,0.0179999999999999,,,,16.144,,,,,,,4
2008-06-04 00:45:00,5.062,-0.095,121.764,13.301,,,,,,,,,,,,,,,16.424,0.008,2.486,0.019,,,,16.108,,,,,,,4
2008-06-04 01:00:00,5.058,-0.095,121.694,13.162,,,,,,,,,,,,,,,16.274,0.007,2.521,0.0179999999999999,,,,16.054,,,,,,,4
2008-06-04 01:15:00,5.049,-0.095,121.476,13.028,,,,,,,,,,,,,,,16.05,0.007,2.509,0.019,,,,15.891,,,,,,,4
2008-06-04 01:30:00,5.048,-0.095,121.416,12.955,,,,,,,,,,,,,,,15.909,0.007,2.492,0.0179999999999999,,,,15.684,,,,,,,4
2008-06-04 01:45:00,5.045,-0.095,121.332,12.777,,,,,,,,,,,,,,,15.849,0.007,2.438,0.0179999999999999,,,,15.477,,,,,,,4
2008-06-04 02:00:00,5.045,-0.095,121.298,12.82,,,,,,,,,,,,,,,15.847,0.007,2.395,0.0179999999999999,,,,15.51,,,,,,,4
2008-06-04 02:15:00,5.044,-0.095,121.29,12.907,,,,,,,,,,,,,,,15.788,0.007,2.169,0.016,,,,15.393,,,,,,,4
2008-06-04 02:30:00,5.044,-0.095,121.274,12.874,,,,,,,,,,,,,,,15.736,0.007,1.935,0.014,,,,15.103,,,,,,,4
2008-06-04 02:45:00,5.044,-0.095,121.299,12.541,,,,,,,,,,,,,,,15.598,0.007,1.638,0.012,,,,14.464,,,,,,,4
2008-06-04 03:00:00,5.053,-0.095,121.492,11.984,,,,,,,,,,,,,,,15.143,0.007,1.429,0.01,,,,13.501,,,,,,,4
2008-06-04 03:15:00,5.052,-0.095,121.466,11.491,,,,,,,,,,,,,,,14.452,0.007,1.325,0.0089999999999999,,,,12.824,,,,,,,4
