measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,module_temp_1__321,poa_irradiance__313,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2009-04-19 00:00:00,5.025,-0.095,121.32,2.877,,,,,3.137,0.005,1.968,0.01,,,,,1.771,22.579,,,,4
2009-04-19 00:15:00,5.025,-0.095,121.323,2.781,,,,,3.191,0.005,1.877,0.0089999999999999,,,,,1.65,21.728,,,,4
2009-04-19 00:30:00,5.023,-0.095,121.296,2.236,,,,,3.215,0.005,1.866,0.0089999999999999,,,,,1.162,20.813,,,,4
2009-04-19 00:45:00,5.023,-0.095,121.285,2.641,,,,,3.056,0.005,1.853,0.0089999999999999,,,,,1.312,21.005,,,,4
2009-04-19 01:00:00,5.024,-0.095,121.311,2.831,,,,,3.282,0.005,2.115,0.0109999999999999,,,,,2.258,22.684,,,,4
2009-04-19 01:15:00,5.025,-0.095,121.321,2.938,,,,,3.641,0.005,2.588,0.0129999999999999,,,,,2.99,23.205,,,,4
2009-04-19 01:30:00,5.021,-0.095,121.188,3.169,,,,,3.929,0.005,2.662,0.014,,,,,3.204,23.164,,,,4
2009-04-19 01:45:00,5.014,-0.095,121.054,3.069,,,,,4.082,0.005,2.537,0.014,,,,,3.276,23.338,,,,4
2009-04-19 02:00:00,5.009,-0.095,120.927,3.153,,,,,4.057,0.005,2.383,0.0129999999999999,,,,,3.152,22.916,,,,4
2009-04-19 02:15:00,5.01,-0.095,120.968,3.347,,,,,3.978,0.005,2.207,0.012,,,,,2.94,22.49,,,,4
2009-04-19 02:30:00,5.01,-0.095,120.939,2.851,,,,,3.931,0.005,2.062,0.0109999999999999,,,,,2.645,22.209,,,,4
2009-04-19 02:45:00,5.008,-0.095,120.921,2.772,,,,,3.711,0.005,2.1,0.0109999999999999,,,,,2.412,22.383,,,,4
2009-04-19 03:00:00,5.008,-0.095,120.936,2.914,,,,,3.576,0.005,1.978,0.01,,,,,2.225,21.908,,,,4
2009-04-19 03:15:00,5.006,-0.095,120.881,2.597,,,,,3.487,0.005,2.018,0.0109999999999999,,,,,2.163,22.197,,,,4
2009-04-19 03:30:00,5.005,-0.095,120.867,2.46,,,,,3.368,0.005,1.982,0.01,,,,,1.886,20.914,,,,4
2009-04-19 03:45:00,5.006,-0.095,120.85,2.119,,,,,3.116,0.005,1.964,0.01,,,,,1.64,19.33,,,,4
2009-04-19 04:00:00,5.002,-0.095,120.767,2.419,,,,,3.016,0.005,1.969,0.01,,,,,1.795,20.128,,,,4
2009-04-19 04:15:00,4.993,-0.095,120.603,2.032,,,,,2.96,0.005,2.053,0.0109999999999999,,,,,1.566,19.918,,,,4
2009-04-19 04:30:00,4.991,-0.095,120.554,2.02,,,,,2.794,0.005,2.029,0.01,,,,,1.281,20.52,,,,4
2009-04-19 04:45:00,4.991,-0.096,120.524,1.477,,,,,2.683,0.005,2.8,0.0149999999999999,,,,,0.75,20.57,,,,4
2009-04-19 05:00:00,4.987,-0.097,120.441,0.936,,,,,2.33,0.005,6.744,0.0379999999999999,,,,,0.374,20.866,,,,4
2009-04-19 05:15:00,4.999,-0.096,120.743,1.308,,,,,2.028,0.0129999999999999,21.9,0.326,,,,,0.653,23.546,,,,4
2009-04-19 05:30:00,5.057,-0.763,121.025,1.148,,,,,2.02,0.024,134.042,2.963,,,,,0.647,31.859,,,,4
2009-04-19 05:45:00,5.296,-1.918,121.145,0.796,,,,,2.219,0.0599999999999999,159.447,9.502,,,,,0.4309999999999999,45.32,,,,4
2009-04-19 06:00:00,5.178,5.078,121.2,1.48,,,,,2.795,0.113,158.811,17.882,,,,,0.8519999999999999,66.186,,,,4
2009-04-19 06:15:00,5.127,13.925,121.052,1.713,,,,,3.735,0.166,164.159,26.892,,,,,1.896,108.157,,,,4
2009-04-19 06:30:00,4.989,38.829,121.199,2.207,,,,,4.688,0.324,160.547,51.951,,,,,3.34,164.365,,,,4
2009-04-19 06:45:00,4.893,74.464,121.481,2.794,,,,,5.696,0.51,173.936,89.27299999999998,,,,,5.303,226.836,,,,4
2009-04-19 07:00:00,4.84,119.119,121.621,3.163,,,,,6.752,0.7189999999999999,189.572,136.132,,,,,7.676,285.985,,,,4
2009-04-19 07:15:00,4.868,185.512,122.011,3.86,,,,,7.871,0.948,218.072,206.933,,,,,10.378,361.196,,,,4
2009-04-19 07:30:00,4.934,241.799,122.378,4.729,,,,,9.095,1.189,223.781,265.921,,,,,13.5,432.747,,,,4
2009-04-19 07:45:00,5.034,296.652,122.689,5.046,,,,,10.253,1.469,220.361,323.4,,,,,16.336,504.993,,,,4
2009-04-19 08:00:00,5.164,349.414,123.522,5.358,,,,,11.094,1.743,217.293,378.724,,,,,19.07,575.298,,,,4
2009-04-19 08:15:00,5.288,400.51,123.613,5.239,,,,,11.892,1.996,216.769,432.565,,,,,20.83,644.484,,,,4
2009-04-19 08:30:00,5.598,481.569,123.764,5.793,,,,,12.703,2.238,232.017,519.783,,,,,23.69,709.722,,,,4
2009-04-19 08:45:00,6.119,599.251,124.266,6.311,,,,,13.723,2.474,261.318,646.886,,,,,26.5,773.65,,,,4
2009-04-19 09:00:00,6.448,661.223,124.498,7.143,,,,,14.839,2.681,266.112,713.511,,,,,29.642,833.0829999999999,,,,4
2009-04-19 09:15:00,6.635,695.278,124.536,9.155,,,,,16.41,2.864,262.129,750.611,,,,,33.024,886.36,,,,4
2009-04-19 09:30:00,6.832,729.481,124.55,9.852,,,,,17.969,3.038,259.353,787.759,,,,,35.265,936.644,,,,4
2009-04-19 09:45:00,7.026,763.065,124.615,10.122,,,,,19.226,3.203,257.036,823.2799999999999,,,,,37.466,983.166,,,,4
2009-04-19 10:00:00,7.218,794.75,124.746,10.243,,,,,20.079,3.355,255.802,858.07,,,,,39.495,1029.795,,,,4
2009-04-19 10:15:00,7.4,824.347,124.669,10.296,,,,,20.735,3.477,256.314,891.062,,,,,40.17,1071.13,,,,4
2009-04-19 10:30:00,7.543,846.341,124.742,10.887,,,,,21.404,3.61,253.522,915.177,,,,,42.09,1103.706,,,,4
2009-04-19 10:45:00,7.643,863.009,124.849,11.983,,,,,22.273,3.729,250.249,932.997,,,,,45.475,1132.099,,,,4
2009-04-19 11:00:00,7.748,879.214,124.796,12.088,,,,,23.344,3.811,249.571,951.03,,,,,47.001,1154.004,,,,4
2009-04-19 11:15:00,7.851,896.1069999999999,124.884,11.648,,,,,23.773,3.875,250.283,969.669,,,,,48.579,1173.298,,,,4
2009-04-19 11:30:00,7.872,900.644,124.996,12.166,,,,,24.387,3.894,250.268,974.386,,,,,49.276,1185.589,,,,4
2009-04-19 11:45:00,7.921999999999999,909.088,125.164,12.358,,,,,24.872,3.929,250.439,983.965,,,,,48.631,1195.041,,,,4
2009-04-19 12:00:00,7.976,917.6830000000001,125.296,11.856,26.18814,0.0240505399999999,13.04503,21.75184,24.966,3.962,250.711,993.211,24.10569,24.16572,22.32621,21.63511,49.853,1196.095,1.0,16.0274,0.0,4
2009-04-19 12:15:00,7.97,917.362,125.519,12.503,,,,,24.809,3.977,249.881,993.725,,,,,50.269,1193.706,,,,4
2009-04-19 12:30:00,7.942,912.416,125.429,12.579,,,,,24.65,3.949,250.234,988.027,,,,,50.077,1186.184,,,,4
2009-04-19 12:45:00,7.761,882.061,125.322,12.805,,,,,24.603,3.733,256.122,955.677,,,,,49.315,1150.746,,,,4
2009-04-19 13:00:00,7.631,861.738,125.273,13.276,,,,,24.652,3.703,252.178,933.538,,,,,48.832,1111.386,,,,4
2009-04-19 13:15:00,7.602,859.0109999999999,125.206,13.159,,,,,24.725,3.663,254.032,929.8130000000002,,,,,47.864,1105.973,,,,4
2009-04-19 13:30:00,7.562,853.282,125.198,14.297,,,,,25.098,3.642,253.439,922.978,,,,,49.299,1095.376,,,,4
2009-04-19 13:45:00,7.068,770.3289999999998,124.865,13.427,,,,,25.418,3.246,257.292,833.5209999999998,,,,,46.102,979.6880000000002,,,,4
2009-04-19 14:00:00,6.615,692.038,124.451,13.117,,,,,25.211,2.879,260.111,748.438,,,,,43.349,858.7079999999999,,,,4
2009-04-19 14:15:00,6.77,718.895,124.512,13.627,,,,,25.085,2.994,260.143,778.311,,,,,43.97,891.702,,,,4
