measured_on,ac_current__319,ac_current__379,ac_power__315,ac_power__375,ac_voltage__318,ac_voltage__378,ambient_temp__320,ambient_temp__380,das_battery_voltage__386,das_temp__325,das_temp__385,dc_pos_current__317,dc_pos_current__377,dc_pos_voltage__316,dc_pos_voltage__376,dc_power__314,dc_power__374,inverter_temp__384,module_temp_1__321,module_temp_1__381,module_temp_2__382,module_temp_3__383,poa_irradiance__373,power_factor__387,system_id
2010-03-03 00:00:00,4.651,,-5.566,,116.693,,2.981,,,6.571,,0.0089999999999999,,2.486,,0.0219999999999999,,,4.805,,,,,,4
2010-03-03 00:01:00,4.568,,-2.781,,119.321,,2.958,,,6.57,,-0.012,,2.51,,-0.0299999999999999,,,4.796,,,,,,4
2010-03-03 00:02:00,3.479,,-5.522,,104.111,,2.877,,,6.539,,0.003,,3.056,,0.014,,,4.759,,,,,,4
2010-03-03 00:03:00,4.587,,-5.726,,122.002,,2.831,,,6.545,,-0.023,,2.872,,-0.0719999999999999,,,4.764,,,,,,4
2010-03-03 00:04:00,3.853,,-1.019,,108.591,,2.779,,,6.546,,-0.003,,2.372,,-0.012,,,4.765,,,,,,4
2010-03-03 00:05:00,3.548,,-2.577,,96.688,,2.811,,,6.53,,0.006,,2.474,,0.014,,,4.834,,,,,,4
2010-03-03 00:06:00,3.284,,0.308,,93.958,,2.852,,,6.516,,0.005,,2.668,,0.012,,,4.873,,,,,,4
2010-03-03 00:07:00,4.653,,-0.777,,120.492,,2.903,,,6.509,,-0.004,,2.422,,-0.008,,,4.886,,,,,,4
2010-03-03 00:08:00,2.971,,0.313,,87.04,,2.933,,,6.503,,0.005,,2.374,,0.012,,,4.895,,,,,,4
2010-03-03 00:09:00,2.664,,-6.21,,89.649,,2.88,,,6.479,,-0.008,,2.662,,-0.0219999999999999,,,4.879,,,,,,4
2010-03-03 00:10:00,3.84,,-1.162,,109.591,,2.872,,,6.477,,-0.005,,2.768,,-0.02,,,4.878,,,,,,4
2010-03-03 00:11:00,2.705,,-2.648,,90.693,,2.858,,,6.451,,-0.019,,2.542,,-0.048,,,4.89,,,,,,4
2010-03-03 00:12:00,2.633,,-2.401,,89.209,,3.01,,,6.444,,-0.002,,3.064,,-0.006,,,4.944,,,,,,4
2010-03-03 00:13:00,4.245,,-1.812,,112.004,,3.323,,,6.419,,0.005,,2.926,,0.012,,,4.99,,,,,,4
2010-03-03 00:14:00,3.82,,-4.289,,108.155,,3.488,,,6.385,,0.003,,2.896,,0.016,,,4.995,,,,,,4
2010-03-03 00:15:00,3.941,,0.198,,97.916,,3.519,,,6.375,,0.007,,2.306,,0.016,,,4.971,,,,,,4
2010-03-03 00:16:00,4.661,,-0.887,,122.185,,3.575,,,6.363,,0.01,,2.492,,0.024,,,4.974,,,,,,4
2010-03-03 00:17:00,4.566,,-5.434,,122.071,,3.56,,,6.341,,-0.017,,2.516,,-0.048,,,4.984,,,,,,4
2010-03-03 00:18:00,3.18,,-0.138,,97.469,,3.456,,,6.332,,0.008,,2.59,,0.02,,,4.959,,,,,,4
2010-03-03 00:19:00,2.697,,-0.336,,90.34800000000001,,3.378,,,6.317,,0.0,,1.92,,-0.006,,,4.938,,,,,,4
2010-03-03 00:20:00,3.513,,-0.16,,101.422,,3.399,,,6.311,,-0.007,,2.752,,-0.014,,,4.918,,,,,,4
2010-03-03 00:21:00,4.037,,-3.32,,111.682,,3.425,,,6.298,,0.008,,3.124,,0.024,,,4.938,,,,,,4
