measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_3__255,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,system_id
2010-03-06 00:00:00,,5.014,,0.115,,122.67,,3.792,6.054,,0.008,,2.002,,0.016,,,3.344,,,,,,,,4
2010-03-06 00:01:00,,5.014,,0.104,,122.661,,3.83,6.041,,0.007,,2.01,,0.014,,,3.289,,,,,,,,4
2010-03-06 00:02:00,,5.024,,0.1759999999999999,,122.674,,3.939,6.047,,0.006,,1.806,,0.01,,,3.253,,,,,,,,4
2010-03-06 00:03:00,,5.021,,0.154,,122.686,,4.012,6.047,,0.008,,2.156,,0.0179999999999999,,,3.285,,,,,,,,4
2010-03-06 00:04:00,,5.015,,0.115,,122.625,,3.987,6.041,,0.007,,2.034,,0.014,,,3.372,,,,,,,,4
2010-03-06 00:05:00,,5.004,,0.0769999999999999,,122.385,,3.347,6.043,,0.006,,2.324,,0.014,,,3.702,,,,,,,,4
2010-03-06 00:06:00,,5.005,,0.11,,122.293,,3.485,6.051,,0.007,,1.848,,0.012,,,3.985,,,,,,,,4
2010-03-06 00:07:00,,5.003,,0.0879999999999999,,122.368,,3.788,6.04,,0.007,,1.99,,0.014,,,4.088,,,,,,,,4
2010-03-06 00:08:00,,5.006,,0.016,,122.289,,4.184,6.042,,0.0089999999999999,,1.938,,0.016,,,4.137,,,,,,,,4
2010-03-06 00:09:00,,5.001,,0.132,,122.291,,4.339,6.03,,0.005,,2.124,,0.01,,,4.183,,,,,,,,4
2010-03-06 00:10:00,,5.003,,0.0599999999999999,,122.295,,4.852,6.021,,0.006,,2.01,,0.012,,,4.196,,,,,,,,4
2010-03-06 00:11:00,,5.006,,0.099,,122.368,,5.264,6.006,,0.006,,2.186,,0.014,,,4.047,,,,,,,,4
2010-03-06 00:12:00,,5.01,,0.17,,122.403,,5.197,5.995,,0.007,,1.89,,0.014,,,3.84,,,,,,,,4
2010-03-06 00:13:00,,5.007,,0.0769999999999999,,122.425,,4.574,5.983,,0.007,,1.876,,0.012,,,3.695,,,,,,,,4
2010-03-06 00:14:00,,5.009,,0.066,,122.369,,3.964,5.973,,0.007,,2.13,,0.014,,,3.677,,,,,,,,4
2010-03-06 00:15:00,,5.014,,0.2859999999999999,,122.414,,3.593,5.97,,0.006,,1.666,,0.01,,,3.786,,,,,,,,4
2010-03-06 00:16:00,,5.01,,-0.006,,122.472,,3.375,5.962,,0.007,,1.944,,0.014,,,3.946,,,,,,,,4
2010-03-06 00:17:00,,5.008,,0.115,,122.432,,3.202,5.97,,0.0089999999999999,,1.948,,0.0179999999999999,,,4.048,,,,,,,,4
2010-03-06 00:18:00,,5.011,,0.203,,122.46,,3.1,5.962,,0.0089999999999999,,1.932,,0.016,,,4.132,,,,,,,,4
2010-03-06 00:19:00,,5.01,,0.082,,122.476,,3.057,5.968,,0.008,,1.872,,0.016,,,4.2,,,,,,,,4
