measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,module_temp_1__321,system_id
2010-03-10 00:00:00,5.02,0.154,122.506,2.663,5.563,0.006,2.608,0.014,5.482,4
2010-03-10 00:01:00,5.023,0.066,122.488,2.677,5.568,0.008,2.6,0.0219999999999999,5.49,4
2010-03-10 00:02:00,5.024,0.1479999999999999,122.527,2.675,5.578,0.007,2.884,0.02,5.52,4
2010-03-10 00:03:00,5.021,0.0879999999999999,122.533,2.666,5.577,0.0089999999999999,2.396,0.0219999999999999,5.544,4
2010-03-10 00:04:00,5.023,0.115,122.568,2.661,5.588,0.007,2.626,0.0179999999999999,5.56,4
2010-03-10 00:05:00,5.023,0.099,122.584,2.688,5.614,0.007,2.386,0.0179999999999999,5.579,4
2010-03-10 00:06:00,5.024,0.0379999999999999,122.497,2.68,5.619,0.006,2.794,0.016,5.582,4
2010-03-10 00:07:00,5.017,0.104,122.483,2.668,5.63,0.0089999999999999,2.594,0.0219999999999999,5.605,4
2010-03-10 00:08:00,5.01,0.055,122.444,2.666,5.635,0.006,2.606,0.016,5.62,4
2010-03-10 00:09:00,5.013,0.0109999999999999,122.415,2.681,5.65,0.005,2.654,0.014,5.634,4
2010-03-10 00:10:00,5.021,0.2909999999999999,122.448,2.692,5.657,0.006,2.498,0.014,5.641,4
2010-03-10 00:11:00,5.016,0.28,122.487,2.72,5.683,0.007,2.792,0.02,5.645,4
2010-03-10 00:12:00,5.01,0.104,122.394,2.764,5.696,0.008,2.632,0.02,5.65,4
2010-03-10 00:13:00,5.019,0.2089999999999999,122.475,2.807,5.709,0.006,2.506,0.014,5.636,4
2010-03-10 00:14:00,5.016,0.0929999999999999,122.432,2.805,5.719,0.007,2.566,0.0179999999999999,5.64,4
2010-03-10 00:15:00,5.022,0.0709999999999999,122.456,2.82,5.733,0.006,2.6,0.016,5.647,4
2010-03-10 00:16:00,5.021,0.121,122.52,2.832,5.743,0.008,2.582,0.02,5.647,4
2010-03-10 00:17:00,5.019,0.055,122.476,2.842,5.757,0.008,2.512,0.02,5.662,4
2010-03-10 00:18:00,5.02,0.016,122.561,2.843,5.777,0.007,2.476,0.0179999999999999,5.674,4
2010-03-10 00:19:00,5.023,0.154,122.563,2.826,5.782,0.005,2.326,0.012,5.666,4
2010-03-10 00:20:00,5.018,0.126,122.548,2.808,5.785,0.007,2.402,0.0179999999999999,5.668,4
2010-03-10 00:21:00,5.012,0.055,122.516,2.799,5.799,0.01,2.284,0.024,5.694,4
2010-03-10 00:22:00,5.02,0.264,122.554,2.818,5.825,0.007,2.602,0.0179999999999999,5.718,4
2010-03-10 00:23:00,5.029,0.198,122.563,2.843,5.839,0.006,2.332,0.014,5.725,4
2010-03-10 00:24:00,5.024,0.132,122.586,2.9,5.859,0.007,2.678,0.0179999999999999,5.728,4
2010-03-10 00:25:00,5.023,0.066,122.689,2.919,5.872,0.005,2.396,0.012,5.737,4
2010-03-10 00:26:00,5.029,0.22,122.596,2.929,5.873,0.007,2.662,0.0179999999999999,5.742,4
2010-03-10 00:27:00,5.02,0.154,122.565,2.95,5.887,0.006,2.548,0.016,5.772,4
2010-03-10 00:28:00,5.02,0.0709999999999999,122.562,2.975,5.901,0.005,2.684,0.014,5.761,4
2010-03-10 00:29:00,5.017,0.0929999999999999,122.596,2.988,5.908,0.006,2.536,0.016,5.766,4
2010-03-10 00:30:00,5.025,0.104,122.621,2.988,5.931,0.008,2.44,0.02,5.767,4
2010-03-10 00:31:00,5.028,0.1809999999999999,122.586,2.971,5.945,0.008,2.342,0.0179999999999999,5.786,4
2010-03-10 00:32:00,5.029,0.115,122.549,2.949,5.961,0.006,2.44,0.014,5.795,4
2010-03-10 00:33:00,5.027,0.159,122.579,2.942,5.97,0.007,2.684,0.0179999999999999,5.805,4
2010-03-10 00:34:00,5.023,0.1479999999999999,122.581,2.923,5.988,0.007,2.198,0.014,5.79,4
