measured_on,ac_current__319,ac_current__669,ac_power__315,ac_power__665,ac_voltage__318,ac_voltage__668,ambient_temp__320,ambient_temp__670,ambient_temp_f__17,das_temp__325,dc_pos_current__317,dc_pos_current__667,dc_pos_voltage__316,dc_pos_voltage__666,dc_power__314,dc_power__664,intsolirrad__16,inverter_temp__673,module_temp_1__321,module_temp_1__671,module_temp_2__672,module_temp_f__18,poa_irradiance__663,wind_speed_mph__19,system_id
2010-03-31 00:00:00,5.016,,0.121,,122.977,,17.331,,,18.019,0.0089999999999999,,2.708,,0.024,,,,16.329,,,,,,4
2010-03-31 00:01:00,5.024,,0.099,,122.932,,17.24,,,18.026,0.008,,2.702,,0.0219999999999999,,,,16.312,,,,,,4
2010-03-31 00:02:00,5.023,,-0.1769999999999999,,122.886,,17.087,,,18.067,0.007,,3.01,,0.0219999999999999,,,,16.272,,,,,,4
2010-03-31 00:03:00,5.016,,0.0109999999999999,,122.955,,17.088,,,18.091,0.008,,2.764,,0.0219999999999999,,,,16.323,,,,,,4
2010-03-31 00:04:00,5.02,,-0.0609999999999999,,122.989,,17.219,,,18.114,0.007,,2.866,,0.02,,,,16.336,,,,,,4
2010-03-31 00:05:00,5.018,,0.0929999999999999,,122.987,,17.257,,,18.114,0.006,,2.896,,0.0179999999999999,,,,16.343,,,,,,4
2010-03-31 00:06:00,5.02,,0.1809999999999999,,123.0,,17.425,,,18.155,0.0089999999999999,,2.74,,0.0259999999999999,,,,16.472,,,,,,4
2010-03-31 00:07:00,5.023,,-0.033,,122.962,,17.427,,,18.168,0.008,,2.638,,0.0219999999999999,,,,16.492,,,,,,4
2010-03-31 00:08:00,5.022,,-0.2039999999999999,,123.025,,17.443,,,18.189,0.008,,2.71,,0.0219999999999999,,,,16.433,,,,,,4
2010-03-31 00:09:00,5.02,,0.0599999999999999,,122.965,,17.335,,,18.222,0.008,,2.758,,0.024,,,,16.411,,,,,,4
2010-03-31 00:10:00,5.02,,0.027,,122.866,,17.256,,,18.222,0.0089999999999999,,2.894,,0.0259999999999999,,,,16.371,,,,,,4
2010-03-31 00:11:00,5.031,,0.385,,122.929,,17.127,,,18.238,0.007,,2.686,,0.02,,,,16.325,,,,,,4
2010-03-31 00:12:00,5.021,,0.319,,122.962,,17.058,,,18.262,0.007,,2.794,,0.0179999999999999,,,,16.343,,,,,,4
2010-03-31 00:13:00,5.017,,-0.254,,122.914,,17.103,,,18.284,0.008,,2.996,,0.024,,,,16.425,,,,,,4
2010-03-31 00:14:00,5.018,,0.11,,122.961,,16.97,,,18.301,0.008,,2.804,,0.0219999999999999,,,,16.344,,,,,,4
2010-03-31 00:15:00,5.018,,-0.226,,122.887,,16.967,,,18.319,0.008,,2.896,,0.0219999999999999,,,,16.335,,,,,,4
2010-03-31 00:16:00,5.016,,0.225,,122.911,,17.183,,,18.319,0.008,,2.732,,0.0219999999999999,,,,16.373,,,,,,4
2010-03-31 00:17:00,5.016,,0.121,,122.942,,17.099,,,18.316,0.008,,2.77,,0.0219999999999999,,,,16.327,,,,,,4
2010-03-31 00:18:00,5.022,,-0.0109999999999999,,122.921,,16.998,,,18.328,0.01,,2.762,,0.028,,,,16.313,,,,,,4
2010-03-31 00:19:00,5.02,,-0.2099999999999999,,122.969,,16.915,,,18.347,0.01,,2.668,,0.0259999999999999,,,,16.287,,,,,,4
