measured_on,ac_current__319,ac_current__669,ac_power__315,ac_power__665,ac_voltage__318,ac_voltage__668,ambient_temp__320,ambient_temp__670,das_temp__325,dc_pos_current__317,dc_pos_current__667,dc_pos_voltage__316,dc_pos_voltage__666,dc_power__314,dc_power__664,inverter_temp__673,module_temp_1__321,module_temp_1__671,module_temp_2__672,poa_irradiance__663,system_id
2010-04-27 00:00:00,5.018,,0.016,,122.291,,4.088,,251.12,0.008,,3.106,,0.0259999999999999,,,5.458,,,,4
2010-04-27 00:01:00,5.017,,0.055,,122.258,,4.045,,276.413,0.005,,2.938,,0.014,,,5.438,,,,4
2010-04-27 00:02:00,5.011,,0.049,,122.302,,3.992,,253.759,0.007,,3.232,,0.0219999999999999,,,5.492,,,,4
2010-04-27 00:03:00,5.01,,0.055,,122.258,,4.036,,255.694,0.007,,3.088,,0.0219999999999999,,,5.486,,,,4
2010-04-27 00:04:00,5.009,,0.0599999999999999,,122.273,,4.046,,253.806,0.006,,2.938,,0.0179999999999999,,,5.506,,,,4
2010-04-27 00:05:00,5.006,,0.0709999999999999,,122.221,,4.147,,241.499,0.005,,3.148,,0.016,,,5.557,,,,4
2010-04-27 00:06:00,5.008,,0.104,,122.273,,4.194,,247.29,0.007,,3.08,,0.0219999999999999,,,5.578,,,,4
2010-04-27 00:07:00,5.007,,-0.0219999999999999,,122.316,,4.161,,246.559,0.007,,3.164,,0.0219999999999999,,,5.555,,,,4
2010-04-27 00:08:00,5.006,,0.0599999999999999,,122.279,,4.039,,246.818,0.005,,3.298,,0.016,,,5.517,,,,4
2010-04-27 00:09:00,5.018,,-0.0109999999999999,,122.292,,3.965,,244.749,0.005,,3.088,,0.014,,,5.492,,,,4
2010-04-27 00:10:00,5.015,,0.0599999999999999,,122.249,,3.899,,250.037,0.005,,3.008,,0.016,,,5.49,,,,4
2010-04-27 00:11:00,5.01,,0.027,,122.236,,3.918,,243.814,0.005,,2.924,,0.016,,,5.495,,,,4
2010-04-27 00:12:00,5.004,,0.0439999999999999,,122.249,,3.922,,233.806,0.007,,3.086,,0.02,,,5.448,,,,4
2010-04-27 00:13:00,5.005,,0.033,,122.184,,3.969,,252.806,0.007,,3.17,,0.0219999999999999,,,5.4,,,,4
2010-04-27 00:14:00,5.004,,-0.028,,122.14,,3.991,,236.497,0.007,,3.176,,0.0219999999999999,,,5.385,,,,4
2010-04-27 00:15:00,4.998,,-0.017,,122.167,,3.926,,240.355,0.006,,3.272,,0.0179999999999999,,,5.345,,,,4
2010-04-27 00:16:00,5.004,,-0.0219999999999999,,122.265,,3.916,,251.963,0.006,,3.124,,0.02,,,5.342,,,,4
2010-04-27 00:17:00,5.009,,-0.0109999999999999,,122.212,,3.909,,259.437,0.007,,2.99,,0.02,,,5.345,,,,4
2010-04-27 00:18:00,5.017,,0.225,,122.264,,3.896,,245.331,0.006,,3.106,,0.02,,,5.363,,,,4
2010-04-27 00:19:00,5.016,,0.099,,122.307,,4.047,,247.213,0.006,,3.058,,0.0179999999999999,,,5.421,,,,4
2010-04-27 00:20:00,5.01,,0.0,,122.325,,4.091,,221.561,0.005,,3.128,,0.0179999999999999,,,5.443,,,,4
2010-04-27 00:21:00,5.013,,0.049,,122.345,,4.109,,224.004,0.004,,2.948,,0.012,,,5.38,,,,4
2010-04-27 00:22:00,5.013,,-0.006,,122.297,,4.144,,234.586,0.008,,3.11,,0.024,,,5.353,,,,4
2010-04-27 00:23:00,5.01,,0.005,,122.374,,4.417,,233.754,0.007,,3.158,,0.0219999999999999,,,5.406,,,,4
2010-04-27 00:24:00,5.013,,0.0109999999999999,,122.343,,4.537,,203.178,0.008,,3.124,,0.024,,,5.39,,,,4
2010-04-27 00:25:00,5.014,,0.0109999999999999,,122.348,,4.428,,202.919,0.007,,3.026,,0.02,,,5.32,,,,4
2010-04-27 00:26:00,5.019,,0.049,,122.369,,4.242,,188.212,0.007,,3.11,,0.0219999999999999,,,5.307,,,,4
2010-04-27 00:27:00,5.016,,0.0379999999999999,,122.265,,4.215,,212.204,0.007,,3.232,,0.0219999999999999,,,5.355,,,,4
