measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,module_temp_1__321,program_codeset__1373,resistor_box_3_temp__1370,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,system_id
2010-05-24 00:00:00,5.035,0.165,122.999,14.029,,,,,,,,,,,,,,,,,,,421.823,0.007,2.082,0.014,,,,,,,,15.691,,,,,,,,,,4
2010-05-24 00:01:00,5.038,-0.127,122.949,14.063,,,,,,,,,,,,,,,,,,,365.239,0.005,1.9,0.01,,,,,,,,15.659,,,,,,,,,,4
2010-05-24 00:02:00,5.039,-0.083,123.056,13.915,,,,,,,,,,,,,,,,,,,431.501,0.008,2.288,0.0179999999999999,,,,,,,,15.522,,,,,,,,,,4
2010-05-24 00:03:00,5.04,0.082,123.048,13.77,,,,,,,,,,,,,,,,,,,399.191,0.007,1.798,0.014,,,,,,,,15.438,,,,,,,,,,4
2010-05-24 00:04:00,5.04,0.0379999999999999,123.019,13.678,,,,,,,,,,,,,,,,,,,408.586,0.007,1.804,0.014,,,,,,,,15.388,,,,,,,,,,4
2010-05-24 00:05:00,5.037,-0.182,123.049,13.696,,,,,,,,,,,,,,,,,,,405.477,0.004,1.914,0.01,,,,,,,,15.377,,,,,,,,,,4
2010-05-24 00:06:00,5.044,-0.0769999999999999,123.103,13.779,,,,,,,,,,,,,,,,,,,390.235,0.007,2.116,0.016,,,,,,,,15.381,,,,,,,,,,4
2010-05-24 00:07:00,5.042,0.313,123.065,13.776,,,,,,,,,,,,,,,,,,,422.825,0.006,2.192,0.012,,,,,,,,15.34,,,,,,,,,,4
2010-05-24 00:08:00,5.039,0.2419999999999999,123.058,13.64,,,,,,,,,,,,,,,,,,,354.503,0.007,2.08,0.014,,,,,,,,15.216,,,,,,,,,,4
2010-05-24 00:09:00,5.046,-0.248,123.047,13.471,,,,,,,,,,,,,,,,,,,389.469,0.007,1.962,0.016,,,,,,,,15.199,,,,,,,,,,4
