measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,module_temp_1__321,module_temp_f__18,wind_speed_mph__19,system_id
2010-06-16 00:00:00,5.019,-0.188,122.289,16.652,,20.444,0.006,1.674,0.01,,18.835,,,4
2010-06-16 00:01:00,5.019,0.341,122.198,16.485,,20.435,0.007,1.45,0.01,,18.888,,,4
2010-06-16 00:02:00,5.023,-0.033,122.153,16.406,,20.422,0.008,1.626,0.014,,18.921,,,4
2010-06-16 00:03:00,5.024,-0.446,122.192,16.345,,20.411,0.006,1.384,0.008,,18.896,,,4
2010-06-16 00:04:00,5.02,0.082,122.217,16.215,,20.393,0.006,1.3,0.008,,18.874,,,4
2010-06-16 00:05:00,5.026,-0.0769999999999999,122.24,16.167,,20.384,0.008,1.348,0.01,,18.8,,,4
2010-06-16 00:06:00,5.015,0.0,122.3,16.179,,20.366,0.007,1.66,0.012,,18.715,,,4
2010-06-16 00:07:00,5.017,0.137,122.244,16.201,,20.333,0.007,1.372,0.01,,18.64,,,4
2010-06-16 00:08:00,5.022,-0.11,122.248,16.281,,20.314,0.008,1.488,0.012,,18.588,,,4
2010-06-16 00:09:00,5.019,0.159,122.249,16.758,,20.299,0.008,1.582,0.012,,18.697,,,4
2010-06-16 00:10:00,5.01,0.0929999999999999,122.258,17.521,,20.275,0.007,1.458,0.01,,18.802,,,4
2010-06-16 00:11:00,5.022,-0.0439999999999999,122.238,17.587,,20.244,0.008,1.596,0.012,,18.68,,,4
2010-06-16 00:12:00,5.017,-0.0609999999999999,122.24,17.419,,20.219,0.008,1.474,0.012,,18.578,,,4
2010-06-16 00:13:00,5.027,-0.32,122.297,17.115,,20.178,0.007,1.672,0.012,,18.466,,,4
2010-06-16 00:14:00,5.022,0.027,122.313,17.015,,20.154,0.006,1.666,0.01,,18.483,,,4
2010-06-16 00:15:00,5.022,0.231,122.293,17.567,,20.127,0.006,1.356,0.008,,18.674,,,4
2010-06-16 00:16:00,5.023,0.0109999999999999,122.393,17.94,,20.104,0.006,1.512,0.008,,18.767,,,4
2010-06-16 00:17:00,5.029,0.0709999999999999,122.368,18.004,,20.085,0.008,1.614,0.014,,18.745,,,4
2010-06-16 00:18:00,5.023,0.033,122.379,17.774,,20.052,0.008,1.42,0.012,,18.695,,,4
2010-06-16 00:19:00,5.028,0.016,122.355,17.594,,20.036,0.007,1.408,0.01,,18.729,,,4
2010-06-16 00:20:00,5.019,0.104,122.288,17.572,,20.014,0.006,1.416,0.008,,18.764,,,4
2010-06-16 00:21:00,5.016,-0.006,122.305,17.729,,20.001,0.008,1.458,0.012,,18.847,,,4
2010-06-16 00:22:00,5.026,0.0379999999999999,122.327,17.739,,19.981,0.008,1.438,0.012,,18.855,,,4
2010-06-16 00:23:00,5.025,0.0219999999999999,122.336,17.664,,19.966,0.006,1.492,0.008,,18.867,,,4
2010-06-16 00:24:00,5.027,-0.265,122.363,17.647,,19.955,0.006,1.272,0.008,,18.868,,,4
2010-06-16 00:25:00,5.024,-0.028,122.362,17.717,,19.936,0.007,1.6,0.012,,18.865,,,4
2010-06-16 00:26:00,5.024,-0.1769999999999999,122.334,17.684,,19.93,0.007,1.312,0.008,,18.88,,,4
2010-06-16 00:27:00,5.023,-0.281,122.296,17.893,,19.914,0.005,1.276,0.006,,18.94,,,4
2010-06-16 00:28:00,5.029,0.055,122.326,18.15,,19.917,0.006,1.368,0.008,,19.037,,,4
2010-06-16 00:29:00,5.023,0.3019999999999999,122.315,18.209,,19.903,0.008,1.356,0.012,,19.025,,,4
2010-06-16 00:30:00,5.015,-0.1769999999999999,122.287,18.043,,19.901,0.008,1.582,0.012,,19.002,,,4
2010-06-16 00:31:00,5.012,-0.055,122.325,17.834,,19.903,0.006,1.524,0.01,,18.987,,,4
2010-06-16 00:32:00,5.015,0.269,122.304,18.066,,19.893,0.007,1.504,0.012,,19.093,,,4
2010-06-16 00:33:00,5.017,0.1759999999999999,122.3,18.349,,19.889,0.007,1.6,0.01,,19.167,,,4
2010-06-16 00:34:00,5.028,-0.133,122.341,18.442,,19.884,0.006,1.456,0.01,,19.169,,,4
2010-06-16 00:35:00,5.024,0.027,122.402,18.499,,19.882,0.006,1.41,0.008,,19.173,,,4
2010-06-16 00:36:00,5.028,-0.0879999999999999,122.437,18.748,,19.885,0.006,1.482,0.01,,19.217,,,4
2010-06-16 00:37:00,5.023,-0.221,122.377,18.985,,19.884,0.007,1.692,0.012,,19.199,,,4
2010-06-16 00:38:00,5.028,-0.2369999999999999,122.379,18.95,,19.904,0.006,1.228,0.006,,19.145,,,4
2010-06-16 00:39:00,5.026,0.033,122.362,18.944,,19.893,0.005,1.288,0.006,,19.192,,,4
2010-06-16 00:40:00,5.025,-0.221,122.41,18.869,,19.897,0.007,1.12,0.008,,19.157,,,4
2010-06-16 00:41:00,5.02,-0.1769999999999999,122.409,18.783,,19.908,0.007,1.554,0.01,,19.156,,,4
2010-06-16 00:42:00,5.027,0.3019999999999999,122.476,18.705,,19.916,0.007,1.578,0.012,,19.176,,,4
2010-06-16 00:43:00,5.032,-0.121,122.529,18.731,,19.935,0.005,1.432,0.008,,19.204,,,4
2010-06-16 00:44:00,5.037,0.154,122.511,18.477,,19.948,0.007,1.494,0.01,,19.187,,,4
2010-06-16 00:45:00,5.034,-0.0879999999999999,122.531,18.347,,19.977,0.006,1.572,0.01,,19.195,,,4
2010-06-16 00:46:00,5.03,-0.1439999999999999,122.539,18.329,,19.994,0.007,1.464,0.01,,19.195,,,4
2010-06-16 00:47:00,5.028,0.0709999999999999,122.515,18.14,,20.024,0.007,1.188,0.008,,19.171,,,4
2010-06-16 00:48:00,5.034,0.1429999999999999,122.54,18.034,,20.048,0.007,1.444,0.01,,19.184,,,4
2010-06-16 00:49:00,5.029,0.159,122.497,17.96,,20.083,0.008,1.314,0.012,,19.14,,,4
2010-06-16 00:50:00,5.035,-0.221,122.553,17.902,,20.083,0.006,1.53,0.01,,19.141,,,4
2010-06-16 00:51:00,5.034,-0.331,122.5,17.823,,20.126,0.006,1.17,0.008,,19.145,,,4
2010-06-16 00:52:00,5.03,0.049,122.538,17.754,,20.136,0.007,1.402,0.01,,19.112,,,4
2010-06-16 00:53:00,5.032,-0.226,122.525,17.612,,20.161,0.008,1.564,0.012,,19.074,,,4
2010-06-16 00:54:00,5.031,0.082,122.565,17.478,,20.185,0.008,1.368,0.01,,19.082,,,4
2010-06-16 00:55:00,5.036,0.0709999999999999,122.477,17.439,,20.207,0.007,1.534,0.01,,19.091,,,4
2010-06-16 00:56:00,5.03,-0.017,122.429,17.415,,20.225,0.006,1.146,0.006,,19.047,,,4
2010-06-16 00:57:00,5.024,0.005,122.401,17.283,,20.243,0.008,1.338,0.01,,19.021,,,4
2010-06-16 00:58:00,5.032,-0.028,122.414,17.241,,20.257,0.008,1.752,0.014,,18.959,,,4
2010-06-16 00:59:00,5.024,0.132,122.353,17.152,,20.274,0.008,1.524,0.012,,18.886,,,4
2010-06-16 01:00:00,5.025,0.192,122.389,17.082,,20.275,0.007,1.464,0.01,,18.873,,,4
2010-06-16 01:01:00,5.03,0.132,122.372,17.147,,20.291,0.007,1.462,0.01,,18.842,,,4
2010-06-16 01:02:00,5.021,-0.028,122.399,16.965,,20.279,0.006,1.444,0.008,,18.719,,,4
2010-06-16 01:03:00,5.022,-0.066,122.39,16.855,,20.287,0.006,1.422,0.008,,18.644,,,4
2010-06-16 01:04:00,5.022,0.016,122.331,16.788,,20.277,0.007,1.584,0.012,,18.558,,,4
2010-06-16 01:05:00,5.025,-0.265,122.38,16.692,,20.278,0.008,1.596,0.014,,18.542,,,4
2010-06-16 01:06:00,5.026,0.11,122.413,16.571,,20.273,0.008,1.33,0.01,,18.52,,,4
2010-06-16 01:07:00,5.024,-0.0109999999999999,122.415,16.465,,20.27,0.008,1.474,0.012,,18.505,,,4
2010-06-16 01:08:00,5.023,0.1479999999999999,122.392,16.324,,20.276,0.007,1.53,0.01,,18.485,,,4
2010-06-16 01:09:00,5.024,-0.1769999999999999,122.417,16.197,,20.258,0.007,1.332,0.008,,18.505,,,4
2010-06-16 01:10:00,5.023,0.0,122.419,16.045,,20.245,0.007,1.594,0.012,,18.514,,,4
2010-06-16 01:11:00,5.025,-0.006,122.443,15.925,,20.248,0.007,1.384,0.01,,18.543,,,4
2010-06-16 01:12:00,5.027,-0.0609999999999999,122.46,15.858,,20.235,0.006,1.392,0.008,,18.525,,,4
2010-06-16 01:13:00,5.021,-0.0439999999999999,122.481,15.718,,20.218,0.007,1.33,0.01,,18.504,,,4
2010-06-16 01:14:00,5.025,0.446,122.511,15.686,,20.198,0.007,1.2,0.008,,18.5,,,4
2010-06-16 01:15:00,5.029,0.005,122.45,15.671,,20.173,0.005,1.642,0.01,,18.474,,,4
2010-06-16 01:16:00,5.03,0.016,122.516,15.536,,20.164,0.0089999999999999,1.512,0.012,,18.469,,,4
2010-06-16 01:17:00,5.035,0.137,122.445,15.542,,20.15,0.008,1.254,0.01,,18.503,,,4
2010-06-16 01:18:00,5.023,0.055,122.417,15.646,,20.116,0.008,1.786,0.014,,18.494,,,4
2010-06-16 01:19:00,5.029,-0.4189999999999999,122.497,15.624,,20.091,0.006,1.39,0.008,,18.494,,,4
2010-06-16 01:20:00,5.026,-0.155,122.429,15.835,,20.056,0.006,1.416,0.008,,18.504,,,4
2010-06-16 01:21:00,5.027,0.005,122.345,16.044,,20.02,0.007,1.414,0.01,,18.481,,,4
2010-06-16 01:22:00,5.03,-0.127,122.446,16.194,,19.99,0.0089999999999999,1.342,0.012,,18.508,,,4
2010-06-16 01:23:00,5.028,-0.028,122.513,16.426,,19.954,0.007,1.404,0.01,,18.509,,,4
2010-06-16 01:24:00,5.027,-0.099,122.459,16.545,,19.915,0.006,1.284,0.008,,18.501,,,4
2010-06-16 01:25:00,5.041,0.082,122.538,16.608,,19.877,0.007,1.374,0.01,,18.392,,,4
2010-06-16 01:26:00,5.033,0.132,122.472,16.698,,19.836,0.006,1.6,0.01,,18.354,,,4
2010-06-16 01:27:00,5.036,-0.276,122.497,16.842,,19.805,0.006,1.396,0.008,,18.389,,,4
2010-06-16 01:28:00,5.031,-0.0719999999999999,122.504,16.917,,19.76,0.007,1.426,0.008,,18.376,,,4
2010-06-16 01:29:00,5.036,0.033,122.533,17.084,,19.716,0.0089999999999999,1.528,0.014,,18.405,,,4
2010-06-16 01:30:00,5.029,0.396,122.5,16.974,,19.684,0.007,1.356,0.01,,18.355,,,4
2010-06-16 01:31:00,5.028,0.17,122.569,16.705,,19.654,0.006,1.522,0.01,,18.348,,,4
2010-06-16 01:32:00,5.03,-0.0609999999999999,122.531,16.639,,19.62,0.008,1.45,0.01,,18.333,,,4
2010-06-16 01:33:00,5.032,-0.094,122.531,16.618,,19.591,0.007,1.578,0.012,,18.27,,,4
2010-06-16 01:34:00,5.028,0.0219999999999999,122.58,16.664,,19.569,0.007,1.402,0.01,,18.223,,,4
2010-06-16 01:35:00,5.086,-0.006,122.607,16.614,,19.545,0.007,1.512,0.01,,18.136,,,4
2010-06-16 01:36:00,5.036,0.132,122.542,16.435,,19.515,0.008,1.492,0.012,,18.086,,,4
2010-06-16 01:37:00,5.039,0.066,122.586,16.114,,19.483,0.006,1.804,0.01,,18.053,,,4
2010-06-16 01:38:00,5.036,-0.0219999999999999,122.606,15.851,,19.478,0.007,1.446,0.01,,18.047,,,4
2010-06-16 01:39:00,5.039,0.308,122.634,15.589,,19.454,0.003,1.738,0.006,,18.104,,,4
2010-06-16 01:40:00,5.041,-0.4129999999999999,122.642,15.458,,19.441,0.006,1.452,0.01,,18.123,,,4
2010-06-16 01:41:00,5.036,0.319,122.637,15.638,,19.429,0.006,1.398,0.008,,18.197,,,4
2010-06-16 01:42:00,5.033,-0.133,122.663,15.981,,19.402,0.008,1.356,0.01,,18.219,,,4
2010-06-16 01:43:00,5.036,-0.193,122.609,16.542,,19.388,0.007,1.468,0.01,,18.334,,,4
2010-06-16 01:44:00,5.032,0.214,122.63,17.111,,19.378,0.005,1.57,0.008,,18.368,,,4
2010-06-16 01:45:00,5.031,-0.155,122.58,17.254,,19.347,0.006,1.186,0.008,,18.185,,,4
2010-06-16 01:46:00,5.037,-0.281,122.642,17.03,,19.326,0.007,1.464,0.01,,18.004,,,4
2010-06-16 01:47:00,5.035,-0.066,122.601,16.818,,19.292,0.007,1.482,0.01,,17.876,,,4
2010-06-16 01:48:00,5.036,0.0599999999999999,122.597,16.589,,19.272,0.006,1.498,0.01,,17.817,,,4
2010-06-16 01:49:00,5.036,-0.1489999999999999,122.563,16.271,,19.25,0.006,1.348,0.008,,17.784,,,4
2010-06-16 01:50:00,5.035,-0.3579999999999999,122.497,16.03,,19.224,0.007,1.578,0.01,,17.792,,,4
2010-06-16 01:51:00,5.035,-0.265,122.579,16.126,,19.208,0.006,1.336,0.008,,17.826,,,4
2010-06-16 01:52:00,5.039,0.055,122.598,16.14,,19.209,0.007,1.284,0.01,,17.786,,,4
2010-06-16 01:53:00,5.036,0.0439999999999999,122.607,16.033,,19.195,0.008,1.492,0.012,,17.751,,,4
2010-06-16 01:54:00,5.034,0.22,122.624,15.955,,19.172,0.008,1.422,0.012,,17.731,,,4
2010-06-16 01:55:00,5.034,0.033,122.669,15.888,,19.156,0.0089999999999999,1.42,0.012,,17.661,,,4
2010-06-16 01:56:00,5.034,-0.028,122.625,15.767,,19.151,0.008,1.296,0.01,,17.567,,,4
2010-06-16 01:57:00,5.039,-0.0439999999999999,122.677,15.723,,19.135,0.006,1.41,0.01,,17.443,,,4
2010-06-16 01:58:00,5.044,0.379,122.657,15.702,,19.115,0.008,1.56,0.012,,17.325,,,4
2010-06-16 01:59:00,5.037,0.0709999999999999,122.632,15.601,,19.092,0.007,1.734,0.012,,17.279,,,4
2010-06-16 02:00:00,5.035,0.082,122.555,15.634,,19.085,0.007,1.482,0.01,,17.275,,,4
2010-06-16 02:01:00,5.034,-0.055,122.521,15.603,,19.071,0.007,1.602,0.01,,17.146,,,4
2010-06-16 02:02:00,5.03,-0.039,122.463,15.745,,19.051,0.006,1.5,0.01,,17.116,,,4
2010-06-16 02:03:00,5.025,-0.039,122.486,15.721,,19.036,0.007,1.476,0.01,,16.973,,,4
2010-06-16 02:04:00,5.032,-0.11,122.524,15.604,,19.025,0.007,1.432,0.01,,16.861,,,4
2010-06-16 02:05:00,5.025,-0.4129999999999999,122.51,15.5,,19.0,0.008,1.612,0.012,,16.732,,,4
2010-06-16 02:06:00,5.031,0.3569999999999999,122.524,15.411,,18.976,0.0089999999999999,1.53,0.014,,16.646,,,4
2010-06-16 02:07:00,5.035,-0.0769999999999999,122.508,15.357,,18.958,0.006,1.282,0.006,,16.571,,,4
2010-06-16 02:08:00,5.032,-0.11,122.444,15.272,,18.941,0.006,1.506,0.01,,16.469,,,4
2010-06-16 02:09:00,5.028,0.027,122.472,15.183,,18.918,0.007,1.414,0.01,,16.411,,,4
2010-06-16 02:10:00,5.03,-0.281,122.451,15.172,,18.894,0.005,1.42,0.008,,16.327,,,4
2010-06-16 02:11:00,5.03,-0.116,122.395,15.216,,18.873,0.005,1.692,0.008,,16.274,,,4
2010-06-16 02:12:00,5.025,0.275,122.357,15.283,,18.857,0.0089999999999999,1.444,0.012,,16.207,,,4
2010-06-16 02:13:00,5.027,-0.0769999999999999,122.36,15.315,,18.84,0.008,1.654,0.012,,16.094,,,4
2010-06-16 02:14:00,5.023,-0.16,122.29,15.207,,18.82,0.006,1.662,0.012,,16.037,,,4
2010-06-16 02:15:00,5.018,-0.028,122.29,15.057,,18.79,0.005,1.626,0.01,,16.013,,,4
2010-06-16 02:16:00,5.017,-0.226,122.24,14.975,,18.758,0.007,1.47,0.01,,16.013,,,4
2010-06-16 02:17:00,5.021,-0.028,122.281,14.927,,18.738,0.007,1.108,0.008,,16.036,,,4
2010-06-16 02:18:00,5.028,0.1479999999999999,122.326,14.939,,18.713,0.007,1.488,0.01,,16.075,,,4
2010-06-16 02:19:00,5.022,0.28,122.271,14.903,,18.695,0.007,1.414,0.01,,16.105,,,4
2010-06-16 02:20:00,5.017,-0.0609999999999999,122.249,14.95,,18.65,0.006,1.548,0.01,,16.084,,,4
2010-06-16 02:21:00,5.025,-0.193,122.345,14.951,,18.628,0.005,1.564,0.008,,16.082,,,4
2010-06-16 02:22:00,5.019,-0.105,122.254,14.848,,18.592,0.007,1.608,0.01,,16.119,,,4
2010-06-16 02:23:00,5.014,0.115,122.229,14.874,,18.56,0.006,1.414,0.008,,16.169,,,4
2010-06-16 02:24:00,5.022,0.099,122.261,14.933,,18.535,0.007,1.326,0.01,,16.261,,,4
2010-06-16 02:25:00,5.021,0.214,122.31,14.859,,18.51,0.007,1.438,0.01,,16.263,,,4
2010-06-16 02:26:00,5.022,0.0709999999999999,122.308,14.898,,18.475,0.007,1.33,0.01,,16.231,,,4
2010-06-16 02:27:00,5.028,0.0219999999999999,122.384,14.931,,18.434,0.006,1.404,0.008,,16.234,,,4
2010-06-16 02:28:00,5.031,0.192,122.389,14.911,,18.41,0.008,1.318,0.01,,16.244,,,4
2010-06-16 02:29:00,5.027,0.0879999999999999,122.354,14.902,,18.381,0.006,1.318,0.008,,16.293,,,4
2010-06-16 02:30:00,5.025,0.0929999999999999,122.418,14.865,,18.352,0.007,1.516,0.012,,16.343,,,4
2010-06-16 02:31:00,5.026,-0.066,122.319,14.969,,18.32,0.006,1.6,0.01,,16.428,,,4
2010-06-16 02:32:00,5.021,-0.033,122.372,15.081,,18.303,0.006,1.528,0.008,,16.513,,,4
2010-06-16 02:33:00,5.027,0.082,122.386,15.073,,18.261,0.008,1.56,0.014,,16.556,,,4
2010-06-16 02:34:00,5.027,0.115,122.423,15.164,,18.248,0.008,1.492,0.012,,16.584,,,4
2010-06-16 02:35:00,5.024,-0.05,122.396,15.355,,18.212,0.008,1.584,0.014,,16.587,,,4
2010-06-16 02:36:00,5.021,0.1759999999999999,122.411,15.49,,18.188,0.008,1.474,0.012,,16.575,,,4
2010-06-16 02:37:00,5.026,0.121,122.364,15.435,,18.144,0.006,1.51,0.008,,16.459,,,4
2010-06-16 02:38:00,5.025,-0.232,122.42,15.359,,18.11,0.006,1.384,0.01,,16.448,,,4
2010-06-16 02:39:00,5.034,-0.331,122.357,15.364,,18.092,0.007,1.512,0.01,,16.532,,,4
2010-06-16 02:40:00,5.027,0.066,122.326,15.125,,18.077,0.007,1.446,0.01,,16.543,,,4
2010-06-16 02:41:00,5.027,0.0769999999999999,122.336,15.059,,18.035,0.008,1.548,0.012,,16.616,,,4
2010-06-16 02:42:00,5.027,0.1429999999999999,122.374,15.155,,18.02,0.008,1.404,0.01,,16.676,,,4
2010-06-16 02:43:00,5.023,0.1759999999999999,122.287,15.321,,18.007,0.007,1.606,0.01,,16.717,,,4
2010-06-16 02:44:00,5.026,-0.0109999999999999,122.339,15.722,,17.986,0.008,1.48,0.01,,16.826,,,4
2010-06-16 02:45:00,5.024,0.203,122.327,15.927,,17.961,0.006,1.446,0.008,,16.78,,,4
2010-06-16 02:46:00,5.018,-0.2869999999999999,122.322,15.782,,17.944,0.007,1.498,0.01,,16.751,,,4
2010-06-16 02:47:00,5.015,-0.221,122.279,15.999,,17.92,0.006,1.648,0.01,,16.845,,,4
2010-06-16 02:48:00,5.021,0.28,122.341,16.244,,17.901,0.007,1.57,0.01,,16.85,,,4
2010-06-16 02:49:00,5.03,0.121,122.382,16.296,,17.881,0.006,1.656,0.01,,16.83,,,4
2010-06-16 02:50:00,5.03,-0.2369999999999999,122.309,16.367,,17.87,0.006,1.432,0.008,,16.816,,,4
2010-06-16 02:51:00,5.022,0.0109999999999999,122.267,16.386,,17.855,0.007,1.692,0.012,,16.814,,,4
2010-06-16 02:52:00,5.022,-0.193,122.334,16.377,,17.84,0.008,1.606,0.012,,16.863,,,4
2010-06-16 02:53:00,5.026,-0.0879999999999999,122.369,16.524,,17.833,0.008,1.624,0.012,,16.947,,,4
2010-06-16 02:54:00,5.027,-0.232,122.35,16.49,,17.833,0.007,1.642,0.012,,16.98,,,4
2010-06-16 02:55:00,5.031,0.0109999999999999,122.395,16.522,,17.84,0.006,1.476,0.008,,17.015,,,4
2010-06-16 02:56:00,5.028,-0.226,122.38,16.253,,17.824,0.008,1.518,0.012,,16.906,,,4
2010-06-16 02:57:00,5.019,0.2859999999999999,122.326,16.021,,17.827,0.005,1.438,0.008,,16.852,,,4
2010-06-16 02:58:00,5.03,-0.138,122.411,15.944,,17.821,0.008,1.386,0.01,,16.813,,,4
2010-06-16 02:59:00,5.024,-0.221,122.309,15.996,,17.836,0.007,1.602,0.01,,16.8,,,4
2010-06-16 03:00:00,5.023,-0.155,122.26,16.07,,17.839,0.006,1.42,0.008,,16.811,,,4
2010-06-16 03:01:00,5.024,0.121,122.295,16.137,,17.845,0.006,1.384,0.008,,16.823,,,4
2010-06-16 03:02:00,5.024,-0.105,122.363,16.385,,17.851,0.006,1.618,0.008,,16.877,,,4
2010-06-16 03:03:00,5.029,-0.033,122.369,16.515,,17.869,0.008,1.36,0.01,,16.902,,,4
2010-06-16 03:04:00,5.022,0.049,122.34,16.471,,17.874,0.0089999999999999,1.6,0.014,,16.859,,,4
2010-06-16 03:05:00,5.026,-0.133,122.301,16.347,,17.879,0.0089999999999999,1.674,0.014,,16.826,,,4
2010-06-16 03:06:00,5.024,-0.116,122.327,16.342,,17.891,0.008,1.398,0.012,,16.829,,,4
2010-06-16 03:07:00,5.02,-0.0719999999999999,122.341,16.517,,17.896,0.007,1.456,0.01,,16.942,,,4
2010-06-16 03:08:00,5.02,-0.259,122.328,16.641,,17.915,0.007,1.392,0.008,,17.006,,,4
2010-06-16 03:09:00,5.025,-0.066,122.349,16.529,,17.933,0.008,1.458,0.012,,16.994,,,4
2010-06-16 03:10:00,5.032,0.082,122.34,16.499,,17.947,0.007,1.306,0.01,,16.956,,,4
2010-06-16 03:11:00,5.023,0.049,122.364,16.43,,17.955,0.006,1.59,0.01,,16.811,,,4
2010-06-16 03:12:00,5.024,0.049,122.316,16.344,,17.971,0.006,1.63,0.01,,16.692,,,4
2010-06-16 03:13:00,5.022,0.247,122.303,16.318,,17.979,0.006,1.524,0.008,,16.589,,,4
2010-06-16 03:14:00,5.02,0.22,122.304,16.219,,17.999,0.006,1.39,0.008,,16.6,,,4
2010-06-16 03:15:00,5.019,-0.039,122.245,16.371,,18.024,0.007,1.224,0.008,,16.676,,,4
2010-06-16 03:16:00,5.022,0.275,122.323,16.406,,18.029,0.008,1.632,0.012,,16.704,,,4
2010-06-16 03:17:00,5.02,0.1809999999999999,122.248,16.547,,18.052,0.008,1.74,0.014,,16.786,,,4
2010-06-16 03:18:00,5.021,0.1809999999999999,122.295,16.745,,18.062,0.007,1.422,0.01,,16.863,,,4
2010-06-16 03:19:00,5.019,-0.006,122.284,16.813,,18.073,0.006,1.362,0.008,,16.812,,,4
2010-06-16 03:20:00,5.019,-0.133,122.257,16.542,,18.092,0.007,1.572,0.01,,16.701,,,4
2010-06-16 03:21:00,5.024,0.0879999999999999,122.292,16.227,,18.107,0.007,1.42,0.01,,16.533,,,4
