measured_on,ac_current__319,ac_current__379,ac_power__315,ac_power__375,ac_voltage__318,ac_voltage__378,ambient_temp__320,ambient_temp__380,das_battery_voltage__326,das_battery_voltage__386,das_temp__325,das_temp__385,dc_pos_current__317,dc_pos_current__377,dc_pos_voltage__316,dc_pos_voltage__376,dc_power__314,dc_power__374,inverter_temp__324,inverter_temp__384,module_temp_1__321,module_temp_1__381,module_temp_2__322,module_temp_2__382,module_temp_3__323,module_temp_3__383,poa_irradiance__313,poa_irradiance__373,power_factor__327,power_factor__387,system_id
2011-02-17 00:00:00,0.1875,,3.2264,,121.7075,,7.247,,13.6159,,7.665,,0.0095999999999999,,2.5925,,0.0264,,7.1338,,4.1491,,3.7874,,4.0719,,-3.9259,,0.1305,,4
2011-02-17 00:01:00,0.1872999999999999,,3.1619,,121.6789,,7.175,,13.6169,,7.6238,,0.0033999999999999,,2.4273,,0.0077999999999999,,7.0939,,4.1103,,3.7571,,4.0596,,-3.9863,,0.1315,,4
2011-02-17 00:02:00,0.1864,,3.1619,,121.6912,,7.1241,,13.6169,,7.590099999999999,,0.008,,2.7749,,0.0206,,7.0631,,4.1072,,3.8506,,4.0515,,-3.8051,,0.1312,,4
2011-02-17 00:03:00,0.187,,3.2264,,121.712,,7.1073,,13.6193,,7.5476,,0.0066,,2.678,,0.0176,,7.0319,,4.1267,,3.8522,,4.1338,,-3.8051,,0.1313999999999999,,4
2011-02-17 00:04:00,0.1875,,3.1834,,121.7191,,7.6611,,13.6207,,7.5095,,0.0018,,2.5641,,0.0037,,7.0571,,4.4078,,4.2906,,4.6349,,-3.8051,,0.1300999999999999,,4
2011-02-17 00:05:00,0.1865999999999999,,3.1619,,121.7399,,8.080299999999998,,13.6216,,7.4738,,0.0023,,2.4729,,0.0020999999999999,,7.1606,,4.7731,,4.7403,,5.1127,,-3.5635,,0.1312,,4
2011-02-17 00:06:00,0.186,,3.1834,,121.6632,,8.6215,,13.6226,,7.4419,,0.0032,,2.4957,,0.0064,,7.3582,,5.2492,,5.2306,,5.6063,,-3.2616,,0.1313,,4
2011-02-17 00:07:00,0.1865999999999999,,3.1189,,121.6326,,9.0031,,13.6226,,7.4214,,-0.0008999999999999,,2.6552,,-0.0023999999999999,,7.5266,,5.6235,,5.5786,,5.9306,,-2.5972,,0.1303999999999999,,4
2011-02-17 00:08:00,0.1867999999999999,,3.2265,,121.7268,,9.0936,,13.6212,,7.406399999999999,,0.0023,,2.7293,,0.0011999999999999,,7.662099999999999,,5.8365,,5.7004,,6.0815,,-2.2348,,0.1308,,4
2011-02-17 00:09:00,0.187,,3.1189,,121.6927,,9.0518,,13.6203,,7.3937,,0.0086999999999999,,2.6097,,0.0212,,7.7447,,5.9819,,5.9093,,6.234,,-2.1744,,0.1308,,4
2011-02-17 00:10:00,0.1855,,3.1189,,121.6485,,9.3657,,13.6176,,7.3785,,0.0043,,2.6723,,0.0112,,7.887699999999999,,6.2515,,6.1788,,6.4991,,-2.114,,0.1307,,4
2011-02-17 00:11:00,0.1879,,3.2695,,121.6708,,9.4441,,13.6172,,7.3785,,0.0032,,2.6154,,0.0074,,7.990599999999999,,6.3689,,6.3091,,6.6229,,-2.1744,,0.1305,,4
