measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,control_module_voltage__1376,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hvps_1-1_current__1387,hvps_1-1_disabled__1378,hvps_1-1_mvcontrol__1384,hvps_1-1_vactual__1386,hvps_1-1_vtarget__1385,hvps_1-2_current__1391,hvps_1-2_disabled__1379,hvps_1-2_mvcontrol__1388,hvps_1-2_vactual__1390,hvps_1-2_vtarget__1389,hvps_1-3_current__1395,hvps_1-3_disabled__1380,hvps_1-3_mvcontrol__1392,hvps_1-3_vactual__1394,hvps_1-3_vtarget__1393,hvps_2-1_current__1399,hvps_2-1_disabled__1381,hvps_2-1_mvcontrol__1396,hvps_2-1_vactual__1398,hvps_2-1_vtarget__1397,hvps_2-2_current__1403,hvps_2-2_disabled__1382,hvps_2-2_mvcontrol__1400,hvps_2-2_vactual__1402,hvps_2-2_vtarget__1401,hvps_2-3_current__1407,hvps_2-3_disabled__1383,hvps_2-3_mvcontrol__1404,hvps_2-3_vactual__1406,hvps_2-3_vtarget__1405,interior_temp__1366,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,program_codeset__1373,program_codeset__1377,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-03-18 00:00:00,0.1862,3.3567,122.6471,-0.4688999999999999,,,,,13.7925,,1.2243,-0.0035999999999999,1.4022,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2862,0.2616999999999999,0.3372999999999999,0.3834,0.0,0.1234,,,,,4
2011-03-18 00:01:00,0.1852,3.3782,122.6317,-0.4486999999999999,,,,,13.7925,,1.2243,-0.0005,1.1913,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2926,0.2637999999999999,0.3408999999999999,0.3847999999999999,0.2417999999999999,0.1237,,,,,4
2011-03-18 00:02:00,0.1852,3.2061,122.6385,-0.4299,,,,,13.7925,,1.2017,-0.0071,1.4478,-0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2801,0.2642999999999999,0.3406,0.3822999999999999,0.1812999999999999,0.1242,,,,,4
2011-03-18 00:03:00,0.1854,3.3137,122.6248,-0.4385999999999999,,,,,13.7925,,1.2017,-0.0105,1.3509,-0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2858999999999999,0.2621,0.332,0.3845,0.0604,0.1228,,,,,4
2011-03-18 00:04:00,0.1854,3.3137,122.5975,-0.4729999999999999,,,,,13.7925,,1.1848,-0.0066,1.4421,-0.0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2696,0.248,0.3171999999999999,0.3704,0.3022,0.1233,,,,,4
2011-03-18 00:05:00,0.1849,3.3782,122.5958,-0.4698999999999999,,,,,13.7925,,1.1814,-0.0035999999999999,1.2882,-0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2792,0.2439,0.3237999999999999,0.3735,0.0,0.1228,,,,,4
2011-03-18 00:06:00,0.1857999999999999,3.3137,122.6436,-0.4547999999999999,,,,,13.7925,,1.1776,-0.0032,1.1514,-0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2797999999999999,0.256,0.3417,0.3885,0.4834999999999999,0.1234,,,,,4
2011-03-18 00:07:00,0.1862,3.2922,122.5923,-0.3872999999999999,,,,,13.7934,,1.1588,-0.0020999999999999,1.3167,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2645,0.2609,0.3437,0.3905,0.0,0.1246,,,,,4
2011-03-18 00:08:00,0.1857999999999999,3.3352,122.5684,-0.3619,,,,,13.7948,,1.1588,-0.0061999999999999,1.4022,-0.0074999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2752999999999999,0.2723999999999999,0.3718,0.4084999999999999,0.0,0.1233,,,,,4
2011-03-18 00:09:00,0.1855999999999999,3.4213,122.5496,-0.3259,,,,,13.7952,,1.152,-0.0051999999999999,1.2255,-0.0057999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,0.2851,0.3924,0.4153999999999999,0.0,0.1232,,,,,4
