measured_on,ac_current__319,ac_current__669,ac_power__315,ac_power__665,ac_voltage__318,ac_voltage__668,ambient_temp__320,ambient_temp__670,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_current__667,dc_pos_voltage__316,dc_pos_voltage__666,dc_power__314,dc_power__664,inverter_temp__324,inverter_temp__673,module_temp_1__321,module_temp_1__671,module_temp_2__322,module_temp_2__672,module_temp_3__323,poa_irradiance__313,poa_irradiance__663,power_factor__327,system_id
2011-03-19 00:00:00,0.186,,3.2276,,122.8232,,4.846,,13.6879,4.6425,-0.0023,,2.9127,,-0.0077,,4.4777,,2.2636,,2.0857,,2.4536,-3.5645,,0.1275999999999999,4
2011-03-19 00:01:00,0.1862,,3.3352,,122.8694,,4.9813,,13.6876,4.6391,0.0033999999999999,,2.6277,,0.0092999999999999,,4.4843,,2.3799,,2.1461,,2.5814,-3.625,,0.1282,4
2011-03-19 00:02:00,0.1869,,3.2706,,122.8181,,5.0125,,13.6894,4.6222,-0.0051999999999999,,2.8158,,-0.0149999999999999,,4.4773,,2.4425,,2.1721,,2.6239,-3.5041,,0.1280999999999999,4
2011-03-19 00:03:00,0.1869,,3.2061,,122.8283,,5.2129,,13.6905,4.6166,-0.0006999999999999,,2.907,,-0.0028999999999999,,4.4874,,2.4706,,2.1422,,2.6671,-3.3229,,0.1282,4
2011-03-19 00:04:00,0.1869,,3.2922,,122.883,,4.936,,13.6901,4.5996,-0.0014,,2.6106,,-0.0023,,4.4526,,2.3561,,2.0333,,2.5203,-3.3833,,0.1283999999999999,4
2011-03-19 00:05:00,0.1870999999999999,,3.163,,122.9326,,4.6407,,13.6906,4.5996,0.0043,,2.5707,,0.0106,,4.4369,,2.3919,,2.1402,,2.5497,-3.5041,,0.1275999999999999,4
2011-03-19 00:06:00,0.1855999999999999,,3.2491,,122.907,,4.7651,,13.6907,4.5861,-0.005,,2.8158,,-0.0142,,4.4326,,2.4844,,2.2686,,2.6529,-3.3833,,0.1275999999999999,4
2011-03-19 00:07:00,0.1867,,3.2491,,122.8933,,5.0384,,13.6912,4.5755,0.0035999999999999,,2.7417,,0.0079,,4.4606,,2.5986,,2.3663,,2.7605,-3.202,,0.128,4
2011-03-19 00:08:00,0.1862,,3.2061,,122.8933,,5.3176,,13.6912,4.5567,0.0023,,2.7303,,0.0063,,4.4975,,2.8219,,2.5818,,3.0297,-3.1416,,0.1270999999999999,4
2011-03-19 00:09:00,0.1865,,3.2276,,122.9172,,5.5042,,13.6912,4.5567,0.0002,,2.7417,,-0.0016999999999999,,4.5711,,3.0189,,2.6865,,3.1614,-2.9604,,0.1277,4
2011-03-19 00:10:00,0.1869,,3.2061,,122.9018,,5.3567,,13.6913,4.5397,0.0005,,2.7816,,0.0006999999999999,,4.5656,,2.9776,,2.6193,,3.0478,-2.8999,,0.1278,4
2011-03-19 00:11:00,0.1862,,3.3137,,122.8574,,5.303,,13.6916,4.5364,0.0006999999999999,,2.7246,,0.0044,,4.5672,,2.9261,,2.5706,,3.0407,-2.5979,,0.1282,4
2011-03-19 00:12:00,0.1865,,3.2491,,122.8694,,5.2348,,13.6918,4.5269,-0.0011,,2.6106,,-0.0047,,4.5585,,2.9024,,2.5569,,3.0342,-2.4166,,0.128,4
2011-03-19 00:13:00,0.1870999999999999,,3.2491,,122.883,,5.1383,,13.692,4.5138,0.0005,,2.6277,,0.003,,4.5332,,2.8276,,2.4893,,2.915,-2.8395,,0.1275,4
2011-03-19 00:14:00,0.1867,,3.3352,,122.9275,,4.8955,,13.6921,4.5138,-0.0025,,2.5536,,-0.0080999999999999,,4.5103,,2.7409,,2.419,,2.8147,-2.9,,0.1280999999999999,4
2011-03-19 00:15:00,0.1862,,3.2706,,122.9309,,4.7252,,13.6923,4.5138,0.0,,2.5593,,0.0008,,4.4918,,2.7523,,2.462,,2.8383,-3.0208,,0.1278,4
2011-03-19 00:16:00,0.1870999999999999,,3.2061,,122.8933,,4.7978,,13.6919,4.5087,-0.0006999999999999,,2.6733,,-0.0011,,4.4902,,2.7824,,2.5086,,2.9221,-3.0812,,0.1282,4
2011-03-19 00:17:00,0.186,,3.2276,,122.8608,,4.8723,,13.6925,4.4934,-0.003,,2.7246,,-0.0064,,4.4864,,2.838,,2.5764,,2.9548,-3.3833,,0.1282,4
2011-03-19 00:18:00,0.1857999999999999,,3.2706,,122.8694,,4.9296,,13.6931,4.4897,-0.0008999999999999,,2.7303,,-0.0033,,4.4941,,2.8414,,2.5776,,2.9617,-2.9604,,0.1283,4
