measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,inverter_temp__324,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_2__322,module_temp_3__255,module_temp_3__323,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,power_factor__327,system_id
2011-05-31 00:00:00,,0.187,,3.1828,,122.5281,,11.0852,13.5705,8.4245,,0.0025,,1.2191,,0.0018,,9.2513,,7.820999999999999,,7.8735,,8.2552,,,,,,0.1275999999999999,4
2011-05-31 00:01:00,,0.187,,3.2473,,122.5311,,10.9523,13.5691,8.4409,,0.0058999999999999,,1.5666,,0.0122,,9.357500000000002,,7.9793,,7.8935,,8.2871,,,,,,0.1272,4
2011-05-31 00:02:00,,0.1865999999999999,,3.2688,,122.5528,,10.7887,13.5687,8.4656,,0.003,,1.6122,,0.0043,,9.4147,,8.0232,,7.9118,,8.2991,,,,,,0.1273,4
2011-05-31 00:03:00,,0.1864,,3.2472,,122.6305,,10.6794,13.5687,8.4863,,0.0043,,1.5552,,0.0067,,9.4502,,7.975799999999999,,7.841599999999999,,8.178599999999998,,,,,,0.1278,4
2011-05-31 00:04:00,,0.187,,3.2257,,122.6181,,10.7488,13.5659,8.5089,,0.0058999999999999,,1.5381,,0.0086,,9.489,,8.0303,,7.9962,,8.3558,,,,,,0.1272,4
2011-05-31 00:05:00,,0.1872,,3.2257,,122.5886,,10.9027,13.5636,8.5371,,0.005,,1.4925,,0.0080999999999999,,9.5788,,8.1437,,8.1118,,8.4578,,,,,,0.127,4
2011-05-31 00:06:00,,0.1857,,3.2902,,122.5625,,10.8681,13.5633,8.5652,,0.005,,1.3216,,0.0047,,9.6216,,8.1682,,8.0625,,8.417099999999998,,,,,,0.1260999999999999,4
2011-05-31 00:07:00,,0.1874,,3.2471,,122.5576,,10.722,13.5636,8.593199999999998,,0.0088999999999999,,1.5551,,0.0125,,9.6369,,8.1417,,8.0126,,8.371399999999998,,,,,,0.1268,4
2011-05-31 00:08:00,,0.1872,,3.2041,,122.5536,,10.7019,13.5636,8.6215,,0.0109,,1.3045,,0.0124,,9.634,,8.0735,,7.9841,,8.3025,,,,,,0.1269,4
2011-05-31 00:09:00,,0.1867999999999999,,3.1611,,122.597,,10.8501,13.5636,8.6497,,0.0016,,1.3386,,0.0008,,9.6791,,8.154199999999998,,8.1414,,8.4329,,,,,,0.1282,4
2011-05-31 00:10:00,,0.1862999999999999,,3.204,,122.6255,,11.2704,13.5637,8.6691,,0.0057,,1.3956,,0.0086,,9.8258,,8.483499999999998,,8.5161,,8.8739,,,,,,0.1269,4
2011-05-31 00:11:00,,0.1862999999999999,,3.2685,,122.6316,,11.4901,13.5639,8.7039,,0.0023,,1.4526,,0.0033,,9.9495,,8.7423,,8.7423,,9.0681,,,,,,0.1274,4
2011-05-31 00:12:00,,0.1872,,3.2255,,122.696,,11.6356,13.563,8.7397,,0.0054999999999999,,1.3614,,0.0083999999999999,,10.1075,,8.9218,,8.8921,,9.2029,,,,,,0.1267,4
2011-05-31 00:13:00,,0.187,,3.2255,,122.704,,11.6378,13.5624,8.7811,,0.0,,1.5323,,-0.0005999999999999,,10.2265,,9.0156,,8.9661,,9.2252,,,,,,0.1279,4
2011-05-31 00:14:00,,0.1865999999999999,,3.1395,,122.6934,,11.6067,13.5591,8.824,,0.0125,,1.2703,,0.0162999999999999,,10.3096,,9.1095,,9.0685,,9.3247,,,,,,0.128,4
2011-05-31 00:15:00,,0.1860999999999999,,3.2255,,122.7494,,11.5919,13.5577,8.8655,,0.0071,,1.6348,,0.0118,,10.3841,,9.180700000000002,,9.1084,,9.3618,,,,,,0.1274,4
2011-05-31 00:16:00,,0.1865999999999999,,3.2256,,122.7351,,11.6193,13.5558,8.9144,,0.0045999999999999,,1.3102,,0.0047,,10.4456,,9.2933,,9.2296,,9.5239,,,,,,0.1268,4
2011-05-31 00:17:00,,0.187,,3.2902,,122.6956,,11.8009,13.5539,8.963,,0.0020999999999999,,1.3444,,0.001,,10.5526,,9.472,,9.3772,,9.6998,,,,,,0.1275,4
2011-05-31 00:18:00,,0.1865999999999999,,3.3117,,122.6804,,11.7412,13.5521,9.0119,,0.0051999999999999,,1.3899,,0.0044999999999999,,10.5867,,9.419,,9.3242,,9.5669,,,,,,0.1277,4
2011-05-31 00:19:00,,0.1862999999999999,,3.2901,,122.6404,,11.6987,13.5525,9.059,,0.0073,,1.5267,,0.0102,,10.6216,,9.4187,,9.3557,,9.6203,,,,,,0.1279,4
2011-05-31 00:20:00,,0.187,,3.2041,,122.6476,,11.5998,13.5525,9.1113,,0.0082,,1.4127,,0.0124,,10.6504,,9.391,,9.2834,,9.5353,,,,,,0.128,4
2011-05-31 00:21:00,,0.1862999999999999,,3.1826,,122.6284,,11.5043,13.5488,9.1565,,0.0038999999999999,,1.5209,,0.0068999999999999,,10.6432,,9.267,,9.1623,,9.3902,,,,,,0.128,4
2011-05-31 00:22:00,,0.187,,3.161,,122.6682,,11.5857,13.5478,9.1998,,-0.0005,,1.35,,0.0006999999999999,,10.6546,,9.2282,,9.2027,,9.386,,,,,,0.127,4
2011-05-31 00:23:00,,0.1860999999999999,,3.247,,122.6816,,11.5633,13.5469,9.2486,,0.0025,,1.4924,,0.0022,,10.6666,,9.1913,,9.1375,,9.3216,,,,,,0.1277,4
2011-05-31 00:24:00,,0.1862999999999999,,3.118,,122.7029,,11.5599,13.5468,9.2879,,0.0058999999999999,,1.3728,,0.0080999999999999,,10.667,,9.1238,,9.1309,,9.2915,,,,,,0.1275999999999999,4
2011-05-31 00:25:00,,0.1867999999999999,,3.2685,,122.6532,,11.7493,13.5468,9.3294,,0.0043,,1.4639,,0.0051999999999999,,10.7372,,9.294,,9.3351,,9.5162,,,,,,0.1277,4
2011-05-31 00:26:00,,0.1872,,3.2255,,122.6831,,11.8489,13.5454,9.3745,,-0.0002,,1.3785,,0.0005999999999999,,10.7915,,9.4128,,9.4397,,9.6279,,,,,,0.1278,4
2011-05-31 00:27:00,,0.187,,3.075,,122.7873,,11.9428,13.5422,9.4141,,0.0088999999999999,,1.3728,,0.0141,,10.8598,,9.5613,,9.6016,,9.760700000000002,,,,,,0.1275,4
2011-05-31 00:28:00,,0.1862999999999999,,3.118,,122.8242,,11.9152,13.5417,9.4625,,0.0082,,1.2304,,0.0109,,10.9159,,9.5651,,9.5297,,9.7144,,,,,,0.1277,4
2011-05-31 00:29:00,,0.1865999999999999,,3.2685,,122.8036,,11.9153,13.5413,9.506,,0.0005,,1.2987,,0.0012999999999999,,10.9388,,9.5548,,9.5492,,9.7253,,,,,,0.1280999999999999,4
2011-05-31 00:30:00,,0.1874,,3.1609,,122.8202,,11.8354,13.5413,9.551100000000002,,0.0095999999999999,,1.4696,,0.0146,,10.9598,,9.5639,,9.5109,,9.7054,,,,,,0.1282,4
2011-05-31 00:31:00,,0.1874,,3.247,,122.8389,,11.672,13.5413,9.5963,,0.0067999999999999,,1.5949,,0.0112,,10.952,,9.433,,9.365,,9.5306,,,,,,0.1275,4
2011-05-31 00:32:00,,0.1860999999999999,,3.2469,,122.7787,,11.7135,13.5412,9.6415,,-0.0020999999999999,,1.5949,,-0.0044999999999999,,10.9476,,9.4442,,9.4294,,9.6409,,,,,,0.1272,4
2011-05-31 00:33:00,,0.1879,,3.1394,,122.7547,,11.8804,13.5408,9.681,,0.0071,,1.4639,,0.0106999999999999,,10.9814,,9.5057,,9.5297,,9.6896,,,,,,0.1275999999999999,4
2011-05-31 00:34:00,,0.1867999999999999,,3.1179,,122.7168,,11.9384,13.5408,9.7243,,0.0053,,1.3386,,0.0073,,10.9936,,9.4592,,9.4769,,9.6028,,,,,,0.1280999999999999,4
2011-05-31 00:35:00,,0.1860999999999999,,3.1609,,122.6962,,11.923,13.5412,9.7573,,0.003,,1.3158,,0.0047,,11.0159,,9.5388,,9.565,,9.7312,,,,,,0.1272,4
2011-05-31 00:36:00,,0.1862999999999999,,3.1824,,122.7233,,11.9602,13.5398,9.8125,,0.0071,,1.3842,,0.01,,11.0709,,9.6562,,9.6958,,9.8132,,,,,,0.1274,4
2011-05-31 00:37:00,,0.1862999999999999,,3.1394,,122.7403,,12.0667,13.538,9.8595,,0.003,,1.2531,,0.0032,,11.1461,,9.7394,,9.769100000000002,,9.8787,,,,,,0.1274,4
2011-05-31 00:38:00,,0.187,,3.1609,,122.7145,,11.95,13.5371,9.9009,,0.0018,,1.4525,,0.0012999999999999,,11.1282,,9.569400000000002,,9.4908,,9.5849,,,,,,0.1274,4
2011-05-31 00:39:00,,0.1872,,3.1609,,122.6905,,11.8063,13.5353,9.9367,,0.0092999999999999,,1.2873,,0.0126,,11.0891,,9.4587,,9.4651,,9.5747,,,,,,0.1269,4
2011-05-31 00:40:00,,0.1874,,3.1394,,122.7366,,11.7753,13.5357,9.9725,,0.0051999999999999,,1.5152,,0.0088999999999999,,11.081,,9.4273,,9.4217,,9.5179,,,,,,0.1277,4
2011-05-31 00:41:00,,0.1857,,3.1609,,122.7331,,11.8133,13.5343,10.0064,,0.0073,,1.4924,,0.0118,,11.0782,,9.4018,,9.4082,,9.5475,,,,,,0.1280999999999999,4
2011-05-31 00:42:00,,0.1865999999999999,,3.1179,,122.815,,11.7984,13.5348,10.0384,,-0.0014,,1.4525,,-0.0028999999999999,,11.0685,,9.3383,,9.3617,,9.4452,,,,,,0.1283,4
