measured_on,ac_current__319,ac_current_a__3647,ac_current_b__3648,ac_current_c__3649,ac_power__315,ac_va__3652,ac_vars__3651,ac_voltage__318,ac_voltage_a-bn__3644,ac_voltage_a-n__3641,ac_voltage_b-c__3645,ac_voltage_b-n__3642,ac_voltage_c-a__3646,ac_voltage_c-n__3643,ac_w_total__3650,ambient_temp__320,ambient_temp__3603,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_battery_voltage__3656,das_temp__1368,das_temp__325,das_temp__3657,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,frequency__3654,interior_temp__1366,inv1_string1_dc_current__3614,inv1_string1_dc_voltage__3627,inv1_string2_dc_current__3615,inv1_string2_dc_voltage__3628,inv2_string1_dc_current__3616,inv2_string1_dc_voltage__3629,inv2_string2_dc_current__3617,inv2_string2_dc_voltage__3630,inv3_string1_dc_current__3618,inv3_string1_dc_voltage__3631,inv3_string2_dc_current__3619,inv3_string2_dc_voltage__3632,inv4_string1_dc_current__3620,inv4_string1_dc_voltage__3633,inv4_string2_dc_current__3621,inv4_string2_dc_voltage__3634,inv5_string1_dc_current__3622,inv5_string1_dc_voltage__3635,inv5_string2_dc_current__3623,inv5_string2_dc_voltage__3636,inv6_string1_dc_current__3624,inv6_string2_dc_current__3625,inv6_string2_dc_voltage__3638,inv7_string1_dc_current__3626,inv7_string1_dc_voltage__3639,inv7_string2_dc_voltage__3640,inverter_temp__324,licor1_irradiance__3605,licor2_irradiance__3606,licor3_irradiance__3607,licor4_irradiance__3608,licor5_irradiance__3609,module_temp_10__3668,module_temp_11__3669,module_temp_13__3670,module_temp_14__3671,module_temp_15__3672,module_temp_18__3675,module_temp_19__3676,module_temp_1__321,module_temp_1__3658,module_temp_2__322,module_temp_2__3659,module_temp_3__323,module_temp_3__3660,module_temp_4__3661,module_temp_5__3662,module_temp_6__3663,module_temp_7__3664,module_temp_8__3666,module_temp_9__3667,neutral_current__3655,poa_irradiance__313,poa_irradiance__3604,power_factor__327,power_factor__3653,program_codeset__1373,referencemodule1_irradiance__3610,referencemodule1_temp__3611,referencemodule2_irradiance__3612,referencemodule2_temp__3613,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-08-04 00:00:00,0.1893,,,,3.0304,,,122.4617,,,,,,,,21.9369,,,,,13.2852,,,21.4288,,0.0246,1.6397,0.0398999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5529,,,,,,,,,,,,,21.0144,,20.9626,,21.1726,,,,,,,,,-1.3653,,0.1331,,,,,,,,,4
2011-08-04 00:01:00,0.1893,,,,3.0735,,,122.4631,,,,,,,,21.8614,,,,,13.2852,,,21.4491,,0.0202999999999999,1.4974,0.0282999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5767,,,,,,,,,,,,,21.0064,,20.9256,,21.1556,,,,,,,,,-1.3653,,0.1332,,,,,,,,,4
2011-08-04 00:02:00,0.1890999999999999,,,,3.1809,,,122.436,,,,,,,,21.7943,,,,,13.2842,,,21.4514,,0.0189,1.6056,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5713,,,,,,,,,,,,,20.9424,,20.8491,,21.0778,,,,,,,,,-1.3653,,0.1337,,,,,,,,,4
2011-08-04 00:03:00,0.1890999999999999,,,,3.1809,,,122.467,,,,,,,,21.7249,,,,,13.2847,,,21.4514,,0.02,1.3664,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5596,,,,,,,,,,,,,20.8746,,20.8048,,21.0273,,,,,,,,,-1.5434,,0.1333,,,,,,,,,4
2011-08-04 00:04:00,0.1888,,,,3.3314,,,122.4481,,,,,,,,21.6952,,,,,13.2842,,,21.4536,,0.0235,1.3835,0.0323999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5536,,,,,,,,,,,,,20.841,,20.7642,,21.0026,,,,,,,,,-1.5434,,0.1337,,,,,,,,,4
2011-08-04 00:05:00,0.1885999999999999,,,,3.1164,,,122.471,,,,,,,,21.6105,,,,,13.2847,,,21.4717,,0.0198,1.3721,0.0268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5537,,,,,,,,,,,,,20.7879,,20.7243,,20.9689,,,,,,,,,-1.7215,,0.1328,,,,,,,,,4
2011-08-04 00:06:00,0.1890999999999999,,,,3.5463,,,122.4937,,,,,,,,21.5046,,,,,13.2847,,,21.4762,,0.0178,1.4177,0.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5362,,,,,,,,,,,,,20.7088,,20.6562,,20.9023,,,,,,,,,-1.8402,,0.1337,,,,,,,,,4
2011-08-04 00:07:00,0.1888,,,,3.1595,,,122.546,,,,,,,,21.4367,,,,,13.2842,,,21.4785,,0.0224999999999999,1.617,0.0415999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5136,,,,,,,,,,,,,20.6233,,20.5901,,20.8251,,,,,,,,,-1.9589,,0.1326,,,,,,,,,4
2011-08-04 00:08:00,0.1890999999999999,,,,3.1595,,,122.5378,,,,,,,,21.5048,,,,,13.2838,,,21.4785,,0.0228,1.3608,0.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4998,,,,,,,,,,,,,20.5935,,20.5894,,20.8113,,,,,,,,,-2.0776,,0.1333999999999999,,,,,,,,,4
2011-08-04 00:09:00,0.1890999999999999,,,,3.2455,,,122.5076,,,,,,,,21.4701,,,,,13.2847,,,21.4785,,0.0155,1.5316,0.0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.486,,,,,,,,,,,,,20.543,,20.5202,,20.7546,,,,,,,,,-2.137,,0.1328,,,,,,,,,4
