measured_on,ac_current__319,ac_current_a__3647,ac_current_b__3648,ac_current_c__3649,ac_power__315,ac_va__3652,ac_vars__3651,ac_voltage__318,ac_voltage_a-bn__3644,ac_voltage_a-n__3641,ac_voltage_b-c__3645,ac_voltage_b-n__3642,ac_voltage_c-a__3646,ac_voltage_c-n__3643,ac_w_total__3650,ambient_temp__320,ambient_temp__3603,das_battery_voltage__326,das_battery_voltage__3656,das_temp__325,das_temp__3657,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,frequency__3654,inv1_string1_dc_current__3614,inv1_string1_dc_voltage__3627,inv1_string2_dc_current__3615,inv1_string2_dc_voltage__3628,inv2_string1_dc_current__3616,inv2_string1_dc_voltage__3629,inv2_string2_dc_current__3617,inv2_string2_dc_voltage__3630,inv3_string1_dc_current__3618,inv3_string1_dc_voltage__3631,inv3_string2_dc_current__3619,inv3_string2_dc_voltage__3632,inv4_string1_dc_current__3620,inv4_string1_dc_voltage__3633,inv4_string2_dc_current__3621,inv4_string2_dc_voltage__3634,inv5_string1_dc_current__3622,inv5_string1_dc_voltage__3635,inv5_string2_dc_current__3623,inv5_string2_dc_voltage__3636,inv6_string1_dc_current__3624,inv6_string2_dc_current__3625,inv6_string2_dc_voltage__3638,inv7_string1_dc_current__3626,inv7_string1_dc_voltage__3639,inv7_string2_dc_voltage__3640,inverter_temp__324,licor1_irradiance__3605,licor2_irradiance__3606,licor3_irradiance__3607,licor4_irradiance__3608,licor5_irradiance__3609,module_temp_10__3668,module_temp_11__3669,module_temp_13__3670,module_temp_14__3671,module_temp_15__3672,module_temp_18__3675,module_temp_19__3676,module_temp_1__321,module_temp_1__3658,module_temp_2__322,module_temp_2__3659,module_temp_3__323,module_temp_3__3660,module_temp_4__3661,module_temp_5__3662,module_temp_6__3663,module_temp_7__3664,module_temp_8__3666,module_temp_9__3667,neutral_current__3655,poa_irradiance__313,poa_irradiance__3604,power_factor__327,power_factor__3653,referencemodule1_irradiance__3610,referencemodule1_temp__3611,referencemodule2_irradiance__3612,referencemodule2_temp__3613,system_id
2011-08-26 00:00:00,0.1890999999999999,,,,3.3314,,,122.4977,,,,,,,,23.0116,,13.2627,,22.6149,,0.02,1.3778,0.0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6664,,,,,,,,,,,,,22.1636,,22.1788,,22.3166,,,,,,,,,-1.3653,,0.1351,,,,,,4
2011-08-26 00:01:00,0.1890999999999999,,,,3.4819,,,122.5152,,,,,,,,23.0518,,13.2627,,22.6149,,0.0190999999999999,1.4917,0.0276999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6774,,,,,,,,,,,,,22.1705,,22.1994,,22.329,,,,,,,,,-1.1872,,0.1343,,,,,,4
2011-08-26 00:02:00,0.1893,,,,3.5894,,,122.4958,,,,,,,,23.0584,,13.2622,,22.6243,,0.0228,1.3665,0.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6979,,,,,,,,,,,,,22.1799,,22.2089,,22.3246,,,,,,,,,-1.1278,,0.1358,,,,,,4
2011-08-26 00:03:00,0.1893,,,,3.224,,,122.4904,,,,,,,,23.0563,,13.2627,,22.6714,,0.0236999999999999,1.3949,0.0354999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7594,,,,,,,,,,,,,22.2408,,22.2808,,22.3821,,,,,,,,,-1.1872,,0.134,,,,,,4
2011-08-26 00:04:00,0.1888,,,,3.1811,,,122.5803,,,,,,,,22.9904,,13.2627,,22.6781,,0.0213999999999999,1.5601,0.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7662,,,,,,,,,,,,,22.2345,,22.2703,,22.3723,,,,,,,,,-1.3059,,0.1335,,,,,,4
2011-08-26 00:05:00,0.1890999999999999,,,,3.2241,,,122.5523,,,,,,,,22.9996,,13.2627,,22.6985,,0.0198,1.3437,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7879,,,,,,,,,,,,,22.2466,,22.2948,,22.3823,,,,,,,,,-1.2466,,0.1343999999999999,,,,,,4
2011-08-26 00:06:00,0.1893,,,,3.5035,,,122.6146,,,,,,,,22.9962,,13.2623,,22.6985,,0.0231999999999999,1.4064,0.0342999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7906,,,,,,,,,,,,,22.2542,,22.3038,,22.3871,,,,,,,,,-1.0091,,0.1345,,,,,,4
2011-08-26 00:07:00,0.1893,,,,3.3961,,,122.6377,,,,,,,,22.9884,,13.2623,,22.7156,,0.0265999999999999,1.3153,0.0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.816,,,,,,,,,,,,,22.2803,,22.3147,,22.4043,,,,,,,,,-0.9498,,0.1345,,,,,,4
2011-08-26 00:08:00,0.1895,,,,3.2456,,,122.6231,,,,,,,,22.9362,,13.2618,,22.7278,,0.0168999999999999,1.4519,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8131,,,,,,,,,,,,,22.2725,,22.2891,,22.3855,,,,,,,,,-1.3059,,0.134,,,,,,4
2011-08-26 00:09:00,0.1889,,,,3.2671,,,122.5604,,,,,,,,22.7787,,13.2613,,22.7504,,0.0265999999999999,1.469,0.0410999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8102,,,,,,,,,,,,,22.249,,22.2614,,22.3516,,,,,,,,,-1.3653,,0.134,,,,,,4
2011-08-26 00:10:00,0.1893,,,,3.2241,,,122.5139,,,,,,,,22.6752,,13.2604,,22.755,,0.0216,1.3779,0.0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7838,,,,,,,,,,,,,22.1874,,22.2011,,22.2955,,,,,,,,,-1.4246,,0.1346,,,,,,4
2011-08-26 00:11:00,0.1897,,,,3.525,,,122.3745,,,,,,,,22.6627,,13.2613,,22.755,,0.0276,1.3323,0.0371,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7576,,,,,,,,,,,,,22.1419,,22.1777,,22.2638,,,,,,,,,-1.1872,,0.1351999999999999,,,,,,4
2011-08-26 00:12:00,0.1893,,,,3.2026,,,122.3639,,,,,,,,22.6884,,13.2613,,22.755,,0.0223,1.2754,0.0276999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7377,,,,,,,,,,,,,22.0867,,22.1219,,22.2053,,,,,,,,,-1.4246,,0.1342,,,,,,4
2011-08-26 00:13:00,0.1889,,,,3.3746,,,122.3096,,,,,,,,22.6666,,13.2613,,22.7623,,0.0246,1.3437,0.0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.723,,,,,,,,,,,,,22.0259,,22.0789,,22.1513,,,,,,,,,-1.4246,,0.1346,,,,,,4
2011-08-26 00:14:00,0.1893,,,,3.2885,,,122.326,,,,,,,,22.6499,,13.2609,,22.7843,,0.023,1.3494,0.0318999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7237,,,,,,,,,,,,,21.9797,,22.039,,22.1155,,,,,,,,,-1.5434,,0.1337,,,,,,4
2011-08-26 00:15:00,0.1890999999999999,,,,3.482,,,122.3085,,,,,,,,22.6194,,13.2609,,22.7843,,0.0247999999999999,1.3893,0.0347,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7023,,,,,,,,,,,,,21.9238,,22.0052,,22.0603,,,,,,,,,-1.5434,,0.1348999999999999,,,,,,4
2011-08-26 00:16:00,0.1893,,,,3.3744,,,122.3544,,,,,,,,22.5896,,13.2618,,22.7843,,0.0189,1.3209,0.0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6817,,,,,,,,,,,,,21.8742,,21.9645,,22.0148,,,,,,,,,-1.484,,0.1353999999999999,,,,,,4
2011-08-26 00:17:00,0.1893,,,,3.2885,,,122.4138,,,,,,,,22.5886,,13.2609,,22.7888,,0.0172999999999999,1.2583,0.0208999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6683,,,,,,,,,,,,,21.8373,,21.9387,,21.9863,,,,,,,,,-1.4247,,0.1348,,,,,,4
2011-08-26 00:18:00,0.1884,,,,3.2885,,,122.3067,,,,,,,,22.64,,13.2609,,22.7911,,0.0168999999999999,1.6056,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6609,,,,,,,,,,,,,21.8285,,21.9244,,22.0057,,,,,,,,,-1.484,,0.1342,,,,,,4
2011-08-26 00:19:00,0.1890999999999999,,,,3.4175,,,122.3257,,,,,,,,22.675,,13.2604,,22.7956,,0.0212,1.3323,0.0277999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6544,,,,,,,,,,,,,21.8089,,21.9117,,21.9785,,,,,,,,,-1.6027,,0.135,,,,,,4
2011-08-26 00:20:00,0.1893,,,,3.2671,,,122.4113,,,,,,,,22.7324,,13.2609,,22.8114,,0.0303,1.3779,0.0432,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6613,,,,,,,,,,,,,21.813,,21.9406,,21.9992,,,,,,,,,-1.5433,,0.1346,,,,,,4
2011-08-26 00:21:00,0.1885999999999999,,,,3.3531,,,122.4063,,,,,,,,22.7684,,13.2604,,22.8114,,0.0195999999999999,1.3494,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6544,,,,,,,,,,,,,21.8033,,21.9178,,21.9854,,,,,,,,,-1.484,,0.1348,,,,,,4
