measured_on,ac_current__319,ac_meter_1_power_kw__1041,ac_meter_2_power_kw__1042,ac_power__1137,ac_power__315,ac_power_metered_kw__1040,ac_voltage__318,ambient_temp__1053,ambient_temp__320,ambient_temp_f__17,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__1136,dc_power__314,intsolirrad__16,inv1_ac_power_kw__1043,inv1_dc_current__1045,inv1_dc_power__1134,inv1_dc_voltage__1044,inv1_temp__1046,inv2_ac_power_kw__1047,inv2_dc_current__1049,inv2_dc_power__1135,inv2_dc_voltage__1048,inv2_temp__1050,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp__1056,module_temp_f__18,poa_irradiance__1055,poa_irradiance__313,poa_irradiance_refcell__1054,power_factor__327,refcell_temp__1052,wind_speed__1051,wind_speed_mph__19,system_id
2011-12-20 00:00:00,0.1849,,,,3.4021,,122.2365,,-5.6604,,13.9998,-5.7246,-0.0112,2.1332,,-0.0216,,,,,,,,,,,,-5.9852,-6.1343,-6.4034,-6.1818,,,,-0.7737,,0.1237,,,,4
2011-12-20 00:01:00,0.1850999999999999,,,,3.4236,,122.1852,,-5.6838,,13.9993,-5.7135,-0.0105,1.9735,,-0.0189,,,,,,,,,,,,-5.9814,-6.1334,-6.3982,-6.1736,,,,-0.7737,,0.1237999999999999,,,,4
2011-12-20 00:02:00,0.1844,,,,3.4667,,122.1852,,-5.6537,,13.9993,-5.7003,-0.0114,2.1618,,-0.0251,,,,,,,,,,,,-5.9777,-6.129,-6.3989,-6.1634,,,,-0.7737,,0.1234,,,,4
2011-12-20 00:03:00,0.184,,,,3.4882,,122.1407,,-5.6839,,13.9993,-5.7003,-0.0141,2.1732,,-0.0300999999999999,,,,,,,,,,,,-5.9857,-6.1407,-6.4098,-6.1706,,,,-0.7142,,0.1236,,,,4
2011-12-20 00:04:00,0.1845999999999999,,,,3.4451,,122.1663,,-5.6701,,13.9993,-5.6777,-0.003,2.0762,,-0.0077,,,,,,,,,,,,-5.977,-6.1385,-6.4252,-6.1758,,,,-0.7737,,0.1237,,,,4
2011-12-20 00:05:00,0.1845999999999999,,,,3.4451,,122.1852,,-5.7079,,13.9989,-5.6692,-0.0088999999999999,2.0819,,-0.0166,,,,,,,,,,,,-5.9824,-6.1512,-6.4299,-6.1798,,,,-0.7737,,0.1233,,,,4
2011-12-20 00:06:00,0.1852999999999999,,,,3.3375,,122.2091,,-5.6564,,13.9989,-5.6574,-0.0152999999999999,2.1561,,-0.0298999999999999,,,,,,,,,,,,-5.9742,-6.1408,-6.4136,-6.1606,,,,-0.8927,,0.1234,,,,4
2011-12-20 00:07:00,0.1850999999999999,,,,3.3805,,122.1852,,-5.6086,,13.9993,-5.6574,-0.0144,2.1332,,-0.033,,,,,,,,,,,,-5.9756,-6.1518,-6.4166,-6.1737,,,,-0.7142,,0.1242999999999999,,,,4
2011-12-20 00:08:00,0.1850999999999999,,,,3.4451,,122.1612,,-5.5938,,13.9989,-5.6367,-0.0051999999999999,2.2872,,-0.0112999999999999,,,,,,,,,,,,-5.9629,-6.1515,-6.4163,-6.1823,,,,-0.7737,,0.1239,,,,4
2011-12-20 00:09:00,0.1849,,,,3.4451,,122.1441,,-5.6148,,13.9984,-5.6254,-0.0171,2.3614,,-0.0393,,,,,,,,,,,,-5.9604,-6.1658,-6.4416,-6.1878,,,,-0.8927,,0.1244,,,,4
2011-12-20 00:10:00,0.1845999999999999,,,,3.5097,,122.0705,,-5.6303,,13.9989,-5.6122,-0.0097999999999999,1.9906,,-0.0196999999999999,,,,,,,,,,,,-5.9626,-6.1819,-6.4554,-6.198,,,,-0.7142,,0.1231,,,,4
2011-12-20 00:11:00,0.1850999999999999,,,,3.4236,,122.0637,,-5.6567,,13.9979,-5.6122,-0.0195999999999999,2.3044,,-0.0453,,,,,,,,,,,,-5.967,-6.2009,-6.4803,-6.2199,,,,-0.8332,,0.1241,,,,4
2011-12-20 00:12:00,0.1842,,,,3.4236,,122.0808,,-5.666,,13.997,-5.5986,-0.0119,2.1104,,-0.0230999999999999,,,,,,,,,,,,-5.9629,-6.1983,-6.4689,-6.2136,,,,-0.7737,,0.123,,,,4
2011-12-20 00:13:00,0.1845999999999999,,,,3.3375,,122.0773,,-5.6702,,13.9952,-5.5919,-0.0086999999999999,1.945,,-0.0177,,,,,,,,,,,,-5.9649,-6.2178,-6.5024,-6.2302,,,,-0.7737,,0.1235,,,,4
2011-12-20 00:14:00,0.1844,,,,3.4236,,122.0842,,-5.6719,,13.997,-5.573,-0.0125,2.1218,,-0.0254999999999999,,,,,,,,,,,,-5.9577,-6.2216,-6.4915,-6.2224,,,,-0.8332,,0.1234,,,,4
2011-12-20 00:15:00,0.1845999999999999,,,,3.4236,,122.0722,,-5.6654,,13.9966,-5.5467,-0.0041,2.1047,,-0.0109,,,,,,,,,,,,-5.9401,-6.223,-6.4973,-6.2281,,,,-0.8332,,0.124,,,,4
2011-12-20 00:16:00,0.1845999999999999,,,,3.4236,,121.9849,,-5.6801,,13.9947,-5.5467,-0.0041,2.2416,,-0.0104,,,,,,,,,,,,-5.9503,-6.234,-6.501,-6.2355,,,,-0.8332,,0.1241,,,,4
2011-12-20 00:17:00,0.1844,,,,3.3805,,122.0483,,-5.66,,13.9947,-5.528,-0.0105,2.2074,,-0.0213999999999999,,,,,,,,,,,,-5.9368,-6.2329,-6.4904,-6.2285,,,,-0.7737,,0.1234,,,,4
2011-12-20 00:18:00,0.1857,,,,3.4236,,122.1099,,-5.6679,,13.9943,-5.5264,-0.0125,2.3671,,-0.0298999999999999,,,,,,,,,,,,-5.9475,-6.2451,-6.504,-6.229,,,,-0.9522,,0.1236,,,,4
2011-12-20 00:19:00,0.1845999999999999,,,,3.3805,,122.0842,,-5.6413,,13.9952,-5.5056,-0.0103,2.0306,,-0.0189,,,,,,,,,,,,-5.9327,-6.2397,-6.495,-6.2258,,,,-0.8927,,0.124,,,,4
2011-12-20 00:20:00,0.1850999999999999,,,,3.359,,122.1047,,-5.632,,13.9943,-5.5038,-0.01,2.1903,,-0.0221,,,,,,,,,,,,-5.9395,-6.2393,-6.4865,-6.2195,,,,-0.7737,,0.1229,,,,4
2011-12-20 00:21:00,0.1850999999999999,,,,3.4667,,122.0859,,-5.6431,,13.9938,-5.5038,-0.0115999999999999,2.253,,-0.0265999999999999,,,,,,,,,,,,-5.9425,-6.2619,-6.5239,-6.2451,,,,-0.7737,,0.1239,,,,4
2011-12-20 00:22:00,0.1837999999999999,,,,3.4021,,122.091,,-5.6493,,13.9943,-5.4953,-0.0155,2.0648,,-0.0357999999999999,,,,,,,,,,,,-5.9384,-6.2673,-6.5241,-6.249,,,,-0.7737,,0.1241,,,,4
2011-12-20 00:23:00,0.1850999999999999,,,,3.359,,122.0876,,-5.6352,,13.9938,-5.4834,-0.0171,2.2473,,-0.0381,,,,,,,,,,,,-5.9279,-6.2642,-6.5269,-6.2525,,,,-0.7142,,0.1239,,,,4
2011-12-20 00:24:00,0.1844,,,,3.4021,,122.1013,,-5.6421,,13.9943,-5.4778,-0.0097999999999999,2.196,,-0.0212,,,,,,,,,,,,-5.9296,-6.2608,-6.5095,-6.2513,,,,-0.9522,,0.123,,,,4
2011-12-20 00:25:00,0.1844,,,,3.4882,,122.1235,,-5.628,,13.9938,-5.4608,-0.005,2.042,,-0.0076,,,,,,,,,,,,-5.917,-6.2577,-6.5152,-6.2555,,,,-0.9522,,0.1242999999999999,,,,4
2011-12-20 00:26:00,0.1842,,,,3.3375,,122.1407,,-5.6391,,13.9938,-5.4608,-0.0128,1.9735,,-0.0242999999999999,,,,,,,,,,,,-5.9192,-6.265,-6.5203,-6.2577,,,,-1.0118,,0.1241,,,,4
2011-12-20 00:27:00,0.1862,,,,3.4882,,122.0739,,-5.6463,,13.9938,-5.4571,-0.0103,2.0192,,-0.0225999999999999,,,,,,,,,,,,-5.9162,-6.2612,-6.507,-6.2568,,,,-0.7737,,0.1234,,,,4
2011-12-20 00:28:00,0.1852999999999999,,,,3.4236,,122.0705,,-5.6245,,13.9938,-5.4382,-0.0115999999999999,2.1389,,-0.023,,,,,,,,,,,,-5.909,-6.2424,-6.494,-6.2402,,,,-0.9522,,0.1242,,,,4
2011-12-20 00:29:00,0.1842,,,,3.4667,,122.103,,-5.6076,,13.9938,-5.4382,-0.0141,2.0819,,-0.0308,,,,,,,,,,,,-5.9017,-6.2409,-6.4904,-6.2365,,,,-0.8332,,0.1242,,,,4
2011-12-20 00:30:00,0.1844,,,,3.4667,,122.1184,,-5.5689,,13.9938,-5.423,-0.0121,2.1218,,-0.0236999999999999,,,,,,,,,,,,-5.8843,-6.2249,-6.4744,-6.2278,,,,-0.8332,,0.124,,,,4
2011-12-20 00:31:00,0.1845999999999999,,,,3.4021,,122.1081,,-5.5418,,13.9938,-5.4179,-0.0103,2.2416,,-0.0211,,,,,,,,,,,,-5.8799,-6.2096,-6.4575,-6.2118,,,,-0.9522,,0.1236,,,,4
2011-12-20 00:32:00,0.1849,,,,3.4021,,122.1133,,-5.5043,,13.9938,-5.4179,-0.0137,1.8766,,-0.0223,,,,,,,,,,,,-5.874,-6.1854,-6.4341,-6.1788,,,,-0.9522,,0.1239,,,,4
2011-12-20 00:33:00,0.1852999999999999,,,,3.4236,,121.9336,,-5.4919,,13.9938,-5.4085,-0.0067999999999999,2.042,,-0.0124,,,,,,,,,,,,-5.8646,-6.1716,-6.4232,-6.1774,,,,-0.8332,,0.1242,,,,4
2011-12-20 00:34:00,0.1855,,,,3.3805,,122.0003,,-5.5405,,13.9938,-5.3953,-0.0112,2.1218,,-0.0230999999999999,,,,,,,,,,,,-5.8529,-6.1504,-6.4005,-6.1599,,,,-0.8927,,0.1237999999999999,,,,4
2011-12-20 00:35:00,0.1844,,,,3.3805,,122.0842,,-5.5574,,13.9938,-5.3953,-0.0114,1.8138,,-0.0206,,,,,,,,,,,,-5.858,-6.1409,-6.3983,-6.1584,,,,-0.7142,,0.1235,,,,4
2011-12-20 00:36:00,0.1850999999999999,,,,3.3805,,122.0431,,-5.5905,,13.9938,-5.3821,-0.0125,2.1675,,-0.0281,,,,,,,,,,,,-5.8536,-6.1372,-6.4041,-6.1701,,,,-0.7142,,0.1241,,,,4
2011-12-20 00:37:00,0.1850999999999999,,,,3.4236,,122.0243,,-5.6141,,13.9938,-5.3727,-0.0086999999999999,2.0534,,-0.0185999999999999,,,,,,,,,,,,-5.8478,-6.1277,-6.3947,-6.1489,,,,-0.7142,,0.1242,,,,4
2011-12-20 00:38:00,0.1845999999999999,,,,3.4451,,122.0654,,-5.6288,,13.9938,-5.3727,-0.0088999999999999,1.9792,,-0.0176,,,,,,,,,,,,-5.8522,-6.1277,-6.3881,-6.1526,,,,-0.8332,,0.1228,,,,4
2011-12-20 00:39:00,0.1842,,,,3.4021,,122.0465,,-5.6256,,13.9938,-5.3541,-0.0088999999999999,2.3215,,-0.0207999999999999,,,,,,,,,,,,-5.8431,-6.1076,-6.3789,-6.1266,,,,-0.7142,,0.1241,,,,4
2011-12-20 00:40:00,0.1844,,,,3.5097,,122.0123,,-5.6121,,13.9938,-5.3524,-0.0155,2.2017,,-0.0330999999999999,,,,,,,,,,,,-5.8436,-6.1081,-6.3721,-6.1323,,,,-0.7142,,0.1239,,,,4
2011-12-20 00:41:00,0.1845999999999999,,,,3.4236,,122.0654,,-5.6014,,13.9938,-5.3505,-0.016,1.9678,,-0.0298999999999999,,,,,,,,,,,,-5.8453,-6.096,-6.3512,-6.1055,,,,-0.7142,,0.1239,,,,4
2011-12-20 00:42:00,0.1844,,,,3.4021,,122.0072,,-5.5896,,13.9938,-5.3336,-0.0077999999999999,2.2587,,-0.016,,,,,,,,,,,,-5.8313,-6.0717,-6.3225,-6.0856,,,,-0.7142,,0.1231,,,,4
2011-12-20 00:43:00,0.1852999999999999,,,,3.4451,,122.0038,,-5.5851,,13.9938,-5.3298,-0.0141,2.3899,,-0.0328,,,,,,,,,,,,-5.8341,-6.0679,-6.329,-6.0877,,,,-0.7142,,0.1233,,,,4
2011-12-20 00:44:00,0.1852999999999999,,,,3.2944,,121.9644,,-5.5631,,13.9938,-5.3298,-0.0088999999999999,1.8652,,-0.0164,,,,,,,,,,,,-5.8385,-6.0621,-6.3268,-6.0818,,,,-0.7142,,0.124,,,,4
2011-12-20 00:45:00,0.1850999999999999,,,,3.4021,,122.0209,,-5.544,,13.9938,-5.3298,-0.0128,2.0021,,-0.0241999999999999,,,,,,,,,,,,-5.8385,-6.0606,-6.3122,-6.0782,,,,-0.7142,,0.1242,,,,4
2011-12-20 00:46:00,0.1845999999999999,,,,3.4451,,122.0705,,-5.5436,,13.9938,-5.3147,-0.0119,2.1903,,-0.0258999999999999,,,,,,,,,,,,-5.8241,-6.0506,-6.3073,-6.0748,,,,-0.7142,,0.1235,,,,4
2011-12-20 00:47:00,0.1845999999999999,,,,3.4021,,122.0893,,-5.5199,,13.9938,-5.3072,-0.0132,2.1161,,-0.0287,,,,,,,,,,,,-5.8209,-6.0387,-6.2873,-6.0541,,,,-0.7142,,0.1237999999999999,,,,4
2011-12-20 00:48:00,0.1845999999999999,,,,3.3375,,122.0962,,-5.4861,,13.9938,-5.3072,-0.008,2.0933,,-0.016,,,,,,,,,,,,-5.8268,-6.0511,-6.3232,-6.0716,,,,-0.7142,,0.1237,,,,4
2011-12-20 00:49:00,0.1852999999999999,,,,3.359,,122.103,,-5.4517,,13.9938,-5.297,-0.0132,2.0192,,-0.0273,,,,,,,,,,,,-5.8188,-6.0505,-6.3086,-6.0753,,,,-0.6547,,0.1232,,,,4
2011-12-20 00:50:00,0.1849,,,,3.4236,,122.091,,-5.3953,,13.9938,-5.2869,-0.0073,2.2872,,-0.0165,,,,,,,,,,,,-5.8013,-6.0374,-6.2977,-6.0403,,,,-0.7142,,0.1235,,,,4
2011-12-20 00:51:00,0.1849,,,,3.359,,122.0859,,-5.3813,,13.9938,-5.2869,-0.0164,2.3557,,-0.0347,,,,,,,,,,,,-5.8057,-6.0469,-6.3137,-6.0629,,,,-0.7142,,0.1239,,,,4
2011-12-20 00:52:00,0.1845999999999999,,,,3.3159,,122.0825,,-5.3696,,13.9938,-5.2869,-0.0144,2.196,,-0.0309,,,,,,,,,,,,-5.8028,-6.0469,-6.3218,-6.0607,,,,-0.8332,,0.1246,,,,4
2011-12-20 00:53:00,0.1845999999999999,,,,3.4667,,122.0791,,-5.3677,,13.9938,-5.285,-0.0123,2.1903,,-0.0286,,,,,,,,,,,,-5.7943,-6.0457,-6.3279,-6.0662,,,,-0.7737,,0.1242,,,,4
2011-12-20 00:54:00,0.1849,,,,3.2729,,122.0996,,-5.4351,,13.9938,-5.2643,-0.0058999999999999,2.0477,,-0.0095999999999999,,,,,,,,,,,,-5.7875,-6.0432,-6.3357,-6.082,,,,-0.9523,,0.1247,,,,4
2011-12-20 00:55:00,0.1850999999999999,,,,3.4451,,122.0722,,-5.4828,,13.9934,-5.2643,-0.0027,1.9735,,-0.0051,,,,,,,,,,,,-5.7904,-6.0527,-6.3511,-6.0915,,,,-0.7142,,0.1239,,,,4
2011-12-20 00:56:00,0.1865999999999999,,,,3.4451,,122.0722,,-5.5144,,13.9929,-5.2643,-0.0097999999999999,1.8309,,-0.0158,,,,,,,,,,,,-5.7904,-6.0688,-6.3606,-6.1017,,,,-0.8927,,0.1237,,,,4
2011-12-20 00:57:00,0.1852999999999999,,,,3.3805,,122.0927,,-5.5085,,13.9938,-5.2473,-0.0137,2.0021,,-0.0293999999999999,,,,,,,,,,,,-5.7851,-6.0701,-6.3795,-6.1008,,,,-0.8332,,0.124,,,,4
2011-12-20 00:58:00,0.1837999999999999,,,,3.3375,,122.0602,,-5.461,,13.9938,-5.2439,-0.0074999999999999,1.9906,,-0.0181,,,,,,,,,,,,-5.7781,-6.0719,-6.3834,-6.1033,,,,-0.8927,,0.1245,,,,4
2011-12-20 00:59:00,0.1844,,,,3.4667,,122.1013,,-5.4676,,13.9938,-5.2439,-0.0095999999999999,1.9906,,-0.0177,,,,,,,,,,,,-5.7839,-6.0931,-6.4061,-6.1209,,,,-1.0118,,0.1235,,,,4
2011-12-20 01:00:00,0.1855,,,,3.3805,,122.1492,,-5.4302,,13.9938,-5.2439,-0.0094,1.8309,,-0.0176,,,,,,,,,,,,-5.7796,-6.104,-6.4076,-6.1238,,,,-0.7142,,0.1241,,,,4
2011-12-20 01:01:00,0.1845999999999999,,,,3.4021,,122.18,,-5.4074,,13.9929,-5.2439,-0.0183,2.0135,,-0.0359,,,,,,,,,,,,-5.7847,-6.0996,-6.39,-6.1194,,,,-1.0118,,0.1231,,,,4
2011-12-20 01:02:00,0.1844,,,,3.4236,,122.1646,,-5.3957,,13.9934,-5.2439,-0.0088999999999999,1.9849,,-0.0193,,,,,,,,,,,,-5.7861,-6.0938,-6.398,-6.1223,,,,-0.8927,,0.1241,,,,4
2011-12-20 01:03:00,0.1842,,,,3.3805,,122.05,,-5.3703,,13.9915,-5.2289,-0.0082,2.2473,,-0.0151,,,,,,,,,,,,-5.7674,-6.067,-6.361,-6.1028,,,,-0.8332,,0.1236,,,,4
2011-12-20 01:04:00,0.1852999999999999,,,,3.4236,,122.0808,,-5.3488,,13.9938,-5.2214,-0.0151,2.0363,,-0.0345,,,,,,,,,,,,-5.7533,-6.0485,-6.3512,-6.0858,,,,-0.7142,,0.1234,,,,4
2011-12-20 01:05:00,0.1842,,,,3.4667,,122.0842,,-5.34,,13.9924,-5.2214,-0.0095999999999999,2.0648,,-0.0217,,,,,,,,,,,,-5.7489,-6.0346,-6.3241,-6.0675,,,,-0.8332,,0.1237,,,,4
2011-12-20 01:06:00,0.1850999999999999,,,,3.359,,122.1047,,-5.2827,,13.9915,-5.2214,-0.0074999999999999,2.0021,,-0.0146,,,,,,,,,,,,-5.7474,-6.0149,-6.3029,-6.0507,,,,-0.7142,,0.1242,,,,4
2011-12-20 01:07:00,0.1849,,,,3.4236,,122.1441,,-5.2054,,13.9934,-5.2101,-0.0054999999999999,1.848,,-0.0094999999999999,,,,,,,,,,,,-5.7361,-5.9904,-6.2872,-6.035,,,,-0.7142,,0.1237,,,,4
2011-12-20 01:08:00,0.1842,,,,3.4451,,122.1441,,-5.1662,,13.9906,-5.1988,-0.0083999999999999,1.9678,,-0.0173999999999999,,,,,,,,,,,,-5.7248,-5.9806,-6.2847,-6.0193,,,,-0.7142,,0.1247,,,,4
2011-12-20 01:09:00,0.1849,,,,3.3375,,122.18,,-5.1537,,13.9901,-5.1988,-0.0128,2.0477,,-0.0262,,,,,,,,,,,,-5.7285,-5.9798,-6.2672,-5.9594,,,,-0.7142,,0.1242,,,,4
2011-12-20 01:10:00,0.1849,,,,3.3375,,122.2125,,-5.117,,13.9911,-5.1988,-0.0112,2.1275,,-0.0248999999999999,,,,,,,,,,,,-5.7263,-5.9718,-6.2811,-5.9791,,,,-0.6547,,0.1233,,,,4
2011-12-20 01:11:00,0.1850999999999999,,,,3.4236,,122.2074,,-5.0961,,13.9906,-5.1903,-0.0103,2.0192,,-0.021,,,,,,,,,,,,-5.7119,-5.9618,-6.255,-5.9669,,,,-0.5952,,0.1237999999999999,,,,4
2011-12-20 01:12:00,0.1845999999999999,,,,3.4667,,122.1715,,-5.0622,,13.9883,-5.1784,-0.0066,2.1104,,-0.0131,,,,,,,,,,,,-5.6993,-5.939,-6.2212,-5.9163,,,,-0.5952,,0.1239,,,,4
2011-12-20 01:13:00,0.1845999999999999,,,,3.4451,,122.1372,,-5.0211,,13.9888,-5.1784,-0.0095999999999999,1.9735,,-0.0176,,,,,,,,,,,,-5.6877,-5.9229,-6.2058,-5.9185,,,,-0.5355999999999999,,0.1241,,,,4
2011-12-20 01:14:00,0.1844,,,,3.3805,,122.1099,,-5.0054,,13.9883,-5.1671,-0.0121,2.1561,,-0.027,,,,,,,,,,,,-5.6712,-5.9079,-6.1879,-5.9174,,,,-0.5355999999999999,,0.1245,,,,4
2011-12-20 01:15:00,0.1845999999999999,,,,3.4021,,122.0842,,-5.0183,,13.9888,-5.1558,-0.0086999999999999,1.8823,,-0.0158,,,,,,,,,,,,-5.6621,-5.9156,-6.2183,-5.9222,,,,-0.5355999999999999,,0.1242999999999999,,,,4
2011-12-20 01:16:00,0.1849,,,,3.4021,,122.0551,,-5.047,,13.9883,-5.1558,-0.0152999999999999,2.1732,,-0.0332,,,,,,,,,,,,-5.6643,-5.9134,-6.211,-5.9025,,,,-0.4761,,0.1244,,,,4
2011-12-20 01:17:00,0.1850999999999999,,,,3.359,,122.0756,,-5.0499,,13.9883,-5.1558,-0.0077999999999999,1.7568,,-0.0164,,,,,,,,,,,,-5.6643,-5.9244,-6.2212,-5.9178,,,,-0.2975999999999999,,0.1255,,,,4
2011-12-20 01:18:00,0.1845999999999999,,,,3.4236,,122.0825,,-5.0346,,13.9883,-5.1464,-0.0106999999999999,2.2587,,-0.0229,,,,,,,,,,,,-5.6534,-5.9047,-6.2125,-5.9055,,,,-0.7142,,0.1244,,,,4
2011-12-20 01:19:00,0.1845999999999999,,,,3.4236,,122.0825,,-5.017,,13.9883,-5.1332,-0.0105,2.0021,,-0.0188,,,,,,,,,,,,-5.6395,-5.893,-6.1956,-5.9025,,,,-0.6547,,0.1245,,,,4
2011-12-20 01:20:00,0.1852999999999999,,,,3.4667,,122.1321,,-5.0126,,13.9883,-5.1332,-0.0043,1.8766,,-0.0068999999999999,,,,,,,,,,,,-5.6366,-5.8886,-6.1773,-5.8981,,,,-0.5355999999999999,,0.1244,,,,4
