measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,inverter_temp__256,inverter_temp__324,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_2__322,module_temp_3__255,module_temp_3__323,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__313,power_factor__327,system_id
2011-12-22 00:00:00,,0.1849,,3.359,,122.2211,,-3.6662,13.9147,-2.6119,,-0.0103,,2.0591,,-0.0212999999999999,,-3.3989,,-3.5064,,-3.5108,,-3.5079,,,,,,-0.0594999999999999,0.1229,4
2011-12-22 00:01:00,,0.1849,,3.359,,122.2895,,-3.6531,13.9147,-2.6119,,0.0005,,2.2302,,-0.0004,,-3.404,,-3.5043,,-3.5007,,-3.5021,,,,,,-0.1189999999999999,0.1235,4
2011-12-22 00:02:00,,0.1849,,3.3375,,121.6992,,-3.6553,13.9138,-2.6119,,-0.0121,,2.196,,-0.0264,,-3.4062,,-3.5079,,-3.5014,,-3.5028,,,,,,0.0,0.1228,4
2011-12-22 00:03:00,,0.1844,,3.3375,,121.2817,,-3.6545,13.9152,-2.6119,,0.0005,,1.945,,0.0044999999999999,,-3.4084,,-3.5043,,-3.5006,,-3.5057,,,,,,0.0,0.1222,4
2011-12-22 00:04:00,,0.1849,,3.3805,,121.2663,,-3.656,13.9166,-2.6119,,-0.0109999999999999,,2.0534,,-0.0236999999999999,,-3.4091,,-3.505,,-3.5014,,-3.5006,,,,,,0.0,0.1229,4
2011-12-22 00:05:00,,0.1855,,3.3375,,121.3193,,-3.6626,13.917,-2.6119,,-0.0115999999999999,,1.9849,,-0.0239,,-3.4069,,-3.5093,,-3.5014,,-3.5043,,,,,,0.0,0.1227,4
2011-12-22 00:06:00,,0.1855,,3.359,,121.2235,,-3.6721,13.9152,-2.6119,,-0.0054999999999999,,2.1561,,-0.012,,-3.4084,,-3.5079,,-3.5013,,-3.5035,,,,,,0.0,0.1228,4
2011-12-22 00:07:00,,0.1849,,3.2944,,121.7625,,-3.6772,13.9161,-2.6119,,-0.0112,,2.0534,,-0.0218999999999999,,-3.4134,,-3.5086,,-3.4999,,-3.5006,,,,,,-0.1189999999999999,0.1223999999999999,4
2011-12-22 00:08:00,,0.1845999999999999,,3.4021,,121.9285,,-3.6757,13.9175,-2.6119,,-0.0045999999999999,,1.9792,,-0.0077,,-3.4134,,-3.5057,,-3.4999,,-3.5028,,,,,,-0.0594999999999999,0.1232,4
2011-12-22 00:09:00,,0.1850999999999999,,3.359,,121.9456,,-3.6838,13.917,-2.6119,,-0.003,,2.1504,,-0.0077,,-3.4142,,-3.513,,-3.5057,,-3.5093,,,,,,0.0,0.1235,4
2011-12-22 00:10:00,,0.1849,,3.359,,121.9576,,-3.6933,13.9166,-2.6119,,-0.0082,,2.3443,,-0.0183,,-3.4135,,-3.5101,,-3.5064,,-3.5159,,,,,,-0.2379999999999999,0.1235,4
2011-12-22 00:11:00,,0.1852999999999999,,3.4451,,121.9884,,-3.6918,13.9175,-2.6119,,-0.0135,,2.1789,,-0.0269,,-3.4142,,-3.5145,,-3.5116,,-3.5174,,,,,,0.0,0.1221,4
2011-12-22 00:12:00,,0.1850999999999999,,3.3159,,121.973,,-3.7109,13.9175,-2.6119,,-0.008,,2.0192,,-0.0167,,-3.4178,,-3.5225,,-3.5145,,-3.5166,,,,,,0.0,0.1231,4
2011-12-22 00:13:00,,0.1849,,3.3375,,121.9781,,-3.7357,13.9175,-2.6119,,-0.0115999999999999,,2.1104,,-0.0273,,-3.4287,,-3.529,,-3.5181,,-3.5261,,,,,,0.0,0.1233,4
2011-12-22 00:14:00,,0.1845999999999999,,3.359,,121.8481,,-3.7415,13.9175,-2.6119,,-0.0135,,2.0933,,-0.0307,,-3.4309,,-3.5326,,-3.5181,,-3.5297,,,,,,0.0,0.1231,4
2011-12-22 00:15:00,,0.1857,,3.3805,,121.8018,,-3.7306,13.917,-2.6119,,-0.0167,,2.1789,,-0.0364999999999999,,-3.4309,,-3.5326,,-3.5217,,-3.5311,,,,,,0.0,0.1227,4
2011-12-22 00:16:00,,0.1844,,3.3375,,121.9062,,-3.7488,13.9175,-2.6119,,-0.0201,,2.1618,,-0.0393999999999999,,-3.4367,,-3.5355,,-3.5268,,-3.5348,,,,,,0.0,0.1228,4
2011-12-22 00:17:00,,0.1852999999999999,,3.2944,,121.9285,,-3.7525,13.9175,-2.6119,,-0.0057,,2.0876,,-0.0145,,-3.4476,,-3.5384,,-3.5348,,-3.5435,,,,,,0.0,0.1223999999999999,4
2011-12-22 00:18:00,,0.1849,,3.4236,,121.9302,,-3.7635,13.9175,-2.6119,,-0.005,,2.1218,,-0.0148,,-3.4476,,-3.5471,,-3.5384,,-3.5508,,,,,,0.0,0.123,4
2011-12-22 00:19:00,,0.1862,,3.359,,121.9285,,-3.7851,13.9175,-2.6138,,-0.0119,,1.9222,,-0.0223,,-3.4509,,-3.5555,,-3.5505,,-3.5548,,,,,,-0.0594999999999999,0.1235,4
2011-12-22 00:20:00,,0.1862,,3.4021,,121.9285,,-3.809,13.9175,-2.6289,,-0.0066,,2.0021,,-0.0115999999999999,,-3.4668,,-3.5794,,-3.5721,,-3.5743,,,,,,0.0,0.1233,4
2011-12-22 00:21:00,,0.1855,,3.359,,121.949,,-3.8601,13.9175,-2.6345,,-0.0074999999999999,,1.8823,,-0.0132999999999999,,-3.4848,,-3.6018,,-3.5923,,-3.5938,,,,,,0.0,0.1237,4
2011-12-22 00:22:00,,0.1850999999999999,,3.359,,121.9336,,-3.8564,13.9175,-2.6345,,-0.0111,,2.0876,,-0.0241,,-3.4891,,-3.6032,,-3.5967,,-3.609,,,,,,0.0,0.1228,4
2011-12-22 00:23:00,,0.1852999999999999,,3.4236,,121.9558,,-3.8622,13.9175,-2.6345,,-0.0106999999999999,,1.9963,,-0.02,,-3.5022,,-3.6105,,-3.6083,,-3.6126,,,,,,0.0,0.1231,4
2011-12-22 00:24:00,,0.1852999999999999,,3.3805,,121.9884,,-3.8798,13.9175,-2.6345,,-0.0037,,1.9165,,-0.0063,,-3.5058,,-3.6155,,-3.6134,,-3.6177,,,,,,0.0,0.1232,4
2011-12-22 00:25:00,,0.1845999999999999,,3.3375,,121.9815,,-3.8856,13.9175,-2.6345,,-0.0097999999999999,,2.3215,,-0.0211,,-3.5102,,-3.6235,,-3.6185,,-3.625,,,,,,-0.1189999999999999,0.1227,4
2011-12-22 00:26:00,,0.1845999999999999,,3.4236,,121.9952,,-3.8915,13.9175,-2.6345,,-0.0115999999999999,,1.9735,,-0.0221,,-3.5189,,-3.633,,-3.6294,,-3.6337,,,,,,-0.0594999999999999,0.1231,4
2011-12-22 00:27:00,,0.1845999999999999,,3.3805,,121.9405,,-3.9215,13.9179,-2.6345,,-0.0057,,2.0762,,-0.0106999999999999,,-3.5276,,-3.6446,,-3.641,,-3.6461,,,,,,0.0,0.1221,4
2011-12-22 00:28:00,,0.1849,,3.4451,,121.9353,,-3.9215,13.9175,-2.6345,,-0.0115999999999999,,2.2872,,-0.0231999999999999,,-3.5378,,-3.6483,,-3.6461,,-3.6468,,,,,,0.0,0.1232,4
2011-12-22 00:29:00,,0.1845999999999999,,3.3805,,121.9336,,-3.9507,13.9175,-2.6447,,-0.0077999999999999,,2.196,,-0.0178,,-3.5538,,-3.6708,,-3.6665,,-3.6665,,,,,,-0.0594999999999999,0.1237,4
2011-12-22 00:30:00,,0.1845999999999999,,3.4236,,121.9319,,-3.9749,13.9175,-2.6548,,-0.0082,,2.2131,,-0.0172,,-3.5757,,-3.6847,,-3.6825,,-3.6832,,,,,,-0.1784999999999999,0.1233,4
2011-12-22 00:31:00,,0.1855,,3.4236,,121.9199,,-3.9676,13.9175,-2.6548,,-0.0088999999999999,,2.3557,,-0.0205,,-3.5793,,-3.6861,,-3.6847,,-3.6847,,,,,,0.0,0.1234,4
2011-12-22 00:32:00,,0.1849,,3.2944,,121.9541,,-3.9624,13.9184,-2.6548,,-0.0027,,2.1618,,-0.0071,,-3.5844,,-3.6963,,-3.6941,,-3.6927,,,,,,-0.1189999999999999,0.1234,4
2011-12-22 00:33:00,,0.1845999999999999,,3.4021,,121.973,,-3.9914,13.9179,-2.6567,,-0.016,,2.2245,,-0.0354999999999999,,-3.5921,,-3.7025,,-3.7033,,-3.704,,,,,,-0.1189999999999999,0.1237,4
2011-12-22 00:34:00,,0.1850999999999999,,3.3805,,121.9644,,-4.0037,13.9184,-2.6756,,-0.005,,1.9792,,-0.0099,,-3.616,,-3.7272,,-3.7294,,-3.7229,,,,,,-0.1189999999999999,0.1231,4
2011-12-22 00:35:00,,0.1845999999999999,,3.2729,,121.9387,,-4.0165,13.9184,-2.6774,,-0.0083999999999999,,2.2131,,-0.0195,,-3.6223,,-3.7357,,-3.7393,,-3.7378,,,,,,-0.0594999999999999,0.1223,4
2011-12-22 00:36:00,,0.1845999999999999,,3.2729,,121.9661,,-4.0165,13.9202,-2.6774,,-0.0094,,2.1675,,-0.0211,,-3.6288,,-3.7393,,-3.7407,,-3.7393,,,,,,-0.1189999999999999,0.124,4
2011-12-22 00:37:00,,0.1850999999999999,,3.3805,,122.0312,,-4.0436,13.9212,-2.6774,,-0.0095999999999999,,2.0819,,-0.019,,-3.6346,,-3.748,,-3.7509,,-3.748,,,,,,0.0,0.1229,4
2011-12-22 00:38:00,,0.1857,,3.3805,,122.0979,,-4.0546,13.9207,-2.6876,,-0.0057,,2.2017,,-0.0114,,-3.6463,,-3.764,,-3.7662,,-3.7582,,,,,,-0.1189999999999999,0.1231,4
