measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,intsolirrad__16,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp_f__18,poa_irradiance__313,power_factor__327,wind_speed_mph__19,system_id
2012-04-17 00:00:00,0.1867,3.1846,122.0383,7.6231,,13.6026,7.6745,0.0011,1.8012,0.0008,,7.460099999999999,4.271,4.1681,4.4682,,-4.3386,0.1285999999999999,,4
2012-04-17 00:01:00,0.1870999999999999,3.2491,122.0554,7.6706,,13.6054,7.6462,-0.0016,1.7556,-0.0008,,7.424,4.2733,4.1689,4.479,,-4.2197,0.1297,,4
2012-04-17 00:02:00,0.1867,3.2276,121.9716,7.7083,,13.6063,7.621699999999999,0.0020999999999999,1.6815,0.0033999999999999,,7.396,4.3343,4.2228,4.5322,,-4.1009,0.1283999999999999,,4
2012-04-17 00:03:00,0.1862,3.1846,121.9596,7.9386,,13.6063,7.5976,0.0041,1.5846,0.0074,,7.3967,4.4937,4.3444,4.678,,-4.1009,0.1293999999999999,,4
2012-04-17 00:04:00,0.1867,3.2061,121.999,7.8967,,13.6063,7.575,0.0092999999999999,1.7898,0.0158,,7.3677,4.4889,4.276,4.626,,-3.6848,0.1298999999999999,,4
2012-04-17 00:05:00,0.1867,3.2706,121.9562,7.7941,,13.6067,7.552399999999999,-0.0006999999999999,1.5219,-0.0019,,7.3409,4.4769,4.2354,4.6076,,-3.8631,0.1295,,4
2012-04-17 00:06:00,0.1867,3.1846,121.9272,7.677399999999999,,13.6077,7.53,0.0064,1.7328,0.0106999999999999,,7.3028,4.3657,4.1185,4.485,,-3.6849,0.1285999999999999,,4
2012-04-17 00:07:00,0.1870999999999999,3.163,121.9203,7.6111,,13.6081,7.5095,0.0008999999999999,1.4877,0.0035999999999999,,7.263099999999999,4.2879,4.0328,4.4516,,-3.8037,0.1298999999999999,,4
2012-04-17 00:08:00,0.1865,3.2276,121.8588,7.5788,,13.6099,7.4851,0.0054999999999999,1.3794,0.006,,7.221599999999999,4.1833,3.9646,4.3334,,-3.8631,0.129,,4
2012-04-17 00:09:00,0.1870999999999999,3.2061,121.8075,7.5606,,13.6113,7.4576,0.0020999999999999,1.7784,0.0028999999999999,,7.1848,4.0956,3.8789,4.2057,,-3.8037,0.1293,,4
2012-04-17 00:10:00,0.1872999999999999,3.1846,121.8314,7.5486,,13.6113,7.432699999999999,0.0043,1.4649,0.0063,,7.1514,4.0112,3.8339,4.1178,,-3.9226,0.1303,,4
2012-04-17 00:11:00,0.1867,3.2061,121.8109,7.5444,,13.6118,7.412,0.0035999999999999,1.6359,0.0055999999999999,,7.1257,3.9617,3.8087,4.1133,,-3.7443,0.1293,,4
2012-04-17 00:12:00,0.1865,3.1846,121.7596,7.5967,,13.6118,7.3836,0.003,1.2939,0.0006999999999999,,7.1023,3.9395,3.8107,4.1797,,-3.6848,0.1297,,4
2012-04-17 00:13:00,0.1865,3.163,121.657,7.610699999999999,,13.6118,7.3597,0.0097999999999999,1.4079,0.0143,,7.0904,3.9155,3.8361,4.1149,,-3.566,0.1295999999999999,,4
2012-04-17 00:14:00,0.1867,3.2061,121.6245,7.5453,,13.6118,7.3314,-0.0006999999999999,1.6074,-0.002,,7.0664,3.8742,3.739,4.1251,,-3.4471,0.129,,4
