measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,ambient_temp_f__17,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,intsolirrad__16,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,module_temp_f__18,poa_irradiance__313,power_factor__327,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,wind_speed_mph__19,system_id
2012-06-05 00:00:00,0.1887,3.2888,123.0201,18.5717,,,,,13.3138,,19.4836,0.028,2.2606,0.0635,,,,,,19.0217,15.7788,16.3071,16.1236,,-4.7492,0.1336,,,,,4
2012-06-05 00:01:00,0.1890999999999999,3.4394,123.0653,18.6189,,,,,13.3139,,19.4532,0.0205,2.403,0.0497999999999999,,,,,,18.9796,15.9187,16.4419,16.1497,,-4.2743,0.133,,,,,4
2012-06-05 00:02:00,0.188,3.2889,123.0683,18.6508,,,,,13.3139,,19.4293,0.0311999999999999,2.6023,0.0816999999999999,,,,,,18.9467,16.0684,16.521,16.2177,,-4.0368,0.1326,,,,,4
2012-06-05 00:03:00,0.1887,3.3104,123.1157,18.5145,,,,,13.314,,19.3971,0.02,2.4087,0.0485999999999999,,,,,,18.9006,16.1518,16.5744,16.2355,,-4.1556,0.132,,,,,4
2012-06-05 00:04:00,0.1889,3.2889,123.1192,18.3362,,,,,13.3163,,19.3616,0.0152999999999999,2.4258,0.0349,,,,,,18.8434,16.1836,16.5672,16.1927,,-3.9775,0.1315999999999999,,,,,4
2012-06-05 00:05:00,0.1889,3.4609,123.1176,18.2988,,,,,13.3168,,19.3326,0.0182,2.608,0.047,,,,,,18.7915,16.2932,16.7018,16.2772,,-3.7994,0.133,,,,,4
2012-06-05 00:06:00,0.1889,3.59,123.0697,18.5818,,,,,13.3196,,19.2983,0.0246,2.1013,0.0514,,,,,,18.7627,16.5209,16.9042,16.4819,,-3.6807,0.1333,,,,,4
2012-06-05 00:07:00,0.1884,3.3105,123.0538,18.7158,,,,,13.3192,,19.2682,0.0202999999999999,2.5682,0.0536,,,,,,18.7472,16.6886,17.0655,16.6078,,-3.5026,0.1318999999999999,,,,,4
2012-06-05 00:08:00,0.1889,3.289,123.0559,18.6631,,,,,13.3197,,19.235,0.0178,2.4885,0.0432999999999999,,,,,,18.7265,16.7291,17.076,16.5799,,-3.2652,0.1318999999999999,,,,,4
2012-06-05 00:09:00,0.1889,3.2675,123.0843,18.6945,,,,,13.3202,,19.2183,0.0178,2.7106,0.0476999999999999,,,,,,18.7215,16.8153,17.1838,16.6585,,-3.2652,0.1318,,,,,4
